# Placement projected by circuitRF from the artwork's own placements.
# Board: Board
# Units: mm
# Origin: symbol origin
Refdes,X,Y,Rotation,Side,Footprint
FB1,4.4,10.3,0,top,C0603
C1,26.6,16.2,0,top,C0402
C2,26.6,12.6,0,top,C0402
C3,26.6,10,0,top,C0402
C4,26.6,7.4,0,top,C0402
C5,26.6,5,0,top,C0402
C6,26.6,2.6,0,top,C0402
C7,21.9,12.8,0,top,C0603
C8,21.9,10.6,0,top,C0603
C9,21.9,7.4,0,top,C0805
C10,5,7,180,top,C7343-31
C11,18.6,13.6,0,top,C0402
C12,18.6,10.6,0,top,C0402
C13,18.6,7.6,0,top,C0402
U2,1.1,10.3,0,top,TERM-OUT
U1,24.9,14.3,0,top,TERM-VDD
U3,24.9,5,0,top,TERM-VDD
