"hbfrequency";"Pave";"r n_drain.Vb";"i n_drain.Vb"
+0.00000000000000000000e+000;-2.00000000000000000000e+001;+4.80000000000000000000e+001;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-2.00000000000000000000e+001;-2.81235388406876190004e+001;-4.49317342500987919655e-005
+4.00000000000000000000e+009;-2.00000000000000000000e+001;-3.81763183004844686153e-001;-1.26296715680511910279e-006
+6.00000000000000000000e+009;-2.00000000000000000000e+001;+5.68407196557606173015e-002;+1.46731677320725597197e-007
+8.00000000000000000000e+009;-2.00000000000000000000e+001;+2.18238642196319880540e-002;+3.85596934432749404635e-016
+0.00000000000000000000e+000;-1.90000000000000000000e+001;+4.80000000000000000000e+001;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.90000000000000000000e+001;-3.15176918608147254020e+001;-5.03891444071832207588e-005
+4.00000000000000000000e+009;-1.90000000000000000000e+001;-4.08816406407258414735e-001;-1.57492543397888462194e-006
+6.00000000000000000000e+009;-1.90000000000000000000e+001;+1.96738249431594597327e-001;+2.49864803359968721226e-007
+8.00000000000000000000e+009;-1.90000000000000000000e+001;+1.26470536753714918321e-001;+1.32063985578206847393e-008
+0.00000000000000000000e+000;-1.80000000000000000000e+001;+4.80000000000000000000e+001;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.80000000000000000000e+001;-3.52262980096222264592e+001;-5.64413384275899381970e-005
+4.00000000000000000000e+009;-1.80000000000000000000e+001;-2.39195029109448537019e-001;-1.80746675397270494783e-006
+6.00000000000000000000e+009;-1.80000000000000000000e+001;+7.10602830682675601359e-001;+5.88418559633580470590e-007
+8.00000000000000000000e+009;-1.80000000000000000000e+001;+5.32582269005897890324e-001;-3.53341544122977870114e-008
+0.00000000000000000000e+000;-1.70000000000000000000e+001;+4.80000000000000000000e+001;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.70000000000000000000e+001;-3.92241015557504368871e+001;-6.26166335378420315380e-005
+4.00000000000000000000e+009;-1.70000000000000000000e+001;+2.39089579388105294422e-001;-4.07396001661337604140e-007
+6.00000000000000000000e+009;-1.70000000000000000000e+001;+1.71211807629371914885e+000;+3.08141525231853277719e-006
+8.00000000000000000000e+009;-1.70000000000000000000e+001;+1.30226628221328999402e+000;-2.74566328069500453259e-015
+0.00000000000000000000e+000;-1.60000000000000000000e+001;+4.80000000000000000000e+001;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.60000000000000000000e+001;-4.32643500365023641052e+001;-6.70956004741801519901e-005
+4.00000000000000000000e+009;-1.60000000000000000000e+001;+1.25277547459263116636e+000;+9.51529851648243555110e-006
+6.00000000000000000000e+009;-1.60000000000000000000e+001;+2.82270338468322723458e+000;+1.68439835112297848043e-005
+8.00000000000000000000e+009;-1.60000000000000000000e+001;+1.83089216975908741780e+000;-3.97489093048191807032e-008
+0.00000000000000000000e+000;-1.50000000000000000000e+001;+4.80000000000000000000e+001;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.50000000000000000000e+001;-4.68200200416230316591e+001;-7.22459735381255458656e-005
+4.00000000000000000000e+009;-1.50000000000000000000e+001;+3.33107386486451817476e+000;+1.87793526704075979493e-005
+6.00000000000000000000e+009;-1.50000000000000000000e+001;+3.61546485233454983899e+000;+2.92761096863954023244e-005
+8.00000000000000000000e+009;-1.50000000000000000000e+001;+1.25429598884405568704e+000;-1.70058617414206299061e-014
+0.00000000000000000000e+000;-1.40000000000000000000e+001;+4.80000000000000000000e+001;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.40000000000000000000e+001;-5.00961339494894275504e+001;-8.02634522607421219001e-005
+4.00000000000000000000e+009;-1.40000000000000000000e+001;+6.34166287560428276748e+000;+2.44873569813358842159e-005
+6.00000000000000000000e+009;-1.40000000000000000000e+001;+4.28391901223818116762e+000;+3.69236731176481936586e-005
+8.00000000000000000000e+009;-1.40000000000000000000e+001;-1.23321173070751868850e-001;-2.01053914058581619830e-014
+0.00000000000000000000e+000;-1.30000000000000000000e+001;+4.80000000000000000000e+001;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.30000000000000000000e+001;-5.33803523867264360092e+001;-8.84703350381986394465e-005
+4.00000000000000000000e+009;-1.30000000000000000000e+001;+1.00487167976297939731e+001;+2.81412541195428866437e-005
+6.00000000000000000000e+009;-1.30000000000000000000e+001;+4.97370626703616292019e+000;+4.24165136094452048412e-005
+8.00000000000000000000e+009;-1.30000000000000000000e+001;-1.98704116322033019770e+000;-4.90505224107982409562e-014
+0.00000000000000000000e+000;-1.20000000000000000000e+001;+4.80000000000000000000e+001;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.20000000000000000000e+001;-5.68119758727024972700e+001;-9.94909879212465159430e-005
+4.00000000000000000000e+009;-1.20000000000000000000e+001;+1.43611820335788280545e+001;+3.21120215616054607908e-005
+6.00000000000000000000e+009;-1.20000000000000000000e+001;+5.73214569571879906107e+000;+4.79462850793853281178e-005
+8.00000000000000000000e+009;-1.20000000000000000000e+001;-4.23478476799529435226e+000;-1.39450020649853875687e-008
