"hbfrequency";"Pave";"r n_gate.Vb";"i n_gate.Vb"
+0.00000000000000000000e+000;-2.00000000000000000000e+001;-3.04999999999999982236e+000;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-2.00000000000000000000e+001;+3.16227766016030642504e-002;+5.05294656765667804907e-008
+4.00000000000000000000e+009;-2.00000000000000000000e+001;+5.50355961609353767869e-029;-6.90224540247720249070e-023
+6.00000000000000000000e+009;-2.00000000000000000000e+001;-4.60149693498642913239e-023;-2.44440764596702691252e-029
+8.00000000000000000000e+009;-2.00000000000000000000e+001;-6.87261999205410521543e-030;+1.72556135062012376259e-023
+0.00000000000000000000e+000;-1.90000000000000000000e+001;-3.04999999999999982236e+000;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.90000000000000000000e+001;+3.54813389232669293416e-002;+5.66949929751255873027e-008
+4.00000000000000000000e+009;-1.90000000000000000000e+001;+0.00000000000000000000e+000;+0.00000000000000000000e+000
+6.00000000000000000000e+009;-1.90000000000000000000e+001;+4.60149937939407424925e-023;-4.60149449057878284005e-023
+8.00000000000000000000e+009;-1.90000000000000000000e+001;-1.37452399841082104309e-029;+3.45112270124024811293e-023
+0.00000000000000000000e+000;-1.80000000000000000000e+001;-3.04999999999999982236e+000;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.80000000000000000000e+001;+3.98107170552480793546e-002;+6.36128283846113901131e-008
+4.00000000000000000000e+009;-1.80000000000000000000e+001;-6.90225090603681313347e-023;+6.90223989891758244397e-023
+6.00000000000000000000e+009;-1.80000000000000000000e+001;+3.25374551347314896218e-023;+7.85524834978166824733e-023
+8.00000000000000000000e+009;-1.80000000000000000000e+001;+0.00000000000000000000e+000;+0.00000000000000000000e+000
+0.00000000000000000000e+000;-1.70000000000000000000e+001;-3.04999999999999982236e+000;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.70000000000000000000e+001;+4.46683592149825919870e-002;+7.13747673778773366008e-008
+4.00000000000000000000e+009;-1.70000000000000000000e+001;-5.50355961609353655765e-029;+6.90224540247719896421e-023
+6.00000000000000000000e+009;-1.70000000000000000000e+001;+2.44440764494528695284e-029;-4.60149693498642795690e-023
+8.00000000000000000000e+009;-1.70000000000000000000e+001;-6.87261999205410381413e-030;+1.72556135062012376259e-023
+0.00000000000000000000e+000;-1.60000000000000000000e+001;-3.04999999999999982236e+000;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.60000000000000000000e+001;+5.01187233625995862130e-002;+8.00838061694882904198e-008
+4.00000000000000000000e+009;-1.60000000000000000000e+001;+5.50355961609354104181e-029;-6.90224540247720484169e-023
+6.00000000000000000000e+009;-1.60000000000000000000e+001;+4.60149693498642913239e-023;+2.44440764596702607174e-029
+8.00000000000000000000e+009;-1.60000000000000000000e+001;-6.87261999205409961024e-030;+1.72556135062012317485e-023
+0.00000000000000000000e+000;-1.50000000000000000000e+001;-3.04999999999999982236e+000;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.50000000000000000000e+001;+5.62341325188921783984e-002;+8.98555084129094334624e-008
+4.00000000000000000000e+009;-1.50000000000000000000e+001;-5.50355961609353767869e-029;+6.90224540247720013971e-023
+6.00000000000000000000e+009;-1.50000000000000000000e+001;-2.44440764494528835414e-029;+4.60149693498642795690e-023
+8.00000000000000000000e+009;-1.50000000000000000000e+001;-6.87261999205410661673e-030;+1.72556135062012435034e-023
+0.00000000000000000000e+000;-1.40000000000000000000e+001;-3.04999999999999982236e+000;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.40000000000000000000e+001;+6.30957344478578763258e-002;+1.00819538659966280494e-007
+4.00000000000000000000e+009;-1.40000000000000000000e+001;-5.50355961609353992077e-029;+6.90224540247720131520e-023
+6.00000000000000000000e+009;-1.40000000000000000000e+001;+2.44440764494529003570e-029;-4.60149693498642736915e-023
+8.00000000000000000000e+009;-1.40000000000000000000e+001;-6.87261999205411082063e-030;+1.72556135062012464421e-023
+0.00000000000000000000e+000;-1.30000000000000000000e+001;-3.04999999999999982236e+000;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.30000000000000000000e+001;+7.07945784382343762386e-002;+1.13121382930696608580e-007
+4.00000000000000000000e+009;-1.30000000000000000000e+001;-6.90223989891758479496e-023;-6.90225090603681901094e-023
+6.00000000000000000000e+009;-1.30000000000000000000e+001;-7.85524489286722203593e-023;-3.25375385920288423179e-023
+8.00000000000000000000e+009;-1.30000000000000000000e+001;+0.00000000000000000000e+000;+0.00000000000000000000e+000
+0.00000000000000000000e+000;-1.20000000000000000000e+001;-3.04999999999999982236e+000;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.20000000000000000000e+001;+7.94328234722244952426e-002;+1.26924279224396615364e-007
+4.00000000000000000000e+009;-1.20000000000000000000e+001;+5.50355961609353879973e-029;-6.90224540247720131520e-023
+6.00000000000000000000e+009;-1.20000000000000000000e+001;-4.60149693498642913239e-023;-2.44440764596702635200e-029
+8.00000000000000000000e+009;-1.20000000000000000000e+001;-6.87261999205410241284e-030;+1.72556135062012405647e-023
+0.00000000000000000000e+000;-1.10000000000000000000e+001;-3.04999999999999982236e+000;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.10000000000000000000e+001;+8.91250938131500358708e-002;+1.42411383588756008557e-007
+4.00000000000000000000e+009;-1.10000000000000000000e+001;+6.90225090603681313347e-023;-6.90223989891758597046e-023
+6.00000000000000000000e+009;-1.10000000000000000000e+001;+7.85524834978166589634e-023;-3.25374551347314778669e-023
+8.00000000000000000000e+009;-1.10000000000000000000e+001;+0.00000000000000000000e+000;+0.00000000000000000000e+000
+0.00000000000000000000e+000;-1.00000000000000000000e+001;-3.04999999999999982236e+000;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.00000000000000000000e+001;+9.99999999997430166765e-002;+1.59788200489251509819e-007
+4.00000000000000000000e+009;-1.00000000000000000000e+001;+0.00000000000000000000e+000;+0.00000000000000000000e+000
+6.00000000000000000000e+009;-1.00000000000000000000e+001;-6.50749937267603201848e-023;-3.45691444382164290122e-029
+8.00000000000000000000e+009;-1.00000000000000000000e+001;+1.37452399841082300490e-029;-3.45112270124024928843e-023
