# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF Hero 2 HB engine.
# Circuit: hero2.cnl  |  Branch: M1:g  |  Quantity: I M1:g branch (device current, A)
# f0 = 2.000 GHz  |  K (max harmonic) = 4
# Columns: freq_Hz; Pave_dBm; Re; Im
freq_Hz; Pave_dBm; Re; Im
0; -20; -0.060999999; 0
2000000000; -20; 0.00059628375; 7.9147857E-07
4000000000; -20; 0; -0
6000000000; -20; 3.925702E-18; -9.3209199E-20
8000000000; -20; 0; -0
0; -19; -0.060999999; 0
2000000000; -19; 0.00066904137; 8.8805356E-07
4000000000; -19; 0; -0
6000000000; -19; -1.4646019E-19; 8.7405349E-19
8000000000; -19; 0; -0
0; -18; -0.060999999; 0
2000000000; -18; 0.00075067676; 9.9641248E-07
4000000000; -18; 0; -0
6000000000; -18; -6.8002682E-19; 2.3682979E-18
8000000000; -18; 0; -0
0; -17; -0.060999999; 0
2000000000; -17; 0.00084227318; 1.1179932E-06
4000000000; -17; 0; -0
6000000000; -17; -2.4000301E-18; -1.4517036E-18
8000000000; -17; 0; -0
0; -16; -0.060999999; 0
2000000000; -16; 0.00094504605; 1.254409E-06
4000000000; -16; 0; -0
6000000000; -16; -3.1622267E-18; -9.0329938E-19
8000000000; -16; 0; -0
0; -15; -0.060999999; 0
2000000000; -15; 0.0010603591; 1.40747E-06
4000000000; -15; 0; -0
6000000000; -15; -1.2622481E-18; 4.3208852E-19
8000000000; -15; 0; -0
0; -14; -0.060999999; 0
2000000000; -14; 0.0011897425; 1.5792074E-06
4000000000; -14; 0; -0
6000000000; -14; 9.0038615E-19; -8.4735648E-19
8000000000; -14; 0; -0
0; -13; -0.060999999; 0
2000000000; -13; 0.001334913; 1.7718998E-06
4000000000; -13; 0; -0
6000000000; -13; 2.4157065E-18; 1.5761168E-19
8000000000; -13; 0; -0
0; -12; -0.060999999; 0
2000000000; -12; 0.0014977971; 1.9881043E-06
4000000000; -12; 0; -0
6000000000; -12; -3.3492093E-18; 5.3573228E-19
8000000000; -12; 0; -0
0; -11; -0.060999999; 0
2000000000; -11; 0.0016805559; 2.2306897E-06
4000000000; -11; 1.2266347E-18; 1.2266347E-18
6000000000; -11; 1.851611E-18; -2.4470797E-18
8000000000; -11; 0; -0
0; -10; -0.060999999; 0
2000000000; -10; 0.0018856148; 2.502875E-06
4000000000; -10; 0; -0
6000000000; -10; 9.2022477E-19; 1.051585E-18
8000000000; -10; 0; -0
0; -9; -0.060999999; 0
2000000000; -9; 0.0021156946; 2.8082719E-06
4000000000; -9; 0; -0
6000000000; -9; 5.066641E-19; 1.5965091E-18
8000000000; -9; 0; -0
0; -8; -0.060999999; 0
2000000000; -8; 0.0023738483; 3.1509329E-06
4000000000; -8; 0; -0
6000000000; -8; -1.6284778E-18; -1.8849397E-18
8000000000; -8; 0; -0
0; -7; -0.060999999; 0
2000000000; -7; 0.0026635017; 3.5354049E-06
4000000000; -7; 0; 1.7347235E-18
6000000000; -7; 1.3870853E-18; 1.2085581E-18
8000000000; -7; 0; -0
0; -6; -0.060999999; 0
2000000000; -6; 0.002988498; 3.9667895E-06
4000000000; -6; 0; -0
6000000000; -6; 3.8282159E-19; 7.3789522E-20
8000000000; -6; 0; -0
0; -5; -0.060999999; 0
2000000000; -5; 0.0033531499; 4.4508111E-06
4000000000; -5; 0; -0
6000000000; -5; -2.0772798E-18; -2.0814529E-18
8000000000; -5; 0; -0
0; -4; -0.060999999; 0
2000000000; -4; 0.0037622961; 4.9938921E-06
4000000000; -4; 1.2266347E-18; 5.0808874E-19
6000000000; -4; -2.9838933E-19; 1.5238177E-18
8000000000; -4; 0; -0
0; -3; -0.060999999; 0
2000000000; -3; 0.0042213656; 5.6032391E-06
4000000000; -3; 0; 1.7347235E-18
6000000000; -3; -1.5544082E-19; 1.2269913E-18
8000000000; -3; 0; -0
0; -2; -0.060999999; 0
2000000000; -2; 0.0047364502; 6.2869377E-06
4000000000; -2; 0; 7.1854599E-19
6000000000; -2; -6.8770023E-19; 1.9453478E-18
8000000000; -2; 0; -0
0; -1; -0.060999999; 0
2000000000; -1; 0.0053143845; 7.0540602E-06
4000000000; -1; 1.2266347E-18; -1.2266347E-18
6000000000; -1; -1.1887215E-18; -4.5329185E-19
8000000000; -1; 0; -0
0; 0; -0.060999999; 0
2000000000; 0; 0.0059628375; 7.9147857E-06
4000000000; 0; 0; -1.7347235E-18
6000000000; 0; 2.8111239E-18; 1.1234241E-18
8000000000; 0; 0; -0
