# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF Hero 2 HB engine (Phase 4a).
# A future cross-check against other simulators with the identical SDD FET is owed.
# Circuit: hero2.cnl  |  Node: n_drain  |  Quantity: V (interface voltage)
# f0 = 2.000 GHz  |  K (max harmonic) = 4
# DC current self-biasing verified: I_nl[drain,0] rises with Pin.
# Columns: freq_Hz; Pave_dBm; Re; Im
freq_Hz; Pave_dBm; Re; Im
0; -20; 48; 0
2000000000; -20; -0.14872813; -0.019768391
4000000000; -20; -1.6824096E-05; -4.8074995E-08
6000000000; -20; -1.0087743E-13; 2.4008078E-12
8000000000; -20; -2.9018558E-16; 5.1606539E-15
0; -19; 48; 0
2000000000; -19; -0.16688201; -0.022181339
4000000000; -19; -2.1180651E-05; -6.0527618E-08
6000000000; -19; -1.4249019E-13; 3.3911225E-12
8000000000; -19; -4.5907691E-16; 8.1783792E-15
0; -18; 48; 0
2000000000; -18; -0.1872536; -0.024889056
4000000000; -18; -2.6665397E-05; -7.6201587E-08
6000000000; -18; -2.0127089E-13; 4.7900633E-12
8000000000; -18; -7.2772812E-16; 1.2959811E-14
0; -17; 48; 0
2000000000; -17; -0.21011457; -0.027927654
4000000000; -17; -3.3570599E-05; -9.5935028E-08
6000000000; -17; -2.843003E-13; 6.7661037E-12
8000000000; -17; -1.1537215E-15; 2.0539474E-14
0; -16; 48; 0
2000000000; -16; -0.23577019; -0.031337706
4000000000; -16; -4.2264231E-05; -1.2077965E-07
6000000000; -16; -4.0158376E-13; 9.5573019E-12
8000000000; -16; -1.8286662E-15; 3.2549104E-14
0; -15; 48; 0
2000000000; -15; -0.2645636; -0.035164824
4000000000; -15; -5.3209655E-05; -1.5205981E-07
6000000000; -15; -5.6724634E-13; 1.3499916E-11
8000000000; -15; -2.8979389E-15; 5.1581562E-14
0; -14; 48; 0
2000000000; -14; -0.2968807; -0.039460297
4000000000; -14; -6.6990379E-05; -1.9144348E-07
6000000000; -14; -8.0124838E-13; 1.9068903E-11
8000000000; -14; -4.5929046E-15; 8.173982E-14
0; -13; 48; 0
2000000000; -13; -0.3331557; -0.044281843
4000000000; -13; -8.4341267E-05; -2.4103126E-07
6000000000; -13; -1.1317773E-12; 2.6935125E-11
8000000000; -13; -7.2777755E-15; 1.2952432E-13
0; -12; 48; 0
2000000000; -12; -0.37387757; -0.049694455
4000000000; -12; -0.00010618788; -3.0346935E-07
6000000000; -12; -1.5986485E-12; 3.8046131E-11
8000000000; -12; -1.1531665E-14; 2.0523603E-13
0; -11; 48; 0
2000000000; -11; -0.41959745; -0.055771386
4000000000; -11; -0.00013369612; -3.8209106E-07
6000000000; -11; -2.2581016E-12; 5.3740266E-11
8000000000; -11; -1.8270574E-14; 3.2518338E-13
0; -10; 48; 0
2000000000; -10; -0.4709372; -0.062595297
4000000000; -10; -0.00016833482; -4.8109671E-07
6000000000; -10; -3.1895644E-12; 7.5907782E-11
8000000000; -10; -2.894739E-14; 5.1519383E-13
0; -9; 48; 0
2000000000; -9; -0.52859955; -0.070259595
4000000000; -9; -0.00021195485; -6.0577982E-07
6000000000; -9; -4.5052195E-12; 1.0721838E-10
8000000000; -9; -4.5858132E-14; 8.1615556E-13
0; -8; 48; 0
2000000000; -8; -0.59338; -0.078870015
4000000000; -8; -0.00026688899; -7.6281371E-07
6000000000; -8; -6.3635066E-12; 1.5144247E-10
8000000000; -8; -7.2638872E-14; 1.2927764E-12
0; -7; 48; 0
2000000000; -7; -0.66618097; -0.088546513
4000000000; -7; -0.00033607828; -9.6061406E-07
6000000000; -7; -8.988181E-12; 2.1390474E-10
8000000000; -7; -1.1504248E-13; 2.0474279E-12
0; -6; 48; 0
2000000000; -6; -0.74802899; -0.099425538
4000000000; -6; -0.00042323198; -1.2097984E-06
6000000000; -6; -1.2695229E-11; 3.0212444E-10
8000000000; -6; -1.821666E-13; 3.2419912E-12
0; -5; 48; 0
2000000000; -5; -0.8400956; -0.11166282
4000000000; -5; -0.00053303039; -1.5237694E-06
6000000000; -5; -1.7930849E-11; 4.2671903E-10
8000000000; -5; -2.8838831E-13; 5.1322922E-12
0; -4; 48; 0
2000000000; -4; -0.94372311; -0.12543678
4000000000; -4; -0.00067138236; -1.9194573E-06
6000000000; -4; -2.532505E-11; 6.026793E-10
8000000000; -4; -4.5641177E-13; 8.1223172E-12
0; -3; 48; 0
2000000000; -3; -1.060457; -0.14095286
4000000000; -3; -0.00084575311; -2.4182662E-06
6000000000; -3; -3.5767274E-11; 8.5116792E-10
8000000000; -3; -7.220591E-13; 1.2849389E-11
0; -2; 48; 0
2000000000; -2; -1.1920867; -0.15844896
4000000000; -2; -0.0010655823; -3.0472843E-06
6000000000; -2; -5.0513021E-11; 1.2020554E-09
8000000000; -2; -1.1417782E-12; 2.0317711E-11
0; -1; 48; 0
2000000000; -1; -1.3406984; -0.17820239
4000000000; -1; -0.0013428191; -3.8408376E-06
6000000000; -1; -7.1334127E-11; 1.6974931E-09
8000000000; -1; -1.8043814E-12; 3.2107023E-11
0; 0; 48; 0
2000000000; 0; -1.5087433; -0.20053901
4000000000; 0; -0.001692609; -4.8424929E-06
6000000000; 0; -1.0073039E-10; 2.3969448E-09
8000000000; 0; -2.8493197E-12; 5.0697387E-11
