# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF Hero 2 HB engine (Phase 4a).
# A future cross-check against other simulators with the identical SDD FET is owed.
# Circuit: hero2.cnl  |  Node: n_gate  |  Quantity: V (interface voltage)
# f0 = 2.000 GHz  |  K (max harmonic) = 4
# DC current self-biasing verified: I_nl[drain,0] rises with Pin.
# Columns: freq_Hz; Pave_dBm; Re; Im
freq_Hz; Pave_dBm; Re; Im
0; -20; -3.0499999; 0
2000000000; -20; 0.029814187; 3.9573928E-05
4000000000; -20; 0; 0
6000000000; -20; 1.6876039E-23; -2.9331483E-23
8000000000; -20; 8.6278064E-26; 4.3368429E-27
0; -19; -3.0499999; 0
2000000000; -19; 0.033452068; 4.4402678E-05
4000000000; -19; 0; 0
6000000000; -19; -2.3038526E-23; -4.7590428E-24
8000000000; -19; 8.6278064E-26; 4.3368429E-27
0; -18; -3.0499999; 0
2000000000; -18; 0.037533838; 4.9820624E-05
4000000000; -18; 0; 0
6000000000; -18; 6.3162699E-25; 8.4111936E-24
8000000000; -18; 8.6278064E-26; 4.3368429E-27
0; -17; -3.0499999; 0
2000000000; -17; 0.042113659; 5.589966E-05
4000000000; -17; 0; 0
6000000000; -17; 4.0907697E-23; -6.2211049E-23
8000000000; -17; 8.6278064E-26; 4.3368429E-27
0; -16; -3.0499999; 0
2000000000; -16; 0.047252302; 6.272045E-05
4000000000; -16; 0; 0
6000000000; -16; 2.712303E-23; -8.2977353E-23
8000000000; -16; 8.6278064E-26; 4.3368429E-27
0; -15; -3.0499999; 0
2000000000; -15; 0.053017955; 7.0373502E-05
4000000000; -15; 0; 0
6000000000; -15; -1.0199238E-23; -3.3914265E-23
8000000000; -15; 8.6278064E-26; 4.3368429E-27
0; -14; -3.0499999; 0
2000000000; -14; 0.059487124; 7.8960368E-05
4000000000; -14; 0; 0
6000000000; -14; 2.1576429E-23; 2.4730852E-23
8000000000; -14; 8.6278064E-26; 4.3368429E-27
0; -13; -3.0499999; 0
2000000000; -13; 0.066745651; 8.859499E-05
4000000000; -13; 0; 0
6000000000; -13; -9.159991E-24; -7.6451427E-24
8000000000; -13; 8.6278064E-26; 4.3368429E-27
0; -12; -3.0499999; 0
2000000000; -12; 0.074889853; 9.9405214E-05
4000000000; -12; 0; 0
6000000000; -12; -1.2596231E-23; -4.3361305E-23
8000000000; -12; 8.6278064E-26; 4.3368429E-27
0; -11; -3.0499999; 0
2000000000; -11; 0.084027797; 0.00011153448
4000000000; -11; -5.0032917E-23; 4.757957E-23
6000000000; -11; 6.2026399E-23; 2.563294E-24
8000000000; -11; 8.6278064E-26; 4.3368429E-27
0; -10; -3.0499999; 0
2000000000; -10; 0.094280738; 0.00012514375
4000000000; -10; 0; 0
6000000000; -10; -2.8814396E-23; 2.3358119E-23
8000000000; -10; 8.6278064E-26; 4.3368429E-27
0; -9; -3.0499999; 0
2000000000; -9; 0.10578473; 0.0001404136
4000000000; -9; 0; 0
6000000000; -9; -4.2855388E-23; 1.1843151E-23
8000000000; -9; 8.6278064E-26; 4.3368429E-27
0; -8; -3.0499999; 0
2000000000; -8; 0.11869242; 0.00015754665
4000000000; -8; 0; 0
6000000000; -8; 5.1628076E-23; -4.1311747E-23
8000000000; -8; 8.6278064E-26; 4.3368429E-27
0; -7; -3.0499999; 0
2000000000; -7; 0.13317508; 0.00017677024
4000000000; -7; -6.9022451E-23; -1.7347784E-24
6000000000; -7; -3.3445104E-23; 3.5585004E-23
8000000000; -7; 8.6278064E-26; 4.3368429E-27
0; -6; -3.0499999; 0
2000000000; -6; 0.1494249; 0.00019833948
4000000000; -6; 0; 0
6000000000; -6; -2.3401548E-24; 1.0080867E-23
8000000000; -6; 8.6278064E-26; 4.3368429E-27
0; -5; -3.0499999; 0
2000000000; -5; 0.1676575; 0.00022254055
4000000000; -5; 0; 0
6000000000; -5; 5.7289561E-23; -5.3020075E-23
8000000000; -5; 8.6278064E-26; 4.3368429E-27
0; -4; -3.0499999; 0
2000000000; -4; 0.1881148; 0.00024969461
4000000000; -4; -2.1442882E-23; 4.8298139E-23
6000000000; -4; -1.6616935E-23; 5.5307493E-23
8000000000; -4; 8.6278064E-26; 4.3368429E-27
0; -3; -3.0499999; 0
2000000000; -3; 0.21106828; 0.00028016196
4000000000; -3; -6.9022451E-23; -1.7347784E-24
6000000000; -3; -3.239151E-23; -5.3502042E-24
8000000000; -3; 8.6278064E-26; 4.3368429E-27
0; -2; -3.0499999; 0
2000000000; -2; 0.23682251; 0.00031434689
4000000000; -2; -2.8590035E-23; -7.1856873E-25
6000000000; -2; -3.980062E-23; -3.5902094E-24
8000000000; -2; 8.6278064E-26; 4.3368429E-27
0; -1; -3.0499999; 0
2000000000; -1; 0.26571922; 0.00035270301
4000000000; -1; 4.757957E-23; 5.0032917E-23
6000000000; -1; 1.3212677E-23; -3.1078518E-23
8000000000; -1; 8.6278064E-26; 4.3368429E-27
0; 0; -3.0499999; 0
2000000000; 0; 0.29814187; 0.00039573928
4000000000; 0; 1.1660202E-22; 5.1767695E-23
6000000000; 0; -9.5383554E-23; 4.4626139E-23
8000000000; 0; 8.6278064E-26; 4.3368429E-27
