# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Quantity: V
GridIdx; PavlDbm; HarmonicK; FreqHz; NodeIdx; NodeName; Re; Im
0; -50; 0; 0; 0; n_gate; -3.049999939; 0
0; -50; 1; 2000000000; 0; n_gate; 0.0009428090416; 9.820646104E-16
0; -50; 2; 4000000000; 0; n_gate; 0; 0
0; -50; 3; 6000000000; 0; n_gate; -1.352113526E-24; 1.281272421E-25
0; -50; 4; 8000000000; 0; n_gate; 0; 0
0; -50; 5; 1E+10; 0; n_gate; -3.097374291E-26; 1.269999058E-24
0; -50; 0; 0; 1; n_drain; 47.99999995; 0
0; -50; 1; 2000000000; 1; n_drain; -0.003532646792; 4.025795869E-13
0; -50; 2; 4000000000; 1; n_drain; -1.68166856E-08; -2.798282995E-14
0; -50; 3; 6000000000; 1; n_drain; -2.848955254E-18; -2.108100181E-20
0; -50; 4; 8000000000; 1; n_drain; -2.650353202E-20; 8.835117139E-21
0; -50; 5; 1E+10; 1; n_drain; -2.212678062E-20; -8.389550671E-21
0; -20; 0; 0; 0; n_gate; -3.049999939; 0
0; -20; 1; 2000000000; 0; n_gate; 0.0298142397; 3.165230311E-14
0; -20; 2; 4000000000; 0; n_gate; 0; 0
0; -20; 3; 6000000000; 0; n_gate; -5.585243068E-25; -1.474069295E-24
0; -20; 4; 8000000000; 0; n_gate; 0; 0
0; -20; 5; 1E+10; 0; n_gate; 1.22025762E-24; -1.645020108E-25
0; -20; 0; 0; 1; n_drain; 47.99999995; 0
0; -20; 1; 2000000000; 1; n_drain; -0.1117283767; 1.481246705E-13
0; -20; 2; 4000000000; 1; n_drain; -1.681772937E-05; 6.699633419E-16
0; -20; 3; 6000000000; 1; n_drain; -9.046498773E-14; 2.399657421E-18
0; -20; 4; 8000000000; 1; n_drain; -2.591842602E-16; 5.156307024E-21
0; -20; 5; 1E+10; 1; n_drain; 3.232759641E-19; -5.584635383E-24
0; -19; 0; 0; 0; n_gate; -3.049999939; 0
0; -19; 1; 2000000000; 0; n_gate; 0.03345212714; 3.550776888E-14
0; -19; 2; 4000000000; 0; n_gate; 0; 0
0; -19; 3; 6000000000; 0; n_gate; 7.467563284E-25; -3.009069185E-26
0; -19; 4; 8000000000; 0; n_gate; 0; 0
0; -19; 5; 1E+10; 0; n_gate; 2.492521446E-24; -1.303182796E-24
0; -19; 0; 0; 1; n_drain; 47.99999995; 0
0; -19; 1; 2000000000; 1; n_drain; -0.1253660338; -5.844356272E-13
0; -19; 2; 4000000000; 1; n_drain; -2.117260565E-05; 8.411846533E-16
0; -19; 3; 6000000000; 1; n_drain; -1.27784697E-13; 3.402089647E-18
0; -19; 4; 8000000000; 1; n_drain; -4.107223484E-16; 8.172288123E-21
0; -19; 5; 1E+10; 1; n_drain; 4.978220673E-19; -1.250390602E-20
0; -18; 0; 0; 0; n_gate; -3.049999939; 0
0; -18; 1; 2000000000; 0; n_gate; 0.03753390399; 3.98157425E-14
0; -18; 2; 4000000000; 0; n_gate; 0; 0
0; -18; 3; 6000000000; 0; n_gate; 4.555775266E-25; -6.691877936E-25
0; -18; 4; 8000000000; 0; n_gate; 0; 0
0; -18; 5; 1E+10; 0; n_gate; 1.125899192E-24; -3.975174038E-25
0; -18; 0; 0; 1; n_drain; 47.99999995; 0
0; -18; 1; 2000000000; 1; n_drain; -0.1406696893; 3.962833539E-14
0; -18; 2; 4000000000; 1; n_drain; -2.665526833E-05; 5.846572565E-15
0; -18; 3; 6000000000; 1; n_drain; -1.80499822E-13; 4.780963414E-18
0; -18; 4; 8000000000; 1; n_drain; -6.509310182E-16; 2.178776442E-20
0; -18; 5; 1E+10; 1; n_drain; 8.60036518E-19; -1.040581855E-20
0; -17; 0; 0; 0; n_gate; -3.049999939; 0
0; -17; 1; 2000000000; 0; n_gate; 0.04211373294; 4.467440294E-14
0; -17; 2; 4000000000; 0; n_gate; 0; 0
0; -17; 3; 6000000000; 0; n_gate; -3.475950628E-25; 1.407085443E-24
0; -17; 4; 8000000000; 0; n_gate; 0; 0
0; -17; 5; 1E+10; 0; n_gate; 2.61683511E-26; -1.11323008E-24
0; -17; 0; 0; 1; n_drain; 47.99999995; 0
0; -17; 1; 2000000000; 1; n_drain; -0.1578434314; 2.086314328E-13
0; -17; 2; 4000000000; 1; n_drain; -3.355784553E-05; 1.334031046E-15
0; -17; 3; 6000000000; 1; n_drain; -2.549611504E-13; 6.76305348E-18
0; -17; 4; 8000000000; 1; n_drain; -1.031607718E-15; 2.052318346E-20
0; -17; 5; 1E+10; 1; n_drain; 1.560686178E-18; -2.385662025E-23
0; -16; 0; 0; 0; n_gate; -3.049999939; 0
0; -16; 1; 2000000000; 0; n_gate; 0.04725238554; 5.014660125E-14
0; -16; 2; 4000000000; 0; n_gate; 0; 0
0; -16; 3; 6000000000; 0; n_gate; 3.673498232E-25; 9.398476602E-25
0; -16; 4; 8000000000; 0; n_gate; 0; 0
0; -16; 5; 1E+10; 0; n_gate; 6.197728945E-25; -8.902763323E-25
0; -16; 0; 0; 1; n_drain; 47.99999995; 0
0; -16; 1; 2000000000; 1; n_drain; -0.1771165828; 2.341934106E-13
0; -16; 2; 4000000000; 1; n_drain; -4.224817302E-05; 1.679372059E-15
0; -16; 3; 6000000000; 1; n_drain; -3.601394669E-13; 9.552996679E-18
0; -16; 4; 8000000000; 1; n_drain; -1.634773846E-15; 3.251983095E-20
0; -16; 5; 1E+10; 1; n_drain; 2.772005038E-18; -4.448119904E-23
0; -15; 0; 0; 0; n_gate; -3.049999939; 0
0; -15; 1; 2000000000; 0; n_gate; 0.05301804858; 5.62120057E-14
0; -15; 2; 4000000000; 0; n_gate; 0; 0
0; -15; 3; 6000000000; 0; n_gate; 5.592592194E-25; 2.633655084E-25
0; -15; 4; 8000000000; 0; n_gate; 0; 0
0; -15; 5; 1E+10; 0; n_gate; -1.445642961E-24; 6.182449668E-25
0; -15; 0; 0; 1; n_drain; 47.99999995; 0
0; -15; 1; 2000000000; 1; n_drain; -0.1987469173; 2.629239803E-13
0; -15; 2; 4000000000; 1; n_drain; -5.318943555E-05; 2.115027921E-15
0; -15; 3; 6000000000; 1; n_drain; -5.087054861E-13; 1.349383248E-17
0; -15; 4; 8000000000; 1; n_drain; -2.590665207E-15; 5.153913861E-20
0; -15; 5; 1E+10; 1; n_drain; 4.981180557E-18; -7.948788519E-23
0; -14; 0; 0; 0; n_gate; -3.049999939; 0
0; -14; 1; 2000000000; 0; n_gate; 0.05948722892; 6.310940702E-14
0; -14; 2; 4000000000; 0; n_gate; 0; 0
0; -14; 3; 6000000000; 0; n_gate; -8.717022613E-26; -3.466349671E-25
