# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Quantity: INl
GridIdx; PavlDbm; HarmonicK; FreqHz; NodeIdx; NodeName; Re; Im
0; -50; 0; 0; 0; n_gate; -0.06099999878; 0
0; -50; 1; 2000000000; 0; n_gate; 1.885618083E-05; 2.070656743E-17
0; -50; 2; 4000000000; 0; n_gate; 0; -0
0; -50; 3; 6000000000; 0; n_gate; 4.788254745E-19; -3.516113706E-19
0; -50; 4; 8000000000; 0; n_gate; 0; -0
0; -50; 0; 0; 1; n_drain; 0.04911305043; 0
0; -50; 1; 2000000000; 1; n_drain; 5.887178815E-05; 1.675341215E-11
0; -50; 2; 4000000000; 1; n_drain; 1.681243545E-08; 3.517058149E-13
0; -50; 3; 6000000000; 1; n_drain; 2.842098242E-12; 3.72052445E-14
0; -50; 4; 8000000000; 1; n_drain; -6.938893904E-18; -0
0; -20; 0; 0; 0; n_gate; -0.06099999878; 0
0; -20; 1; 2000000000; 0; n_gate; 0.000596284794; 6.328488081E-16
0; -20; 2; 4000000000; 0; n_gate; 0; -0
0; -20; 3; 6000000000; 0; n_gate; 7.611569041E-19; 2.042333981E-18
0; -20; 4; 8000000000; 0; n_gate; 0; -0
0; -20; 0; 0; 1; n_drain; 0.04912984765; 0
0; -20; 1; 2000000000; 1; n_drain; 0.001861963427; 9.649399335E-18
0; -20; 2; 4000000000; 1; n_drain; 1.681445188E-05; -1.226503708E-18
0; -20; 3; 6000000000; 1; n_drain; 9.043600756E-08; 7.574823741E-19
0; -20; 4; 8000000000; 1; n_drain; 2.590105942E-10; -0
0; -19; 0; 0; 0; n_gate; -0.06099999878; 0
0; -19; 1; 2000000000; 0; n_gate; 0.0006690425429; 7.087429602E-16
0; -19; 2; 4000000000; 0; n_gate; 0; -0
0; -19; 3; 6000000000; 0; n_gate; 2.782939092E-19; 2.771458602E-19
0; -19; 4; 8000000000; 0; n_gate; 0; -0
0; -19; 0; 0; 1; n_drain; 0.04913420148; 0
0; -19; 1; 2000000000; 1; n_drain; 0.002089236175; 9.107298249E-18
0; -19; 2; 4000000000; 1; n_drain; 2.116847677E-05; -1.734723476E-18
0; -19; 3; 6000000000; 1; n_drain; 1.277437114E-07; -2.706594521E-18
0; -19; 4; 8000000000; 1; n_drain; 4.104739292E-10; -0
0; -18; 0; 0; 0; n_gate; -0.06099999878; 0
0; -18; 1; 2000000000; 0; n_gate; 0.0007506780798; 7.962380755E-16
0; -18; 2; 4000000000; 0; n_gate; 0; -0
0; -18; 3; 6000000000; 0; n_gate; 5.9343084E-19; -1.036103934E-18
0; -18; 4; 8000000000; 0; n_gate; 0; -0
0; -18; 0; 0; 1; n_drain; 0.04913968279; 0
0; -18; 1; 2000000000; 1; n_drain; 0.002344272928; 8.890457814E-18
0; -18; 2; 4000000000; 1; n_drain; 2.665006973E-05; -1.226503708E-18
0; -18; 3; 6000000000; 1; n_drain; 1.804418928E-07; -1.776797191E-18
0; -18; 4; 8000000000; 1; n_drain; 6.50543161E-10; -0
0; -17; 0; 0; 0; n_gate; -0.06099999878; 0
0; -17; 1; 2000000000; 0; n_gate; 0.0008422746588; 8.944125822E-16
0; -17; 2; 4000000000; 0; n_gate; 0; -0
0; -17; 3; 6000000000; 0; n_gate; -5.489941186E-19; -1.314670794E-18
0; -17; 4; 8000000000; 0; n_gate; 0; -0
0; -17; 0; 0; 1; n_drain; 0.04914658357; 0
0; -17; 1; 2000000000; 1; n_drain; 0.002630474819; 2.310239673E-14
0; -17; 2; 4000000000; 1; n_drain; 3.355129997E-05; 1.76708996E-14
0; -17; 3; 6000000000; 1; n_drain; 2.548794002E-07; -9.56474227E-15
0; -17; 4; 8000000000; 1; n_drain; 1.030996757E-09; -2.499042639E-14
0; -16; 0; 0; 0; n_gate; -0.06099999878; 0
0; -16; 1; 2000000000; 0; n_gate; 0.0009450477107; 1.001640177E-15
0; -16; 2; 4000000000; 0; n_gate; 0; -0
0; -16; 3; 6000000000; 0; n_gate; -1.089630686E-18; -4.108361181E-19
0; -16; 4; 8000000000; 0; n_gate; 0; -0
0; -16; 0; 0; 1; n_drain; 0.04915527152; 0
0; -16; 1; 2000000000; 1; n_drain; 0.002951663526; -5.204170428E-17
0; -16; 2; 4000000000; 1; n_drain; 4.223993111E-05; -3.679511123E-18
0; -16; 3; 6000000000; 1; n_drain; 3.600238719E-07; -3.31838392E-19
0; -16; 4; 8000000000; 1; n_drain; 1.633847769E-09; -0
0; -15; 0; 0; 0; n_gate; -0.06099999878; 0
0; -15; 1; 2000000000; 0; n_gate; 0.001060360972; 1.1277871E-15
0; -15; 2; 4000000000; 0; n_gate; 0; -0
0; -15; 3; 6000000000; 0; n_gate; -2.263113581E-18; 4.204432955E-19
0; -15; 4; 8000000000; 0; n_gate; 0; -0
0; -15; 0; 0; 1; n_drain; 0.04916620959; 0
0; -15; 1; 2000000000; 1; n_drain; 0.003312134859; 2.310217989E-14
0; -15; 2; 4000000000; 1; n_drain; 5.317905729E-05; 1.76708996E-14
0; -15; 3; 6000000000; 1; n_drain; 5.085422724E-07; -9.562314409E-15
0; -15; 4; 8000000000; 1; n_drain; 2.5891616E-09; -2.499042639E-14
0; -14; 0; 0; 0; n_gate; -0.06099999878; 0
0; -14; 1; 2000000000; 0; n_gate; 0.001189744578; 1.26244501E-15
0; -14; 2; 4000000000; 0; n_gate; 0; -0
0; -14; 3; 6000000000; 0; n_gate; -4.241465413E-19; -5.16869648E-19
0; -14; 4; 8000000000; 0; n_gate; 0; -0
0; -14; 0; 0; 1; n_drain; 0.04917998074; 0
0; -14; 1; 2000000000; 1; n_drain; 0.003716719875; 1.691355389E-17
0; -14; 2; 4000000000; 1; n_drain; 6.69518579E-05; -3.469446952E-18
0; -14; 3; 6000000000; 1; n_drain; 7.183263886E-07; -7.474006968E-19
0; -14; 4; 8000000000; 1; n_drain; 4.102879748E-09; -0
0; -13; 0; 0; 0; n_gate; -0.06099999878; 0
0; -13; 1; 2000000000; 0; n_gate; 0.001334915373; 1.415751197E-15
0; -13; 2; 4000000000; 0; n_gate; 0; -0
0; -13; 3; 6000000000; 0; n_gate; 1.131710233E-18; -1.705476234E-18
