# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF two-tone HB engine (Phase 4c).
# A future cross-check against other simulators with the identical SDD FET is owed.
# Circuit: hero5.cnl  |  Node: n_drain  |  Quantity: I:M1:d (device current, A)
# f1 = 1.9950 GHz, f2 = 2.0050 GHz  |  MaxMixOrder = 5
# Columns: k1; k2; freq_Hz; Pave_dBm; Re; Im
k1; k2; freq_Hz; Pave_dBm; Re; Im
0; 0; 0; -20; 0.049146684; 0
1; 0; 1995000000; -20; 0.0018630298; 2.6641936E-06
0; 1; 2005000000; -20; 0.0018630298; 2.6518983E-06
2; 0; 3990000000; -20; 1.6827243E-05; 4.819997E-08
1; 1; 4000000000; -20; 3.3652405E-05; 9.6170628E-08
1; -1; -10000000; -20; 3.3654532E-05; -2.8378578E-09
0; 2; 4010000000; -20; 1.6827244E-05; 4.7977778E-08
3; 0; 5985000000; -20; 9.0515598E-08; 3.9126251E-10
2; 1; 5995000000; -20; 2.7155357E-07; 1.1720041E-09
2; -1; 1985000000; -20; 2.717976E-07; 3.6376351E-10
1; 2; 6005000000; -20; 2.7155359E-07; 1.1702038E-09
1; -2; -2015000000; -20; 2.7179784E-07; -4.714081E-10
0; 3; 6015000000; -20; 9.0515614E-08; 3.8946767E-10
4; 0; 7980000000; -20; 2.5923028E-10; 1.535055E-12
3; 1; 7990000000; -20; 1.0373236E-09; 6.1281439E-12
3; -1; 3980000000; -20; 1.0414575E-09; 3.076218E-12
2; 2; 8000000000; -20; 1.5561097E-09; 9.1856587E-12
2; -2; -20000000; -20; 1.5644727E-09; -1.1133881E-12
1; 3; 8010000000; -20; 1.0373315E-09; 6.1195418E-12
1; -3; -4020000000; -20; 1.0414573E-09; -4.0356217E-12
0; 4; 8020000000; -20; 2.5922859E-10; 1.5272728E-12
5; 0; 9975000000; -20; -2.7679545E-13; -1.8763897E-15
4; 1; 9985000000; -20; -1.3891498E-12; -4.5740166E-15
4; -1; 5975000000; -20; -1.3548897E-12; -2.7103035E-15
3; 2; 9995000000; -20; -2.778591E-12; -1.1379384E-14
3; -2; 1975000000; -20; -2.6737181E-12; -9.0525775E-15
2; 3; 10005000000; -20; -2.7751161E-12; -1.6787006E-14
2; -3; -2025000000; -20; -2.6709401E-12; -1.3397888E-14
