# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF two-tone HB engine (Phase 4c).
# A future cross-check against other simulators with the identical SDD FET is owed.
# Circuit: hero5.cnl  |  Node: n_drain  |  Quantity: V (interface voltage)
# f1 = 1.9950 GHz, f2 = 2.0050 GHz  |  MaxMixOrder = 5
# Columns: k1; k2; freq_Hz; Pave_dBm; Re; Im
k1; k2; freq_Hz; Pave_dBm; Re; Im
0; 0; 0; -20; 48; 0
1; 0; 1995000000; -20; -0.14877084; -0.019776986
0; 1; 2005000000; -20; -0.14877222; -0.019771359
2; 0; 3990000000; -20; -1.6827243E-05; -4.8199966E-08
1; 1; 4000000000; -20; -3.3652405E-05; -9.6170638E-08
1; -1; -10000000; -20; -0.00024591645; 0.00032373489
0; 2; 4010000000; -20; -1.6827244E-05; -4.7977785E-08
3; 0; 5985000000; -20; -1.0092023E-13; 2.4066271E-12
2; 1; 5995000000; -20; -3.0266779E-13; 7.2080179E-12
2; -1; 1985000000; -20; -2.170427E-05; -2.8839607E-06
1; 2; 6005000000; -20; -3.0256825E-13; 7.1960149E-12
1; -2; -2015000000; -20; -2.1703707E-05; 2.8905282E-06
0; 3; 6015000000; -20; -1.0082091E-13; 2.3946241E-12
4; 0; 7980000000; -20; -2.8978103E-16; 5.1685028E-15
3; 1; 7990000000; -20; -1.1594708E-15; 2.0656598E-14
3; -1; 3980000000; -20; -1.0414521E-09; -3.0756205E-12
2; 2; 8000000000; -20; -1.7388578E-15; 3.0948432E-14
2; -2; -20000000; -20; -1.3341298E-08; 1.5474707E-08
1; 3; 8010000000; -20; -1.1589188E-15; 2.0605036E-14
1; -3; -4020000000; -20; -1.0414636E-09; 4.0322092E-12
0; 4; 8020000000; -20; -2.8950743E-16; 5.1428446E-15
5; 0; 9975000000; -20; 2.975775E-19; -4.4821414E-18
4; 1; 9985000000; -20; 1.5531237E-18; -2.2159604E-17
4; -1; 5975000000; -20; 1.4344386E-18; -3.6182615E-17
3; 2; 9995000000; -20; 3.007684E-18; -4.4172568E-17
3; -2; 1975000000; -20; 2.1360279E-10; 2.8890032E-11
2; 3; 10005000000; -20; 2.9296547E-18; -4.4196708E-17
2; -3; -2025000000; -20; 2.1362004E-10; -2.7225166E-11
1; 4; 10015000000; -20; 1.522585E-18; -2.2084297E-17
1; -4; -6025000000; -20; 1.2017151E-18; 3.5776696E-17
0; 5; 10025000000; -20; 3.0575921E-19; -4.3741267E-18
0; 0; 0; -16; 48; 0
1; 0; 1995000000; -16; -0.23594188; -0.031365153
0; 1; 2005000000; -16; -0.23594407; -0.031356252
2; 0; 3990000000; -16; -4.2283929E-05; -1.2112319E-07
1; 1; 4000000000; -16; -8.4554729E-05; -2.4165075E-07
1; -1; -10000000; -16; -0.00061788762; 0.00081341372
0; 2; 4010000000; -16; -4.2283932E-05; -1.2057242E-07
3; 0; 5985000000; -16; -4.0172812E-13; 9.579865E-12
2; 1; 5995000000; -16; -1.2048593E-12; 2.8693463E-11
2; -1; 1985000000; -16; -8.6399798E-05; -1.148039E-05
1; 2; 6005000000; -16; -1.2044649E-12; 2.8645681E-11
1; -2; -2015000000; -16; -8.6397552E-05; 1.1506572E-05
