# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF two-tone HB engine (Phase 4c).
# A future cross-check against other simulators with the identical SDD FET is owed.
# Circuit: hero5.cnl  |  Node: n_gate  |  Quantity: V (interface voltage)
# f1 = 1.9950 GHz, f2 = 2.0050 GHz  |  MaxMixOrder = 5
# Columns: k1; k2; freq_Hz; Pave_dBm; Re; Im
k1; k2; freq_Hz; Pave_dBm; Re; Im
0; 0; 0; -20; -3.0499999; 0
1; 0; 1995000000; -20; 0.029814187; 3.967311E-05
0; 1; 2005000000; -20; 0.029814188; 3.947524E-05
2; 0; 3990000000; -20; 1.2310107E-24; -4.9101553E-23
1; 1; 4000000000; -20; -6.2613045E-25; 5.5515066E-24
1; -1; -10000000; -20; -1.7523141E-23; 1.2669809E-21
0; 2; 4010000000; -20; 1.784283E-24; -1.4502102E-24
3; 0; 5985000000; -20; -4.6397874E-23; 8.1800103E-24
2; 1; 5995000000; -20; 2.1632571E-24; 3.3178722E-24
2; -1; 1985000000; -20; 1.3493427E-18; -3.2390553E-18
1; 2; 6005000000; -20; 5.1470707E-25; -9.859718E-25
1; -2; -2015000000; -20; -2.6811043E-18; 2.9815418E-19
0; 3; 6015000000; -20; 1.3814552E-23; -3.6998475E-23
4; 0; 7980000000; -20; -2.3233301E-23; -2.5777421E-23
3; 1; 7990000000; -20; -2.244492E-24; -2.0421353E-25
3; -1; 3980000000; -20; 3.9947255E-24; 4.9705063E-24
2; 2; 8000000000; -20; 1.1907394E-24; -1.005427E-24
2; -2; -20000000; -20; 3.3458572E-22; -3.4767345E-22
1; 3; 8010000000; -20; 1.6001927E-24; 1.7531704E-24
1; -3; -4020000000; -20; -5.5102549E-24; -6.0453891E-24
0; 4; 8020000000; -20; -3.5342316E-25; 7.4481792E-25
5; 0; 9975000000; -20; 1.0835601E-23; 1.2153479E-24
4; 1; 9985000000; -20; -9.9827402E-25; 9.6750025E-25
4; -1; 5975000000; -20; 5.5737194E-24; 2.1071524E-24
3; 2; 9995000000; -20; 9.6994405E-25; -9.5302986E-25
3; -2; 1975000000; -20; -4.3238868E-19; 4.0658112E-20
2; 3; 10005000000; -20; 2.6888791E-24; -4.5381594E-24
