        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e+00,        +2.029911341589e-12,        +8.818755578141e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +2.043276970623e-12,        +8.749984909320e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +2.064992371069e-12,        +8.649748609993e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +2.094498073097e-12,        +8.518626139077e-12,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +2.131090179284e-12,        +8.358888088304e-12,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +2.173949523153e-12,        +8.173578293937e-12,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +2.222178396725e-12,        +7.966176785131e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +2.274838586150e-12,        +7.740381209022e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e+00,        +2.330987143320e-12,        +7.499935233550e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+01,        +2.389707548367e-12,        +7.248490101680e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +2.450134886927e-12,        +6.989496817293e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+01,        +2.511474501093e-12,        +6.726127835725e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+01,        +2.573014246137e-12,        +6.461226189488e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+01,        +2.634130968537e-12,        +6.197278784801e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +2.694292113627e-12,        +5.936409782370e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +2.753053496994e-12,        +5.680389655478e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+01,        +2.810054270088e-12,        +5.430655637392e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+01,        +2.865010019120e-12,        +5.188339699691e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+01,        +2.917704795196e-12,        +4.954300808722e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +2.967982713256e-12,        +4.729158875661e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+01,        +3.015739599451e-12,        +4.513328465102e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+01,        +3.060915024428e-12,        +4.307050907002e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+01,        +3.103484940350e-12,        +4.110423942157e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+01,        +3.143455044359e-12,        +3.923428416018e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+01,        +3.180854919311e-12,        +3.745951824903e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+01,        +3.215732951227e-12,        +3.577808725021e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+01,        +3.248151988382e-12,        +3.418758152652e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+01,        +3.278185685654e-12,        +3.268518288414e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+01,        +3.305915466483e-12,        +3.126778643117e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+01,        +3.331428030537e-12,        +2.993210058682e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+01,        +3.354813335943e-12,        +2.867472814160e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.20000000e+01,        +3.376162988680e-12,        +2.749223111069e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+01,        +3.395568977430e-12,        +2.638118189312e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+01,        +3.413122698659e-12,        +2.533820298549e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+01,        +3.428914223527e-12,        +2.435999722667e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+01,        +3.443031764825e-12,        +2.344337028542e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e+01,        +3.455561308419e-12,        +2.258524685637e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e+01,        +3.466586379323e-12,        +2.178268180662e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e+01,        +3.476187917672e-12,        +2.103286731780e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+01,        +3.484444244405e-12,        +2.033313689649e-12,        +0.000000000000e+00,        +0.000000000000e+00
