        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -2.710236476045e+01,        +8.421928630353e+01,        -2.043609853284e-02,        -3.997496104102e+00
 2.00000000e+00,        -2.119606907657e+01,        +8.078149925043e+01,        -5.020478819179e-02,        -7.934851532950e+00
 3.00000000e+00,        -1.775863601894e+01,        +7.709987597108e+01,        -9.451141620633e-02,        -1.184209597421e+01
 4.00000000e+00,        -1.534515017551e+01,        +7.336398300971e+01,        -1.533224306380e-01,        -1.571421004582e+01
 5.00000000e+00,        -1.350045020047e+01,        +6.962772370689e+01,        -2.261353989623e-01,        -1.954441226701e+01
 6.00000000e+00,        -1.202083964717e+01,        +6.591615915364e+01,        -3.122189786261e-01,        -2.332597618847e+01
 7.00000000e+00,        -1.079701196745e+01,        +6.224423866821e+01,        -4.106934844269e-01,        -2.705277218336e+01
 8.00000000e+00,        -9.763196303351e+00,        +5.862210624592e+01,        -5.205783169785e-01,        -3.071949375757e+01
 9.00000000e+00,        -8.876522569882e+00,        +5.505705122364e+01,        -6.408283634815e-01,        -3.432175461189e+01
 1.00000000e+01,        -8.107335962048e+00,        +5.155437508394e+01,        -7.703646207773e-01,        -3.785611369889e+01
 1.10000000e+01,        -7.434157775540e+00,        +4.811784899532e+01,        -9.081003244171e-01,        -4.132005338470e+01
 1.20000000e+01,        -6.840853129606e+00,        +4.474999957423e+01,        -1.052962848976e+00,        -4.471192564057e+01
 1.30000000e+01,        -6.314939806455e+00,        +4.145231589537e+01,        -1.203911465902e+00,        -4.803087707209e+01
 1.40000000e+01,        -5.846527621904e+00,        +3.822541642862e+01,        -1.359951116567e+00,        -5.127676130131e+01
 1.50000000e+01,        -5.427625323393e+00,        +3.506919231608e+01,        -1.520142482908e+00,        -5.445004549393e+01
 1.60000000e+01,        -5.051671376670e+00,        +3.198293386790e+01,        -1.683608745272e+00,        -5.755171631641e+01
 1.70000000e+01,        -4.713206324609e+00,        +2.896544307594e+01,        -1.849539484525e+00,        -6.058318924614e+01
 1.80000000e+01,        -4.407637606043e+00,        +2.601513330809e+01,        -2.017192211348e+00,        -6.354622395751e+01
 1.90000000e+01,        -4.131066512444e+00,        +2.313011681021e+01,        -2.185891996690e+00,        -6.644284748993e+01
 2.00000000e+01,        -3.880157998000e+00,        +2.030828057910e+01,        -2.355029643430e+00,        -6.927528608303e+01
 2.10000000e+01,        -3.652040753033e+00,        +1.754735127740e+01,        -2.524058789835e+00,        -7.204590593423e+01
 2.20000000e+01,        -3.444229124823e+00,        +1.484494999975e+01,        -2.692492278537e+00,        -7.475716267595e+01
 2.30000000e+01,        -3.254561136511e+00,        +1.219863780983e+01,        -2.859898066649e+00,        -7.741155906078e+01
 2.40000000e+01,        -3.081148595696e+00,        +9.605953028884e+00,        -3.025894897393e+00,        -8.001161015237e+01
 2.50000000e+01,        -2.922336443678e+00,        +7.064441269896e+00,        -3.190147903796e+00,        -8.255981522286e+01
 2.60000000e+01,        -2.776669282668e+00,        +4.571679184143e+00,        -3.352364271909e+00,        -8.505863552788e+01
 2.70000000e+01,        -2.642863561067e+00,        +2.125292830866e+00,        -3.512289054831e+00,        -8.751047714787e+01
 2.80000000e+01,        -2.519784277933e+00,        -2.770284946807e-01,        -3.669701199453e+00,        -8.991767813302e+01
 2.90000000e+01,        -2.406425339640e+00,        -2.637522224649e+00,        -3.824409824521e+00,        -9.228249925537e+01
 3.00000000e+01,        -2.301892898826e+00,        -4.958345611956e+00,        -3.976250770613e+00,        -9.460711774666e+01
 3.10000000e+01,        -2.205391150920e+00,        -7.241571378915e+00,        -4.125083429147e+00,        -9.689362347771e+01
 3.20000000e+01,        -2.116210172040e+00,        -9.489185428603e+00,        -4.270787847606e+00,        -9.914401711006e+01
 3.30000000e+01,        -2.033715464443e+00,        -1.170308620165e+01,        -4.413262101292e+00,        -1.013602098203e+02
 3.40000000e+01,        -1.957338938992e+00,        -1.388508532875e+01,        -4.552419917219e+00,        -1.035440242616e+02
 3.50000000e+01,        -1.886571113491e+00,        -1.603690928881e+01,        -4.688188532853e+00,        -1.056971964830e+02
 3.60000000e+01,        -1.820954344670e+00,        -1.816020183436e+01,        -4.820506770809e+00,        -1.078213785768e+02
 3.70000000e+01,        -1.760076942619e+00,        -2.025652699058e+01,        -4.949323309923e+00,        -1.099181418676e+02
 3.80000000e+01,        -1.703568041532e+00,        -2.232737247231e+01,        -5.074595133129e+00,        -1.119889804923e+02
 3.90000000e+01,        -1.651093120903e+00,        -2.437415339535e+01,        -5.196286132968e+00,        -1.140353152523e+02
 4.00000000e+01,        -1.602350088038e+00,        -2.639821618585e+01,        -5.314365856291e+00,        -1.160584976448e+02
