        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00000000e+00,        +1.414213562373e-01,        +1.420501981761e-01,        +6.226284139405e-03,        +1.407458378442e-01,        -9.825175413413e-03
 2.00000000e+00,        +1.414213562373e-01,        +1.433955906814e-01,        +1.219356982801e-02,        +1.392604677764e-01,        -1.938891283255e-02
 3.00000000e+00,        +1.414213562373e-01,        +1.455082523213e-01,        +1.788810797830e-02,        +1.369146548028e-01,        -2.867504745626e-02
 4.00000000e+00,        +1.414213562373e-01,        +1.483406547505e-01,        +2.321633635368e-02,        +1.337561275918e-01,        -3.758761374989e-02
 5.00000000e+00,        +1.414213562373e-01,        +1.518252166237e-01,        +2.809160892875e-02,        +1.298527412045e-01,        -4.603758467150e-02
 6.00000000e+00,        +1.414213562373e-01,        +1.558810728521e-01,        +3.244102645545e-02,        +1.252857018888e-01,        -5.394970738221e-02
 7.00000000e+00,        +1.414213562373e-01,        +1.604187630771e-01,        +3.620799967229e-02,        +1.201448725259e-01,        -6.126506977113e-02
 8.00000000e+00,        +1.414213562373e-01,        +1.653444286979e-01,        +3.935304721260e-02,        +1.145245695025e-01,        -6.794190007838e-02
 9.00000000e+00,        +1.414213562373e-01,        +1.705635806780e-01,        +4.185342517420e-02,        +1.085197891668e-01,        -7.395519676243e-02
 1.00000000e+01,        +1.414213562373e-01,        +1.759843219233e-01,        +4.370190983875e-02,        +1.022229803871e-01,        -7.929551036970e-02
 1.10000000e+01,        +1.414213562373e-01,        +1.815199286735e-01,        +4.490499957144e-02,        +9.572145896263e-02,        -8.396714375486e-02
 1.20000000e+01,        +1.414213562373e-01,        +1.870907545555e-01,        +4.548077535412e-02,        +8.909550031286e-02,        -8.798601042689e-02
 1.30000000e+01,        +1.414213562373e-01,        +1.926254792747e-01,        +4.545662713096e-02,        +8.241708845071e-02,        -9.137735849128e-02
 1.40000000e+01,        +1.414213562373e-01,        +1.980617685203e-01,        +4.486701243469e-02,        +7.574925456969e-02,        -9.417352689551e-02
 1.50000000e+01,        +1.414213562373e-01,        +2.033464392040e-01,        +4.375136926331e-02,        +6.914591099227e-02,        -9.641185612390e-02
 1.60000000e+01,        +1.414213562373e-01,        +2.084352357841e-01,        +4.215226223422e-02,        +6.265207457132e-02,        -9.813283248373e-02
 1.70000000e+01,        +1.414213562373e-01,        +2.132923224758e-01,        +4.011380360810e-02,        +5.630437458998e-02,        -9.937850763464e-02
 1.80000000e+01,        +1.414213562373e-01,        +2.178895865798e-01,        +3.768036095928e-02,        +5.013174978791e-02,        -1.001912051540e-01
 1.90000000e+01,        +1.414213562373e-01,        +2.222058337103e-01,        +3.489554158396e-02,        +4.415625361166e-02,        -1.006125042132e-01
 2.00000000e+01,        +1.414213562373e-01,        +2.262259393975e-01,        +3.180142957406e-02,        +3.839390311902e-02,        -1.006824762546e-01
 2.10000000e+01,        +1.414213562373e-01,        +2.299400055215e-01,        +2.843804360519e-02,        +3.285552300640e-02,        -1.004391426684e-01
 2.20000000e+01,        +1.414213562373e-01,        +2.333425556470e-01,        +2.484298042960e-02,        +2.754755063958e-02,        -9.991811840531e-02
 2.30000000e+01,        +1.414213562373e-01,        +2.364317912308e-01,        +2.105120940669e-02,        +2.247278008196e-02,        -9.915240680322e-02
 2.40000000e+01,        +1.414213562373e-01,        +2.392089210589e-01,        +1.709498592017e-02,        +1.763103274331e-02,        -9.817231342571e-02
 2.50000000e+01,        +1.414213562373e-01,        +2.416775690155e-01,        +1.300385525292e-02,        +1.301974953913e-02,        -9.700545043783e-02
 2.60000000e+01,        +1.414213562373e-01,        +2.438432600950e-01,        +8.804722709157e-03,        +8.634504646310e-03,        -9.567680726864e-02
 2.70000000e+01,        +1.414213562373e-01,        +2.457129810880e-01,        +4.521970007326e-03,        +4.469444430367e-03,        -9.420886754964e-02
 2.80000000e+01,        +1.414213562373e-01,        +2.472948102222e-01,        +1.776019178213e-04,        +5.176572678793e-04,        -9.262175627506e-02
 2.90000000e+01,        +1.414213562373e-01,        +2.485976088992e-01,        -4.208589372235e-03,        -3.228518868153e-03,        -9.093340464191e-02
 3.00000000e+01,        +1.414213562373e-01,        +2.496307682447e-01,        -8.618851685786e-03,        -6.777243769407e-03,        -8.915972303167e-02
 3.10000000e+01,        +1.414213562373e-01,        +2.504040032583e-01,        -1.303729910368e-02,        -1.013697007755e-02,        -8.731477508714e-02
 3.20000000e+01,        +1.414213562373e-01,        +2.509271877278e-01,        -1.744974204968e-02,        -1.331627925436e-02,        -8.541094785400e-02
