        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -2.708164507475e+01,        +8.423280023116e+01,        -2.047633486158e-02,        -3.993221580561e+00
 2.00000000e+00,        -2.117530259490e+01,        +8.080317274906e+01,        -5.036335034926e-02,        -7.926206162882e+00
 3.00000000e+00,        -1.773803484366e+01,        +7.713052128344e+01,        -9.486196049917e-02,        -1.182890177962e+01
 4.00000000e+00,        -1.532484411508e+01,        +7.340406150729e+01,        -1.539325233001e-01,        -1.569621336419e+01
 5.00000000e+00,        -1.348054188753e+01,        +6.967765094178e+01,        -2.270647682972e-01,        -1.952129343588e+01
 6.00000000e+00,        -1.200141500736e+01,        +6.597636032436e+01,        -3.135181691903e-01,        -2.329736118480e+01
 7.00000000e+00,        -1.077814319074e+01,        +6.231515829774e+01,        -4.124029439990e-01,        -2.701824534347e+01
 8.00000000e+00,        -9.744942985532e+00,        +5.870420459252e+01,        -5.227279212316e-01,        -3.067861080163e+01
 9.00000000e+00,        -8.858932427067e+00,        +5.515079625200e+01,        -6.434373503821e-01,        -3.427405527817e+01
 1.00000000e+01,        -8.090445538399e+00,        +5.166023327516e+01,        -7.734418818972e-01,        -3.780113342536e+01
 1.10000000e+01,        -7.417993262603e+00,        +4.823627647723e+01,        -9.116449851667e-01,        -4.125733363369e+01
 1.20000000e+01,        -6.825431306218e+00,        +4.488143429792e+01,        -1.056965063664e+00,        -4.464102262387e+01
 1.30000000e+01,        -6.300269067238e+00,        +4.159717119192e+01,        -1.208353354933e+00,        -4.795136878009e+01
 1.40000000e+01,        -5.832609049949e+00,        +3.838407604770e+01,        -1.364807779953e+00,        -5.118825286022e+01
 1.50000000e+01,        -5.414453763535e+00,        +3.524200690358e+01,        -1.525383034475e+00,        -5.435217296457e+01
 1.60000000e+01,        -5.039236472440e+00,        +3.217021875221e+01,        -1.689197323610e+00,        -5.744414910635e+01
 1.70000000e+01,        -4.701493490908e+00,        +2.916747718526e+01,        -1.855436208407e+00,        -6.046563133841e+01
 1.80000000e+01,        -4.396628918657e+00,        +2.623215902257e+01,        -2.023354057985e+00,        -6.341841416822e+01
 1.90000000e+01,        -4.120741503680e+00,        +2.336234055404e+01,        -2.192273590305e+00,        -6.630455896021e+01
 2.00000000e+01,        -3.870494354384e+00,        +2.055587397156e+01,        -2.361583948898e+00,        -6.912632519358e+01
 2.10000000e+01,        -3.643014916175e+00,        +1.781045268299e+01,        -2.530737711636e+00,        -7.188611080693e+01
 2.20000000e+01,        -3.435816800175e+00,        +1.512366634203e+01,        -2.699247169167e+00,        -7.458640140171e+01
 2.30000000e+01,        -3.246737717101e+00,        +1.249304653801e+01,        -2.866680151148e+00,        -7.722972776665e+01
 2.40000000e+01,        -3.073889509267e+00,        +9.916104149550e+00,        -3.032655622096e+00,        -7.981863099762e+01
 2.50000000e+01,        -2.915617432185e+00,        +7.390359376803e+00,        -3.196839218023e+00,        -8.235563439215e+01
 2.60000000e+01,        -2.770466623059e+00,        +4.913365436822e+00,        -3.358938851339e+00,        -8.484322127188e+01
 2.70000000e+01,        -2.637154235874e+00,        +2.482726847375e+00,        -3.518700474937e+00,        -8.728381790669e+01
 2.80000000e+01,        -2.514546103529e+00,        +9.611314637172e-02,        -3.675904066730e+00,        -8.967978076572e+01
 2.90000000e+01,        -2.401637059256e+00,        -2.248731193713e+00,        -3.830359872515e+00,        -9.203338738957e+01
 3.00000000e+01,        -2.297534246600e+00,        -4.553979987811e+00,        -3.981904926920e+00,        -9.434683025493e+01
 3.10000000e+01,        -2.201442892412e+00,        -6.821721116748e+00,        -4.130399858757e+00,        -9.662221308234e+01
 3.20000000e+01,        -2.112654125919e+00,        -9.053954365918e+00,        -4.275725977209e+00,        -9.886154911374e+01
 3.30000000e+01,        -2.030534509290e+00,        -1.125259090434e+01,        -4.417782628441e+00,        -1.010667609579e+02
 3.40000000e+01,        -1.954517008573e+00,        -1.341945405269e+01,        -4.556484807619e+00,        -1.032396816662e+02
 3.50000000e+01,        -1.884093183274e+00,        -1.555628104931e+01,        -4.691761008503e+00,        -1.053820567591e+02
 3.60000000e+01,        -1.818806411877e+00,        -1.766472557543e+01,        -4.823551291203e+00,        -1.074955469720e+02
 3.70000000e+01,        -1.758246001709e+00,        -1.974636084585e+01,        -4.951805548143e+00,        -1.095817315350e+02
 3.80000000e+01,        -1.702042056641e+00,        -2.180268310968e+01,        -5.076481948265e+00,        -1.116421118361e+02
 3.90000000e+01,        -1.649860996491e+00,        -2.383511543793e+01,        -5.197545540049e+00,        -1.136781153482e+02
 4.00000000e+01,        -1.601401638747e+00,        -2.584501170217e+01,        -5.314966994617e+00,        -1.156910997289e+02
