        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 1.00000000e+00,        +7.071067811865e+00,        +7.102509908804e+00,        +3.113142069703e-01,        +7.037291892208e+00,        -4.912587706707e-01
 2.00000000e+00,        +7.071067811865e+00,        +7.169779534069e+00,        +6.096784914003e-01,        +6.963023388820e+00,        -9.694456416273e-01
 3.00000000e+00,        +7.071067811865e+00,        +7.275412616067e+00,        +8.944053989150e-01,        +6.845732740142e+00,        -1.433752372813e+00
 4.00000000e+00,        +7.071067811865e+00,        +7.417032737527e+00,        +1.160816817684e+00,        +6.687806379588e+00,        -1.879380687494e+00
 5.00000000e+00,        +7.071067811865e+00,        +7.591260831184e+00,        +1.404580446437e+00,        +6.492637060225e+00,        -2.301879233575e+00
 6.00000000e+00,        +7.071067811865e+00,        +7.794053642604e+00,        +1.622051322772e+00,        +6.264285094438e+00,        -2.697485369111e+00
 7.00000000e+00,        +7.071067811865e+00,        +8.020938153855e+00,        +1.810399983615e+00,        +6.007243626297e+00,        -3.063253488557e+00
 8.00000000e+00,        +7.071067811865e+00,        +8.267221434895e+00,        +1.967652360630e+00,        +5.726228475127e+00,        -3.397095003919e+00
 9.00000000e+00,        +7.071067811865e+00,        +8.528179033900e+00,        +2.092671258710e+00,        +5.425989458339e+00,        -3.697759838121e+00
 1.00000000e+01,        +7.071067811865e+00,        +8.799216096167e+00,        +2.185095491938e+00,        +5.111149019353e+00,        -3.964775518485e+00
 1.10000000e+01,        +7.071067811865e+00,        +9.075996433675e+00,        +2.245249978572e+00,        +4.786072948132e+00,        -4.198357187743e+00
 1.20000000e+01,        +7.071067811865e+00,        +9.354537727777e+00,        +2.274038767706e+00,        +4.454775015643e+00,        -4.399300521344e+00
 1.30000000e+01,        +7.071067811865e+00,        +9.631273963733e+00,        +2.272831356548e+00,        +4.120854422536e+00,        -4.568867924564e+00
 1.40000000e+01,        +7.071067811865e+00,        +9.903088426013e+00,        +2.243350621734e+00,        +3.787462728484e+00,        -4.708676344775e+00
 1.50000000e+01,        +7.071067811865e+00,        +1.016732196020e+01,        +2.187568463166e+00,        +3.457295549613e+00,        -4.820592806195e+00
 1.60000000e+01,        +7.071067811865e+00,        +1.042176178920e+01,        +2.107613111711e+00,        +3.132603728566e+00,        -4.906641624186e+00
 1.70000000e+01,        +7.071067811865e+00,        +1.066461612379e+01,        +2.005690180405e+00,        +2.815218729499e+00,        -4.968925381732e+00
 1.80000000e+01,        +7.071067811865e+00,        +1.089447932899e+01,        +1.884018047964e+00,        +2.506587489395e+00,        -5.009560257701e+00
 1.90000000e+01,        +7.071067811865e+00,        +1.111029168552e+01,        +1.744777079198e+00,        +2.207812680583e+00,        -5.030625210661e+00
 2.00000000e+01,        +7.071067811865e+00,        +1.131129696988e+01,        +1.590071478703e+00,        +1.919695155951e+00,        -5.034123812729e+00
 2.10000000e+01,        +7.071067811865e+00,        +1.149700027607e+01,        +1.421902180260e+00,        +1.642776150320e+00,        -5.021957133419e+00
 2.20000000e+01,        +7.071067811865e+00,        +1.166712778235e+01,        +1.242149021480e+00,        +1.377377531979e+00,        -4.995905920265e+00
 2.30000000e+01,        +7.071067811865e+00,        +1.182158956154e+01,        +1.052560470335e+00,        +1.123639004098e+00,        -4.957620340161e+00
 2.40000000e+01,        +7.071067811865e+00,        +1.196044605295e+01,        +8.547492960087e-01,        +8.815516371657e-01,        -4.908615671285e+00
 2.50000000e+01,        +7.071067811865e+00,        +1.208387845077e+01,        +6.501927626458e-01,        +6.509874769565e-01,        -4.850272521892e+00
 2.60000000e+01,        +7.071067811865e+00,        +1.219216300475e+01,        +4.402361354579e-01,        +4.317252323155e-01,        -4.783840363432e+00
 2.70000000e+01,        +7.071067811865e+00,        +1.228564905440e+01,        +2.260985003663e-01,        +2.234722215183e-01,        -4.710443377482e+00
 2.80000000e+01,        +7.071067811865e+00,        +1.236474051111e+01,        +8.880095891064e-03,        +2.588286339397e-02,        -4.631087813753e+00
 2.90000000e+01,        +7.071067811865e+00,        +1.242988044496e+01,        -2.104294686118e-01,        -1.614259434076e-01,        -4.546670232095e+00
 3.00000000e+01,        +7.071067811865e+00,        +1.248153841223e+01,        -4.309425842893e-01,        -3.388621884703e-01,        -4.457986151583e+00
 3.10000000e+01,        +7.071067811865e+00,        +1.252020016291e+01,        -6.518649551839e-01,        -5.068485038773e-01,        -4.365738754357e+00
 3.20000000e+01,        +7.071067811865e+00,        +1.254635938639e+01,        -8.724871024839e-01,        -6.658139627181e-01,        -4.270547392700e+00
 3.30000000e+01,        +7.071067811865e+00,        +1.256051118207e+01,        -1.092176231841e+00,        -8.161876081571e-01,        -4.172955727494e+00
 3.40000000e+01,        +7.071067811865e+00,        +1.256314697401e+01,        -1.310368573368e+00,        -9.583934321268e-01,        -4.073439387839e+00
 3.50000000e+01,        +7.071067811865e+00,        +1.255475062267e+01,        -1.526562257264e+00,        -1.092846556675e+00,        -3.972413088289e+00
 3.60000000e+01,        +7.071067811865e+00,        +1.253579551980e+01,        -1.740310753513e+00,        -1.219950404101e+00,        -3.870237174672e+00
 3.70000000e+01,        +7.071067811865e+00,        +1.250674248335e+01,        -1.951216879153e+00,        -1.340094672983e+00,        -3.767223594312e+00
 3.80000000e+01,        +7.071067811865e+00,        +1.246803829737e+01,        -2.158927359281e+00,        -1.453653965314e+00,        -3.663641303785e+00
 3.90000000e+01,        +7.071067811865e+00,        +1.242011476642e+01,        -2.363127916282e+00,        -1.560986935024e+00,        -3.559721138877e+00
 4.00000000e+01,        +7.071067811865e+00,        +1.236338817616e+01,        -2.563538854508e+00,        -1.662435850013e+00,        -3.455660178555e+00
