        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e+00,        +2.046413255717e-12,        +8.801697181035e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +2.059946282397e-12,        +8.733491620674e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +2.081929569734e-12,        +8.634213054228e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +2.111802012120e-12,        +8.504376566355e-12,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +2.148856433771e-12,        +8.346191974133e-12,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +2.192269094342e-12,        +8.162638000068e-12,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +2.241136368296e-12,        +7.957127723428e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +2.294512740189e-12,        +7.733293598137e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e+00,        +2.351446626485e-12,        +7.494819098669e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+01,        +2.411011690181e-12,        +7.245302727311e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +2.472332258264e-12,        +6.988151734392e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+01,        +2.534602274312e-12,        +6.726504460320e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+01,        +2.597097886687e-12,        +6.463179362682e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+01,        +2.659184257162e-12,        +6.200647644441e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +2.720317472798e-12,        +5.941025587061e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +2.780042576986e-12,        +5.686082355881e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+01,        +2.837988739800e-12,        +5.437259132899e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+01,        +2.893862503389e-12,        +5.195695824932e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+01,        +2.947439902545e-12,        +4.962262164912e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +2.998558104010e-12,        +4.737590661495e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+01,        +3.047107052275e-12,        +4.522109477427e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+01,        +3.093021468263e-12,        +4.316073879774e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+01,        +3.136273427480e-12,        +4.119595379338e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+01,        +3.176865648238e-12,        +3.932668055014e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+01,        +3.214825547545e-12,        +3.755191845641e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+01,        +3.250200069523e-12,        +3.586992798166e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+01,        +3.283051255486e-12,        +3.427840400519e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+01,        +3.313452502337e-12,        +3.277462214483e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+01,        +3.341485443688e-12,        +3.135556071176e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+01,        +3.367237383113e-12,        +3.001800110388e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+01,        +3.390799209007e-12,        +2.875860944113e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.20000000e+01,        +3.412263723888e-12,        +2.757400210957e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+01,        +3.431724326275e-12,        +2.646079767010e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+01,        +3.449273989575e-12,        +2.541565733890e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+01,        +3.465004489072e-12,        +2.443531598675e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+01,        +3.479005834646e-12,        +2.351660534903e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e+01,        +3.491365873091e-12,        +2.265647089915e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e+01,        +3.502170029553e-12,        +2.185198362033e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e+01,        +3.511501162780e-12,        +2.110034771708e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+01,        +3.519439513423e-12,        +2.039890513867e-12,        +0.000000000000e+00,        +0.000000000000e+00
