        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00000000e+00,        +1.414213562373e-01,        +1.420489250243e-01,        +6.196744197237e-03,        +1.407468855545e-01,        -9.824874767902e-03
 2.00000000e+00,        +1.414213562373e-01,        +1.433899329854e-01,        +1.213507772727e-02,        +1.392651862378e-01,        -1.938905501534e-02
 3.00000000e+00,        +1.414213562373e-01,        +1.454955589193e-01,        +1.780213117787e-02,        +1.369251413673e-01,        -2.867737882127e-02
 4.00000000e+00,        +1.414213562373e-01,        +1.483188450796e-01,        +2.310491545875e-02,        +1.337738159600e-01,        -3.759456262495e-02
 5.00000000e+00,        +1.414213562373e-01,        +1.517928984222e-01,        +2.795714684773e-02,        +1.298782569023e-01,        -4.605202551543e-02
 6.00000000e+00,        +1.414213562373e-01,        +1.558375958579e-01,        +3.228606332929e-02,        +1.253187890643e-01,        -5.397470585146e-02
 7.00000000e+00,        +1.414213562373e-01,        +1.603642040084e-01,        +3.603499219255e-02,        +1.201843970265e-01,        -6.130362954168e-02
 8.00000000e+00,        +1.414213562373e-01,        +1.652795148452e-01,        +3.916417256590e-02,        +1.145685909226e-01,        -6.799673366081e-02
 9.00000000e+00,        +1.414213562373e-01,        +1.704895661230e-01,        +4.165042510868e-02,        +1.085656873474e-01,        -7.402853761643e-02
 1.00000000e+01,        +1.414213562373e-01,        +1.759028336542e-01,        +4.348598378049e-02,        +1.022676181745e-01,        -7.938897672075e-02
 1.10000000e+01,        +1.414213562373e-01,        +1.814328001709e-01,        +4.467674910319e-02,        +9.576136246660e-02,        -8.408165748828e-02
 1.20000000e+01,        +1.414213562373e-01,        +1.869998624666e-01,        +4.524019679133e-02,        +8.912703975802e-02,        -8.812176843500e-02
 1.30000000e+01,        +1.414213562373e-01,        +1.925325954102e-01,        +4.520314496617e-02,        +8.243664611857e-02,        -9.153384950052e-02
 1.40000000e+01,        +1.414213562373e-01,        +1.979684354480e-01,        +4.459954420742e-02,        +7.575337040866e-02,        -9.434958426951e-02
 1.50000000e+01,        +1.414213562373e-01,        +2.032538738462e-01,        +4.346841176509e-02,        +6.913140051542e-02,        -9.660573625523e-02
 1.60000000e+01,        +1.414213562373e-01,        +2.083442621171e-01,        +4.185198951339e-02,        +6.261611717279e-02,        -9.834230878660e-02
 1.70000000e+01,        +1.414213562373e-01,        +2.132033319064e-01,        +3.979416857307e-02,        +5.624457313618e-02,        -9.960097140192e-02
 1.80000000e+01,        +1.414213562373e-01,        +2.178025228845e-01,        +3.733919410220e-02,        +5.004616421437e-02,        -1.004237662395e-01
 1.90000000e+01,        +1.414213562373e-01,        +2.221201984885e-01,        +3.453064214999e-02,        +4.404341234838e-02,        -1.008520863200e-01
 2.00000000e+01,        +1.414213562373e-01,        +2.261408136647e-01,        +3.141064617212e-02,        +3.825279661920e-02,        -1.009259033270e-01
 2.10000000e+01,        +1.414213562373e-01,        +2.298540831879e-01,        +2.801934267360e-02,        +3.268558363145e-02,        -1.006832143614e-01
 2.20000000e+01,        +1.414213562373e-01,        +2.332541850280e-01,        +2.439450208477e-02,        +2.734862281851e-02,        -1.001596737897e-01
 2.30000000e+01,        +1.414213562373e-01,        +2.363390212934e-01,        +2.057131101713e-02,        +2.224508415040e-02,        -9.938837634365e-02
