        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -2.712271241832e+01,        +8.421714652067e+01,        -2.041327988312e-02,        -3.993070157024e+00
 2.00000000e+00,        -2.121663779053e+01,        +8.078563210426e+01,        -5.007344250680e-02,        -7.925998410911e+00
 3.00000000e+00,        -1.777914621803e+01,        +7.710926519833e+01,        -9.419499718271e-02,        -1.182895593067e+01
 4.00000000e+00,        -1.536545652970e+01,        +7.337810656098e+01,        -1.527504943791e-01,        -1.569699860338e+01
 5.00000000e+00,        -1.352044731577e+01,        +6.964615375523e+01,        -2.252445523243e-01,        -1.952340749694e+01
 6.00000000e+00,        -1.204044300374e+01,        +6.593848010054e+01,        -3.109538898896e-01,        -2.330150742020e+01
 7.00000000e+00,        -1.081615201218e+01,        +6.227002650464e+01,        -4.090076246568e-01,        -2.702520853536e+01
 8.00000000e+00,        -9.781816066209e+00,        +5.865092622674e+01,        -5.184343620694e-01,        -3.068923266140e+01
 9.00000000e+00,        -8.894576375015e+00,        +5.508846207469e+01,        -6.381982596456e-01,        -3.428921076933e+01
 1.00000000e+01,        -8.124788462498e+00,        +5.158793544904e+01,        -7.672293499731e-01,        -3.782170889558e+01
 1.10000000e+01,        -7.450983046654e+00,        +4.815312424108e+01,        -9.044494237516e-01,        -4.128420748270e+01
 1.20000000e+01,        -6.857033739905e+00,        +4.478656804531e+01,        -1.048793745373e+00,        -4.467504894895e+01
 1.30000000e+01,        -6.330465857244e+00,        +4.148977418795e+01,        -1.199228687205e+00,        -4.799336417607e+01
 1.40000000e+01,        -5.861395774671e+00,        +3.826338351417e+01,        -1.354765435021e+00,        -5.123898632982e+01
 1.50000000e+01,        -5.441837841951e+00,        +3.510731250473e+01,        -1.514470038618e+00,        -5.441235873041e+01
 1.60000000e+01,        -5.065235209754e+00,        +3.202087869401e+01,        -1.677470187487e+00,        -5.751444200714e+01
 1.70000000e+01,        -4.726132249481e+00,        +2.900291224003e+01,        -1.842959158760e+00,        -6.054662443343e+01
 1.80000000e+01,        -4.419939447317e+00,        +2.605185483144e+01,        -2.010197411244e+00,        -6.351063815641e+01
 1.90000000e+01,        -4.142760444169e+00,        +2.316584656212e+01,        -2.178512291768e+00,        -6.640848303231e+01
 2.00000000e+01,        -3.891261931789e+00,        +2.034280132748e+01,        -2.347296287602e+00,        -6.924235896749e+01
 2.10000000e+01,        -3.662573810916e+00,        +1.758047139697e+01,        -2.516004210759e+00,        -7.201460703962e+01
 2.20000000e+01,        -3.454211192525e+00,        +1.487650195301e+01,        -2.684149644548e+00,        -7.472765921855e+01
 2.30000000e+01,        -3.264012490913e+00,        +1.222847649500e+01,        -2.851300925743e+00,        -7.738399619650e+01
 2.40000000e+01,        -3.090089599155e+00,        +9.633954070248e+00,        -3.017076881455e+00,        -7.998611264624e+01
 2.50000000e+01,        -2.930787297421e+00,        +7.090499308096e+00,        -3.181142490700e+00,        -8.253648912588e+01
 2.60000000e+01,        -2.784649831524e+00,        +4.595706209278e+00,        -3.343204598041e+00,        -8.503756981701e+01
 2.70000000e+01,        -2.650393142147e+00,        +2.147216588414e+00,        -3.503007770879e+00,        -8.749174529786e+01
 2.80000000e+01,        -2.526881606438e+00,        -2.572660050339e-01,        -3.660330362830e+00,        -8.990133959915e+01
 2.90000000e+01,        -2.413108425636e+00,        -2.619966145309e+00,        -3.814980822394e+00,        -9.226860085438e+01
 3.00000000e+01,        -2.308178989530e+00,        -4.943029512929e+00,        -3.966794268221e+00,        -9.459569492945e+01
 3.10000000e+01,        -2.211296693762e+00,        -7.228518431224e+00,        -4.115629338744e+00,        -9.688470149206e+01
 3.20000000e+01,        -2.121750794412e+00,        -9.478409467538e+00,        -4.261365314054e+00,        -9.913761205490e+01
 3.30000000e+01,        -2.038905966673e+00,        -1.169459268407e+01,        -4.403899500900e+00,        -1.013563295956e+02
 3.40000000e+01,        -1.962193297625e+00,        -1.387887219015e+01,        -4.543144866981e+00,        -1.035426694191e+02
 3.50000000e+01,        -1.891102492446e+00,        -1.603296770657e+01,        -4.679027907725e+00,        -1.056983609844e+02
 3.60000000e+01,        -1.825175112256e+00,        -1.815851690430e+01,        -4.811486727065e+00,        -1.078250504659e+02
 3.70000000e+01,        -1.763998692775e+00,        -2.025707832372e+01,        -4.940469313006e+00,        -1.099243038638e+02
 3.80000000e+01,        -1.707201617928e+00,        -2.233013471868e+01,        -5.065931988711e+00,        -1.119976105114e+02
 3.90000000e+01,        -1.654448642819e+00,        -2.437909670155e+01,        -5.187838020196e+00,        -1.140463868617e+02
 4.00000000e+01,        -1.605436977145e+00,        -2.640530659234e+01,        -5.306156362402e+00,        -1.160719804592e+02
