        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 1.00000000e+00,        +7.071067811865e+00,        +7.102446251216e+00,        +3.098372098618e-01,        +7.037344277724e+00,        -4.912437383951e-01
 2.00000000e+00,        +7.071067811865e+00,        +7.169496649269e+00,        +6.067538863635e-01,        +6.963259311891e+00,        -9.694527507672e-01
 3.00000000e+00,        +7.071067811865e+00,        +7.274777945966e+00,        +8.901065588934e-01,        +6.846257068366e+00,        -1.433868941063e+00
 4.00000000e+00,        +7.071067811865e+00,        +7.415942253981e+00,        +1.155245772938e+00,        +6.688690798000e+00,        -1.879728131247e+00
 5.00000000e+00,        +7.071067811865e+00,        +7.589644921112e+00,        +1.397857342386e+00,        +6.493912845114e+00,        -2.302601275771e+00
 6.00000000e+00,        +7.071067811865e+00,        +7.791879792893e+00,        +1.614303166464e+00,        +6.265939453216e+00,        -2.698735292573e+00
 7.00000000e+00,        +7.071067811865e+00,        +8.018210200420e+00,        +1.801749609627e+00,        +6.009219851326e+00,        -3.065181477084e+00
 8.00000000e+00,        +7.071067811865e+00,        +8.263975742259e+00,        +1.958208628295e+00,        +5.728429546132e+00,        -3.399836683041e+00
 9.00000000e+00,        +7.071067811865e+00,        +8.524478306152e+00,        +2.082521255434e+00,        +5.428284367371e+00,        -3.701426880822e+00
 1.00000000e+01,        +7.071067811865e+00,        +8.795141682711e+00,        +2.174299189025e+00,        +5.113380908726e+00,        -3.969448836037e+00
 1.10000000e+01,        +7.071067811865e+00,        +9.071640008545e+00,        +2.233837455159e+00,        +4.788068123330e+00,        -4.204082874414e+00
 1.20000000e+01,        +7.071067811865e+00,        +9.349993123332e+00,        +2.262009839566e+00,        +4.456351987901e+00,        -4.406088421750e+00
 1.30000000e+01,        +7.071067811865e+00,        +9.626629770509e+00,        +2.260157248308e+00,        +4.121832305929e+00,        -4.576692475026e+00
 1.40000000e+01,        +7.071067811865e+00,        +9.898421772399e+00,        +2.229977210371e+00,        +3.787668520433e+00,        -4.717479213476e+00
 1.50000000e+01,        +7.071067811865e+00,        +1.016269369231e+01,        +2.173420588254e+00,        +3.456570025771e+00,        -4.830286812762e+00
 1.60000000e+01,        +7.071067811865e+00,        +1.041721310586e+01,        +2.092599475670e+00,        +3.130805858639e+00,        -4.917115439330e+00
 1.70000000e+01,        +7.071067811865e+00,        +1.066016659532e+01,        +1.989708428654e+00,        +2.812228656809e+00,        -4.980048570096e+00
 1.80000000e+01,        +7.071067811865e+00,        +1.089012614423e+01,        +1.866959705110e+00,        +2.502308210718e+00,        -5.021188311973e+00
 1.90000000e+01,        +7.071067811865e+00,        +1.110600992442e+01,        +1.726532107499e+00,        +2.202170617419e+00,        -5.042604316001e+00
 2.00000000e+01,        +7.071067811865e+00,        +1.130704068323e+01,        +1.570532308606e+00,        +1.912639830960e+00,        -5.046295166349e+00
 2.10000000e+01,        +7.071067811865e+00,        +1.149270415940e+01,        +1.400967133680e+00,        +1.634279181572e+00,        -5.034160718070e+00
 2.20000000e+01,        +7.071067811865e+00,        +1.166270925140e+01,        +1.219725104238e+00,        +1.367431140925e+00,        -5.007983689485e+00
 2.30000000e+01,        +7.071067811865e+00,        +1.181695106467e+01,        +1.028565550857e+00,        +1.112254207520e+00,        -4.969418817183e+00
 2.40000000e+01,        +7.071067811865e+00,        +1.195547748610e+01,        +8.291137146573e-01,        +8.687562640607e-01,        -4.919987993891e+00
 2.50000000e+01,        +7.071067811865e+00,        +1.207845957096e+01,        +6.228604322103e-01,        +6.368241218872e-01,        -4.861079984415e+00
 2.60000000e+01,        +7.071067811865e+00,        +1.218616576500e+01,        +4.111652008835e-01,        +4.162492296048e-01,        -4.793953517042e+00
 2.70000000e+01,        +7.071067811865e+00,        +1.227893980668e+01,        +1.952616271467e-01,        +2.067497009221e-01,        -4.719742753184e+00
 2.80000000e+01,        +7.071067811865e+00,        +1.235718204296e+01,        -2.373554634231e-02,        +7.988928101219e-03,        -4.639464331216e+00
 2.90000000e+01,        +7.071067811865e+00,        +1.242133383085e+01,        -2.448224662568e-01,        -1.804088914891e-01,        -4.554025353196e+00
 3.00000000e+01,        +7.071067811865e+00,        +1.247186467225e+01,        -4.670977295172e-01,        -3.588459634740e-01,        -4.464231831602e+00
 3.10000000e+01,        +7.071067811865e+00,        +1.250926172994e+01,        -6.897538384531e-01,        -5.277404872849e-01,        -4.370797237114e+00
 3.20000000e+01,        +7.071067811865e+00,        +1.253402138879e+01,        -9.120688083011e-01,        -6.875182942727e-01,        -4.274350889137e+00
 3.30000000e+01,        +7.071067811865e+00,        +1.254664255283e+01,        -1.133398105070e+00,        -8.386062239045e-01,        -4.175446010728e+00
 3.40000000e+01,        +7.071067811865e+00,        +1.254762139951e+01,        -1.353167029543e+00,        -9.814269599230e-01,        -4.074567331795e+00
 3.50000000e+01,        +7.071067811865e+00,        +1.253744734548e+01,        -1.570863615765e+00,        -1.116395081075e+00,        -3.972138171756e+00
 3.60000000e+01,        +7.071067811865e+00,        +1.251660001008e+01,        -1.786032077082e+00,        -1.243914113200e+00,        -3.868526968064e+00
 3.70000000e+01,        +7.071067811865e+00,        +1.248554699318e+01,        -1.998266807122e+00,        -1.364374399787e+00,        -3.764053242570e+00
 3.80000000e+01,        +7.071067811865e+00,        +1.244474231147e+01,        -2.207206925087e+00,        -1.478151635787e+00,        -3.658993015607e+00
 3.90000000e+01,        +7.071067811865e+00,        +1.239462536203e+01,        -2.412531342468e+00,        -1.585605934216e+00,        -3.553583689834e+00
 4.00000000e+01,        +7.071067811865e+00,        +1.233562030358e+01,        -2.613954320501e+00,        -1.687081316813e+00,        -3.448028433494e+00
