        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e+00,        +2.044334873039e-12,        +8.816311104643e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +2.057900072040e-12,        +8.747794716161e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +2.079934290793e-12,        +8.647961145289e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +2.109872815010e-12,        +8.517369384520e-12,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +2.147004002639e-12,        +8.358263740448e-12,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +2.190499128788e-12,        +8.173658633336e-12,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +2.239449472311e-12,        +7.967003757086e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +2.292904685298e-12,        +7.741967486724e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e+00,        +2.349908916506e-12,        +7.502266901157e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+01,        +2.409532336331e-12,        +7.251530500457e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +2.470896669644e-12,        +6.993191073639e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+01,        +2.533194176928e-12,        +6.730407625709e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+01,        +2.595700200106e-12,        +6.466014371006e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+01,        +2.657779877524e-12,        +6.202493624763e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +2.718889930753e-12,        +5.941968604819e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +2.778576556709e-12,        +5.686211824834e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+01,        +2.836470459181e-12,        +5.436664862015e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+01,        +2.892279965431e-12,        +5.194465692504e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+01,        +2.945783034141e-12,        +4.960480374507e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +2.996818801228e-12,        +4.735336511877e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+01,        +3.045279151844e-12,        +4.519456568212e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+01,        +3.091100663868e-12,        +4.313089673052e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+01,        +3.134257147407e-12,        +4.116341041900e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+01,        +3.174752908379e-12,        +3.929198513710e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+01,        +3.212616791094e-12,        +3.751555997894e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+01,        +3.247897002221e-12,        +3.583233829593e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+01,        +3.280656682991e-12,        +3.423996170976e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+01,        +3.310970174411e-12,        +3.273565682346e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+01,        +3.338919908317e-12,        +3.131635732954e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+01,        +3.364593852442e-12,        +2.997880438866e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+01,        +3.388083438046e-12,        +2.871962813159e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.20000000e+01,        +3.409481902214e-12,        +2.753541299044e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+01,        +3.428882982491e-12,        +2.642274934511e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+01,        +3.446379907943e-12,        +2.537827371512e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+01,        +3.462064637515e-12,        +2.439869946043e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+01,        +3.476027303239e-12,        +2.348083969527e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e+01,        +3.488355822062e-12,        +2.262162387580e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e+01,        +3.499135645870e-12,        +2.181810930205e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e+01,        +3.508449624409e-12,        +2.106748857855e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+01,        +3.516377960412e-12,        +2.036709390781e-12,        +0.000000000000e+00,        +0.000000000000e+00
