        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00000000e+00,        +1.414213562373e-01,        +1.420501649286e-01,        +6.211301260984e-03,        +1.407457564329e-01,        -9.835721225128e-03
 2.00000000e+00,        +1.414213562373e-01,        +1.433954776146e-01,        +1.216370601464e-02,        +1.392600827787e-01,        -1.941027997839e-02
 3.00000000e+00,        +1.414213562373e-01,        +1.455081149283e-01,        +1.784354797731e-02,        +1.369135732488e-01,        -2.870773425809e-02
 4.00000000e+00,        +1.414213562373e-01,        +1.483406978147e-01,        +2.315728966975e-02,        +1.337537091274e-01,        -3.763226805992e-02
 5.00000000e+00,        +1.414213562373e-01,        +1.518258168698e-01,        +2.801824011951e-02,        +1.298480471495e-01,        -4.609490825147e-02
 6.00000000e+00,        +1.414213562373e-01,        +1.558827740323e-01,        +3.235338133805e-02,        +1.252774793128e-01,        -5.402035107144e-02
 7.00000000e+00,        +1.414213562373e-01,        +1.604222446764e-01,        +3.610593738770e-02,        +1.201315725542e-01,        -6.134953172064e-02
 8.00000000e+00,        +1.414213562373e-01,        +1.653504529141e-01,        +3.923618659115e-02,        +1.145043952287e-01,        -6.804043759695e-02
 9.00000000e+00,        +1.414213562373e-01,        +1.705729246887e-01,        +4.172111114652e-02,        +1.084907656353e-01,        -7.406775940762e-02
 1.00000000e+01,        +1.414213562373e-01,        +1.759977034436e-01,        +4.355320248223e-02,        +1.021830376782e-01,        -7.942169840705e-02
 1.10000000e+01,        +1.414213562373e-01,        +1.815379325224e-01,        +4.473868539648e-02,        +9.566851943140e-02,        -8.410619269261e-02
 1.20000000e+01,        +1.414213562373e-01,        +1.871137666988e-01,        +4.529539805640e-02,        +8.902756217394e-02,        -8.813679951601e-02
 1.30000000e+01,        +1.414213562373e-01,        +1.926536330012e-01,        +4.525053348628e-02,        +8.233229973574e-02,        -9.153843913087e-02
 1.40000000e+01,        +1.414213562373e-01,        +1.980949054424e-01,        +4.463840831136e-02,        +7.564597357607e-02,        -9.434316585335e-02
 1.50000000e+01,        +1.414213562373e-01,        +2.033840859490e-01,        +4.349838074940e-02,        +6.902275134683e-02,        -9.658808825965e-02
 1.60000000e+01,        +1.414213562373e-01,        +2.084765957699e-01,        +4.187299742374e-02,        +6.250793471802e-02,        -9.831351804824e-02
 1.70000000e+01,        +1.414213562373e-01,        +2.133362811153e-01,        +3.980641144507e-02,        +5.613845276854e-02,        -9.956138998810e-02
 1.80000000e+01,        +1.414213562373e-01,        +2.179347276375e-01,        +3.734308451213e-02,        +4.994354638445e-02,        -1.003739656929e-01
 1.90000000e+01,        +1.414213562373e-01,        +2.222504642770e-01,        +3.452676407154e-02,        +4.394556318226e-02,        -1.007928122630e-01
 2.00000000e+01,        +1.414213562373e-01,        +2.262681209753e-01,        +3.139971229657e-02,        +3.816079849391e-02,        -1.008580325639e-01
