        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -2.710236476047e+01,        +8.421928630389e+01,        -2.043609872571e-02,        -3.997496105069e+00
 2.00000000e+00,        -2.119606907644e+01,        +8.078149925243e+01,        -5.020478855952e-02,        -7.934851531810e+00
 3.00000000e+00,        -1.775863601875e+01,        +7.709987597194e+01,        -9.451141653109e-02,        -1.184209597568e+01
 4.00000000e+00,        -1.534515017539e+01,        +7.336398300989e+01,        -1.533224312527e-01,        -1.571421004930e+01
 5.00000000e+00,        -1.350045020041e+01,        +6.962772370686e+01,        -2.261353999613e-01,        -1.954441227086e+01
 6.00000000e+00,        -1.202083964714e+01,        +6.591615915358e+01,        -3.122189799489e-01,        -2.332597619142e+01
 7.00000000e+00,        -1.079701196744e+01,        +6.224423866817e+01,        -4.106934859450e-01,        -2.705277218467e+01
 8.00000000e+00,        -9.763196303346e+00,        +5.862210624590e+01,        -5.205783185480e-01,        -3.071949375702e+01
 9.00000000e+00,        -8.876522569881e+00,        +5.505705122364e+01,        -6.408283649714e-01,        -3.432175460963e+01
 1.00000000e+01,        -8.107335962049e+00,        +5.155437508395e+01,        -7.703646220835e-01,        -3.785611369535e+01
 1.10000000e+01,        -7.434157775542e+00,        +4.811784899533e+01,        -9.081003254684e-01,        -4.132005338043e+01
 1.20000000e+01,        -6.840853129609e+00,        +4.474999957424e+01,        -1.052962849734e+00,        -4.471192563616e+01
 1.30000000e+01,        -6.314939806458e+00,        +4.145231589538e+01,        -1.203911466359e+00,        -4.803087706813e+01
 1.40000000e+01,        -5.846527621907e+00,        +3.822541642863e+01,        -1.359951116740e+00,        -5.127676129827e+01
 1.50000000e+01,        -5.427625323396e+00,        +3.506919231609e+01,        -1.520142482835e+00,        -5.445004549219e+01
 1.60000000e+01,        -5.051671376673e+00,        +3.198293386791e+01,        -1.683608745005e+00,        -5.755171631617e+01
 1.70000000e+01,        -4.713206324612e+00,        +2.896544307595e+01,        -1.849539484124e+00,        -6.058318924747e+01
 1.80000000e+01,        -4.407637606045e+00,        +2.601513330810e+01,        -2.017192210877e+00,        -6.354622396032e+01
 1.90000000e+01,        -4.131066512446e+00,        +2.313011681022e+01,        -2.185891996211e+00,        -6.644284749397e+01
 2.00000000e+01,        -3.880157998002e+00,        +2.030828057911e+01,        -2.355029642999e+00,        -6.927528608794e+01
 2.10000000e+01,        -3.652040753035e+00,        +1.754735127740e+01,        -2.524058789501e+00,        -7.204590593954e+01
 2.20000000e+01,        -3.444229124825e+00,        +1.484494999976e+01,        -2.692492278337e+00,        -7.475716268115e+01
 2.30000000e+01,        -3.254561136512e+00,        +1.219863780983e+01,        -2.859898066611e+00,        -7.741155906531e+01
 2.40000000e+01,        -3.081148595697e+00,        +9.605953028892e+00,        -3.025894897531e+00,        -8.001161015569e+01
 2.50000000e+01,        -2.922336443679e+00,        +7.064441269903e+00,        -3.190147904117e+00,        -8.255981522448e+01
 2.60000000e+01,        -2.776669282669e+00,        +4.571679184150e+00,        -3.352364272412e+00,        -8.505863552740e+01
 2.70000000e+01,        -2.642863561067e+00,        +2.125292830872e+00,        -3.512289055508e+00,        -8.751047714500e+01
 2.80000000e+01,        -2.519784277933e+00,        -2.770284946747e-01,        -3.669701200298e+00,        -8.991767812765e+01
 2.90000000e+01,        -2.406425339640e+00,        -2.637522224644e+00,        -3.824409825527e+00,        -9.228249924753e+01
 3.00000000e+01,        -2.301892898827e+00,        -4.958345611950e+00,        -3.976250771783e+00,        -9.460711773655e+01
 3.10000000e+01,        -2.205391150920e+00,        -7.241571378910e+00,        -4.125083430491e+00,        -9.689362346572e+01
 3.20000000e+01,        -2.116210172040e+00,        -9.489185428598e+00,        -4.270787849149e+00,        -9.914401709671e+01
 3.30000000e+01,        -2.033715464443e+00,        -1.170308620164e+01,        -4.413262103071e+00,        -1.013602098062e+02
 3.40000000e+01,        -1.957338938992e+00,        -1.388508532875e+01,        -4.552419919286e+00,        -1.035440242474e+02
 3.50000000e+01,        -1.886571113492e+00,        -1.603690928881e+01,        -4.688188535269e+00,        -1.056971964693e+02
 3.60000000e+01,        -1.820954344670e+00,        -1.816020183435e+01,        -4.820506773638e+00,        -1.078213785640e+02
 3.70000000e+01,        -1.760076942619e+00,        -2.025652699057e+01,        -4.949323313222e+00,        -1.099181418557e+02
 3.80000000e+01,        -1.703568041532e+00,        -2.232737247230e+01,        -5.074595136925e+00,        -1.119889804807e+02
 3.90000000e+01,        -1.651093120903e+00,        -2.437415339534e+01,        -5.196286137240e+00,        -1.140353152396e+02
 4.00000000e+01,        -1.602350088038e+00,        -2.639821618584e+01,        -5.314365860929e+00,        -1.160584976285e+02
