        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 1.00000000e+00,        +7.071067811865e+00,        +7.102508246428e+00,        +3.105650630492e-01,        +7.037287821645e+00,        -4.917860612564e-01
 2.00000000e+00,        +7.071067811865e+00,        +7.169773880732e+00,        +6.081853007321e-01,        +6.963004138935e+00,        -9.705139989197e-01
 3.00000000e+00,        +7.071067811865e+00,        +7.275405746415e+00,        +8.921773988656e-01,        +6.845678662438e+00,        -1.435386712905e+00
 4.00000000e+00,        +7.071067811865e+00,        +7.417034890734e+00,        +1.157864483487e+00,        +6.687685456368e+00,        -1.881613402996e+00
 5.00000000e+00,        +7.071067811865e+00,        +7.591290843492e+00,        +1.400912005975e+00,        +6.492402357477e+00,        -2.304745412573e+00
 6.00000000e+00,        +7.071067811865e+00,        +7.794138701616e+00,        +1.617669066902e+00,        +6.263873965642e+00,        -2.701017553572e+00
 7.00000000e+00,        +7.071067811865e+00,        +8.021112233821e+00,        +1.805296869385e+00,        +6.006578627711e+00,        -3.067476586032e+00
 8.00000000e+00,        +7.071067811865e+00,        +8.267522645707e+00,        +1.961809329558e+00,        +5.725219761437e+00,        -3.402021879848e+00
 9.00000000e+00,        +7.071067811865e+00,        +8.528646234437e+00,        +2.086055557326e+00,        +5.424538281764e+00,        -3.703387970381e+00
 1.00000000e+01,        +7.071067811865e+00,        +8.799885172181e+00,        +2.177660124112e+00,        +5.109151883909e+00,        -3.971084920352e+00
 1.10000000e+01,        +7.071067811865e+00,        +9.076896626122e+00,        +2.236934269824e+00,        +4.783425971570e+00,        -4.205309634631e+00
 1.20000000e+01,        +7.071067811865e+00,        +9.355688334941e+00,        +2.264769902820e+00,        +4.451378108697e+00,        -4.406839975801e+00
 1.30000000e+01,        +7.071067811865e+00,        +9.632681650061e+00,        +2.262526674314e+00,        +4.116614986787e+00,        -4.576921956543e+00
 1.40000000e+01,        +7.071067811865e+00,        +9.904745272121e+00,        +2.231920415568e+00,        +3.782298678803e+00,        -4.717158292668e+00
 1.50000000e+01,        +7.071067811865e+00,        +1.016920429745e+01,        +2.174919037470e+00,        +3.451137567341e+00,        -4.829404412983e+00
 1.60000000e+01,        +7.071067811865e+00,        +1.042382978849e+01,        +2.093649871187e+00,        +3.125396735901e+00,        -4.915675902412e+00
 1.70000000e+01,        +7.071067811865e+00,        +1.066681405577e+01,        +1.990320572254e+00,        +2.806922638427e+00,        -4.978069499405e+00
 1.80000000e+01,        +7.071067811865e+00,        +1.089673638188e+01,        +1.867154225607e+00,        +2.497177319223e+00,        -5.018698284647e+00
 1.90000000e+01,        +7.071067811865e+00,        +1.111252321385e+01,        +1.726338203577e+00,        +2.197278159113e+00,        -5.039640613151e+00
 2.00000000e+01,        +7.071067811865e+00,        +1.131340604877e+01,        +1.569985614828e+00,        +1.908039924695e+00,        -5.042901628193e+00
 2.10000000e+01,        +7.071067811865e+00,        +1.149887944631e+01,        +1.400107780157e+00,        +1.630016688354e+00,        -5.030385793677e+00
 2.20000000e+01,        +7.071067811865e+00,        +1.166866088788e+01,        +1.218596009465e+00,        +1.363541900345e+00,        -5.003878720003e+00
