        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e+00,        +2.036807503746e-12,        +8.757191093710e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +2.049936979110e-12,        +8.692541313509e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +2.071286003951e-12,        +8.596187482428e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +2.100315829013e-12,        +8.469190684066e-12,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +2.136346458892e-12,        +8.313886649957e-12,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +2.178584361088e-12,        +8.133270924346e-12,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +2.226157640104e-12,        +7.930734371954e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +2.278152627678e-12,        +7.709872723625e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e+00,        +2.333648477099e-12,        +7.474329240015e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+01,        +2.391747497895e-12,        +7.227664355236e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +2.451599871664e-12,        +6.973252342049e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+01,        +2.512422176851e-12,        +6.714205022292e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+01,        +2.573509793249e-12,        +6.453321162659e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+01,        +2.634243726764e-12,        +6.193058832298e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +2.694092687597e-12,        +5.935527078508e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +2.752611389536e-12,        +5.682492871665e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+01,        +2.809436048156e-12,        +5.435399306491e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+01,        +2.864277979363e-12,        +5.195391397871e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+01,        +2.916916072664e-12,        +4.963346345694e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +2.967188764924e-12,        +4.739905754816e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+01,        +3.014985991286e-12,        +4.525507902640e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+01,        +3.060241453890e-12,        +4.320418696605e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+01,        +3.102925433123e-12,        +4.124760430113e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+01,        +3.143038272818e-12,        +3.938537819530e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+01,        +3.180604599515e-12,        +3.761661089989e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+01,        +3.215668284108e-12,        +3.593966084081e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+01,        +3.248288118812e-12,        +3.435231508128e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+01,        +3.278534159985e-12,        +3.285193519310e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+01,        +3.306484674845e-12,        +3.143557906038e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+01,        +3.332223624797e-12,        +3.010010134448e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+01,        +3.355838617762e-12,        +2.884223534646e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.20000000e+01,        +3.377419264854e-12,        +2.765865888135e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+01,        +3.397055881658e-12,        +2.654604658007e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+01,        +3.414838480317e-12,        +2.550111079665e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+01,        +3.430856004968e-12,        +2.452063304588e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+01,        +3.445195769377e-12,        +2.360148764846e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e+01,        +3.457943061573e-12,        +2.274065902621e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e+01,        +3.469180885816e-12,        +2.193525387601e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e+01,        +3.478989817214e-12,        +2.118250926050e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+01,        +3.487447948743e-12,        +2.047979748661e-12,        +0.000000000000e+00,        +0.000000000000e+00
