        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -2.719051134226e+01,        +8.425481654829e+01,        -2.006947945067e-02,        -3.975697071864e+00
 2.00000000e+00,        -2.128199442502e+01,        +8.084781505810e+01,        -4.912519605500e-02,        -7.893043329140e+00
 3.00000000e+00,        -1.784249206556e+01,        +7.719051291802e+01,        -9.244125903818e-02,        -1.178151581822e+01
 4.00000000e+00,        -1.542694424793e+01,        +7.347608614012e+01,        -1.500112074535e-01,        -1.563609639900e+01
 5.00000000e+00,        -1.358012050702e+01,        +6.975926167197e+01,        -2.213602199936e-01,        -1.945008438361e+01
 6.00000000e+00,        -1.209830133350e+01,        +6.606535117455e+01,        -3.057866358437e-01,        -2.321684019801e+01
 7.00000000e+00,        -1.087218006044e+01,        +6.240938891865e+01,        -4.024419157747e-01,        -2.693030367152e+01
 8.00000000e+00,        -9.835997548637e+00,        +5.880155581294e+01,        -5.103770731598e-01,        -3.058521161417e+01
 9.00000000e+00,        -8.946901404089e+00,        +5.524917184146e+01,        -6.285780640331e-01,        -3.417719253244e+01
 1.00000000e+01,        -8.175257066207e+00,        +5.175757855593e+01,        -7.559955236530e-01,        -3.770279272973e+01
 1.10000000e+01,        -7.499606508144e+00,        +4.833060159298e+01,        -8.915701928463e-01,        -4.115945743533e+01
 1.20000000e+01,        -6.903834619019e+00,        +4.497083654600e+01,        -1.034254318906e+00,        -4.454548099026e+01
 1.30000000e+01,        -6.375477217813e+00,        +4.167985383379e+01,        -1.183029111627e+00,        -4.785993628282e+01
 1.40000000e+01,        -5.904659958750e+00,        +3.845836256746e+01,        -1.336918390474e+00,        -5.110259151832e+01
 1.50000000e+01,        -5.483405021379e+00,        +3.530635054889e+01,        -1.494998674731e+00,        -5.427382082584e+01
 1.60000000e+01,        -5.105161871542e+00,        +3.222320767653e+01,        -1.656406072545e+00,        -5.737451381011e+01
 1.70000000e+01,        -4.764479719259e+00,        +2.920783576440e+01,        -1.820340393059e+00,        -6.040598788477e+01
 1.80000000e+01,        -4.456772516877e+00,        +2.625874602483e+01,        -1.986066935184e+00,        -6.336990608924e+01
 1.90000000e+01,        -4.178146141191e+00,        +2.337414485605e+01,        -2.152916402497e+00,        -6.626820212093e+01
 2.00000000e+01,        -3.925268449626e+00,        +2.055200846712e+01,        -2.320283365162e+00,        -6.910301352321e+01
 2.10000000e+01,        -3.695269602136e+00,        +1.779014695605e+01,        -2.487623645366e+00,        -7.187662335391e+01
 2.20000000e+01,        -3.485664220471e+00,        +1.508625858524e+01,        -2.654450950476e+00,        -7.459141020711e+01
 2.30000000e+01,        -3.294289627595e+00,        +1.243797510665e+01,        -2.820333023661e+00,        -7.724980614939e+01
 2.40000000e+01,        -3.119256154556e+00,        +9.842899054986e+00,        -2.984887529434e+00,        -7.985426193531e+01
 2.50000000e+01,        -2.958906663919e+00,        +7.298633947304e+00,        -3.147777843889e+00,        -8.240721876149e+01
 2.60000000e+01,        -2.811783227077e+00,        +4.802808308639e+00,        -3.308708877791e+00,        -8.491108577917e+01
 2.70000000e+01,        -2.676599436649e+00,        +2.353094395755e+00,        -3.467423025506e+00,        -8.736822259436e+01
 2.80000000e+01,        -2.552217216961e+00,        -5.277757635420e-02,        -3.623696303918e+00,        -8.978092602435e+01
 2.90000000e+01,        -2.437627267768e+00,        -2.417008978754e+00,        -3.777334722452e+00,        -9.215142043846e+01
 3.00000000e+01,        -2.331932473685e+00,        -4.741725439690e+00,        -3.928170907357e+00,        -9.448185107985e+01
 3.10000000e+01,        -2.234333756869e+00,        -7.028972080625e+00,        -4.076060989818e+00,        -9.677427983729e+01
 3.20000000e+01,        -2.144117958944e+00,        -9.280710833357e+00,        -4.220881757414e+00,        -9.903068300639e+01
 3.30000000e+01,        -2.060647420281e+00,        -1.149881942660e+01,        -4.362528061249e+00,        -1.012529506470e+02
 3.40000000e+01,        -1.983350987876e+00,        -1.368509169563e+01,        -4.500910466248e+00,        -1.034428872043e+02
 3.50000000e+01,        -1.911716232209e+00,        -1.584123892644e+01,        -4.635953128868e+00,        -1.056022131160e+02
 3.60000000e+01,        -1.845282692177e+00,        -1.796889199641e+01,        -4.767591884716e+00,        -1.077325671771e+02
 3.70000000e+01,        -1.783635998041e+00,        -2.006960411726e+01,        -4.895772527624e+00,        -1.098355094734e+02
 3.80000000e+01,        -1.726402747182e+00,        -2.214485402338e+01,        -5.020449261560e+00,        -1.119125247342e+02
 3.90000000e+01,        -1.673246027615e+00,        -2.419604948065e+01,        -5.141583307004e+00,        -1.139650259822e+02
 4.00000000e+01,        -1.623861500784e+00,        -2.622453101764e+01,        -5.259141643952e+00,        -1.159943583875e+02
