        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00000000e+00,        +1.414213562373e-01,        +1.420399407913e-01,        +6.162279031865e-03,        +1.407554820225e-01,        -9.773556845086e-03
 2.00000000e+00,        +1.414213562373e-01,        +1.433618448429e-01,        +1.207278918636e-02,        +1.392917835972e-01,        -1.929275513006e-02
 3.00000000e+00,        +1.414213562373e-01,        +1.454402221834e-01,        +1.771822326479e-02,        +1.369772734454e-01,        -2.854173606405e-02
 4.00000000e+00,        +1.414213562373e-01,        +1.482295470204e-01,        +2.300642843894e-02,        +1.338577361531e-01,        -3.742581798569e-02
 5.00000000e+00,        +1.414213562373e-01,        +1.516644680131e-01,        +2.785190142225e-02,        +1.299988723949e-01,        -4.585700462968e-02
 6.00000000e+00,        +1.414213562373e-01,        +1.556664827983e-01,        +3.218240607421e-02,        +1.254796150610e-01,        -5.376061090216e-02
 7.00000000e+00,        +1.414213562373e-01,        +1.601484852638e-01,        +3.594149064699e-02,        +1.203875718574e-01,        -6.107778519625e-02
 8.00000000e+00,        +1.414213562373e-01,        +1.650188281152e-01,        +3.908931494741e-02,        +1.148149524773e-01,        -6.776633889712e-02
 9.00000000e+00,        +1.414213562373e-01,        +1.701849821234e-01,        +4.160235335692e-02,        +1.088548996700e-01,        -7.380044931867e-02
 1.00000000e+01,        +1.414213562373e-01,        +1.755566840363e-01,        +4.347227537742e-02,        +1.025983327741e-01,        -7.916953818557e-02
 1.10000000e+01,        +1.414213562373e-01,        +1.810484789662e-01,        +4.470425406231e-02,        +9.613139824999e-02,        -8.387657655323e-02
 1.20000000e+01,        +1.414213562373e-01,        +1.865816175525e-01,        +4.531492958967e-02,        +8.953356706042e-02,        -8.793604396879e-02
 1.30000000e+01,        +1.414213562373e-01,        +1.920853236478e-01,        +4.533022661511e-02,        +8.287636313090e-02,        -9.137174101169e-02
 1.40000000e+01,        +1.414213562373e-01,        +1.974974916552e-01,        +4.478318690399e-02,        +7.622266362093e-02,        -9.421461712838e-02
 1.50000000e+01,        +1.414213562373e-01,        +2.027649002529e-01,        +4.371193734104e-02,        +6.962648404471e-02,        -9.650073417165e-02
 1.60000000e+01,        +1.414213562373e-01,        +2.078430418294e-01,        +4.215787284356e-02,        +6.313314866238e-02,        -9.826944537826e-02
 1.70000000e+01,        +1.414213562373e-01,        +2.126956673882e-01,        +4.016409784002e-02,        +5.677974611904e-02,        -9.956183356055e-02
 1.80000000e+01,        +1.414213562373e-01,        +2.172941386218e-01,        +3.777414100013e-02,        +5.059577839099e-02,        -1.004194232362e-01
 1.90000000e+01,        +1.414213562373e-01,        +2.216166657923e-01,        +3.503093647858e-02,        +4.460392419381e-02,        -1.008831599386e-01
 2.00000000e+01,        +1.414213562373e-01,        +2.256474948889e-01,        +3.197605062620e-02,        +3.882085321186e-02,        -1.009926356051e-01
 2.10000000e+01,        +1.414213562373e-01,        +2.293760923741e-01,        +2.864912485953e-02,        +3.325804270996e-02,        -1.007855306529e-01
