        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -2.717192952429e+01,        +8.426771291098e+01,        -2.010475978082e-02,        -3.972038411921e+00
 2.00000000e+00,        -2.126337286919e+01,        +8.086881073981e+01,        -4.926430877772e-02,        -7.885641806870e+00
 3.00000000e+00,        -1.782401944567e+01,        +7.722034463769e+01,        -9.274889567781e-02,        -1.177021481895e+01
 4.00000000e+00,        -1.540873590617e+01,        +7.351516659346e+01,        -1.505467400781e-01,        -1.562067250535e+01
 5.00000000e+00,        -1.356226778687e+01,        +6.980795936092e+01,        -2.221761584421e-01,        -1.943025570232e+01
 6.00000000e+00,        -1.208088088548e+01,        +6.612404176681e+01,        -3.069274288096e-01,        -2.319227648379e+01
 7.00000000e+00,        -1.085525645594e+01,        +6.247846465508e+01,        -4.039431281779e-01,        -2.690063743839e+01
 8.00000000e+00,        -9.819624263230e+00,        +5.888142273001e+01,        -5.122649452829e-01,        -3.055004955354e+01
 9.00000000e+00,        -8.931121419906e+00,        +5.534024286831e+01,        -6.308694296338e-01,        -3.413612663155e+01
 1.00000000e+01,        -8.160103468364e+00,        +5.186026546975e+01,        -7.586980426837e-01,        -3.765541059552e+01
 1.10000000e+01,        -7.485103182087e+00,        +4.844530717998e+01,        -8.946828408945e-01,        -4.110535146389e+01
 1.20000000e+01,        -6.889997058307e+00,        +4.509794763220e+01,        -1.037768069650e+00,        -4.448425615997e+01
 1.30000000e+01,        -6.362313415056e+00,        +4.181973549835e+01,        -1.186927749276e+00,        -4.779121647640e+01
 1.40000000e+01,        -5.892171340976e+00,        +3.861135364283e+01,        -1.341179394616e+00,        -5.102602438447e+01
 1.50000000e+01,        -5.471587391219e+00,        +3.547276038243e+01,        -1.499594128523e+00,        -5.418908127041e+01
 1.60000000e+01,        -5.094006321229e+00,        +3.240331404827e+01,        -1.661303555049e+00,        -5.728130626021e+01
 1.70000000e+01,        -4.753973492042e+00,        +2.940188381156e+01,        -1.825503826575e+00,        -6.030404749834e+01
 1.80000000e+01,        -4.446899798352e+00,        +2.646694800505e+01,        -1.991457367697e+00,        -6.325899909305e+01
 1.90000000e+01,        -4.168888770224e+00,        +2.359668058004e+01,        -2.158492713349e+00,        -6.614812545585e+01
 2.00000000e+01,        -3.916606544477e+00,        +2.078902624235e+01,        -2.326002888512e+00,        -6.897359396175e+01
 2.10000000e+01,        -3.687182102053e+00,        +1.804176490015e+01,        -2.493442710981e+00,        -7.173771623560e+01
 2.20000000e+01,        -3.478129346310e+00,        +1.535256618851e+01,        -2.660325344897e+00,        -7.444289791560e+01
 2.30000000e+01,        -3.287285267278e+00,        +1.271903494421e+01,        -2.826218377183e+00,        -7.709159643286e+01
 2.40000000e+01,        -3.112760180438e+00,        +1.013874856918e+01,        -2.990739635707e+00,        -7.968628615130e+01
 2.50000000e+01,        -2.952897189740e+00,        +7.609287239080e+00,        -3.153552919599e+00,        -8.222943010833e+01
 2.60000000e+01,        -2.806238812226e+00,        +5.128257892448e+00,        -3.314363769990e+00,        -8.472345756058e+01
 2.70000000e+01,        -2.671499245185e+00,        +2.693312885536e+00,        -3.472915373910e+00,        -8.717074655022e+01
 2.80000000e+01,        -2.547541138306e+00,        +3.021641280632e-01,        -3.628984664986e+00,        -8.957361074989e+01
 2.90000000e+01,        -2.433356005362e+00,        -2.047406565162e+00,        -3.782378661431e+00,        -9.193428990560e+01
 3.00000000e+01,        -2.328047607162e+00,        -4.357540256377e+00,        -3.932931063802e+00,        -9.425494326795e+01
 3.10000000e+01,        -2.230817782653e+00,        -6.630296233991e+00,        -4.080499121393e+00,        -9.653764547541e+01
 3.20000000e+01,        -2.140954313453e+00,        -8.867649441366e+00,        -4.224960766102e+00,        -9.878438442601e+01
 3.30000000e+01,        -2.057820489334e+00,        -1.107148957121e+01,        -4.366212005515e+00,        -1.009970607412e+02
 3.40000000e+01,        -1.980846105321e+00,        -1.324362147757e+01,        -4.504164562091e+00,        -1.031774884881e+02
 3.50000000e+01,        -1.909519670312e+00,        -1.538576661596e+01,        -4.638743742255e+00,        -1.053273968819e+02
 3.60000000e+01,        -1.843381645856e+00,        -1.749956527308e+01,        -4.769886517406e+00,        -1.074484327378e+02
 3.70000000e+01,        -1.782018564691e+00,        -1.958657939185e+01,        -4.897539798057e+00,        -1.095421634862e+02
 3.80000000e+01,        -1.725057903497e+00,        -2.164829583498e+01,        -5.021658882145e+00,        -1.116100805991e+02
 3.90000000e+01,        -1.672163604569e+00,        -2.368612996241e+01,        -5.142206058868e+00,        -1.136536033073e+02
 4.00000000e+01,        -1.623032157697e+00,        -2.570142942506e+01,        -5.259149350012e+00,        -1.156740825160e+02
