        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 1.00000000e+00,        +7.071067811865e+00,        +7.101997039564e+00,        +3.081139515932e-01,        +7.037774101126e+00,        -4.886778422543e-01
 2.00000000e+00,        +7.071067811865e+00,        +7.168092242147e+00,        +6.036394593180e-01,        +6.964589179859e+00,        -9.646377565030e-01
 3.00000000e+00,        +7.071067811865e+00,        +7.272011109169e+00,        +8.859111632395e-01,        +6.848863672270e+00,        -1.427086803203e+00
 4.00000000e+00,        +7.071067811865e+00,        +7.411477351021e+00,        +1.150321421947e+00,        +6.692886807657e+00,        -1.871290899284e+00
 5.00000000e+00,        +7.071067811865e+00,        +7.583223400655e+00,        +1.392595071112e+00,        +6.499943619743e+00,        -2.292850231484e+00
 6.00000000e+00,        +7.071067811865e+00,        +7.783324139913e+00,        +1.609120303711e+00,        +6.273980753048e+00,        -2.688030545108e+00
 7.00000000e+00,        +7.071067811865e+00,        +8.007424263190e+00,        +1.797074532349e+00,        +6.019378592869e+00,        -3.053889259813e+00
 8.00000000e+00,        +7.071067811865e+00,        +8.250941405759e+00,        +1.954465747370e+00,        +5.740747623867e+00,        -3.388316944856e+00
 9.00000000e+00,        +7.071067811865e+00,        +8.509249106169e+00,        +2.080117667846e+00,        +5.442744983502e+00,        -3.690022465933e+00
 1.00000000e+01,        +7.071067811865e+00,        +8.777834201816e+00,        +2.173613768871e+00,        +5.129916638704e+00,        -3.958476909279e+00
 1.10000000e+01,        +7.071067811865e+00,        +9.052423948312e+00,        +2.235212703116e+00,        +4.806569912500e+00,        -4.193828827661e+00
 1.20000000e+01,        +7.071067811865e+00,        +9.329080877623e+00,        +2.265746479483e+00,        +4.476678353021e+00,        -4.396802198439e+00
 1.30000000e+01,        +7.071067811865e+00,        +9.604266182389e+00,        +2.266511330756e+00,        +4.143818156545e+00,        -4.568587050584e+00
 1.40000000e+01,        +7.071067811865e+00,        +9.874874582759e+00,        +2.239159345200e+00,        +3.811133181047e+00,        -4.710730856419e+00
 1.50000000e+01,        +7.071067811865e+00,        +1.013824501265e+01,        +2.185596867052e+00,        +3.481324202235e+00,        -4.825036708583e+00
 1.60000000e+01,        +7.071067811865e+00,        +1.039215209147e+01,        +2.107893642178e+00,        +3.156657433119e+00,        -4.913472268913e+00
 1.70000000e+01,        +7.071067811865e+00,        +1.063478336941e+01,        +2.008204892001e+00,        +2.838987305952e+00,        -4.978091678027e+00
