        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e+00,        +2.049203915686e-12,        +8.779346471455e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +2.062156027608e-12,        +8.726379274509e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +2.083400328532e-12,        +8.639453367459e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +2.112443162185e-12,        +8.520518345771e-12,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +2.148631605501e-12,        +8.372152964693e-12,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +2.191187043476e-12,        +8.197432700872e-12,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +2.239242552974e-12,        +7.999782286311e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +2.291880995191e-12,        +7.782825446923e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e+00,        +2.348171062946e-12,        +7.550242709394e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+01,        +2.407199140295e-12,        +7.305645728158e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +2.468095572456e-12,        +7.052473663266e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+01,        +2.530054685987e-12,        +6.793914212933e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+01,        +2.592348545333e-12,        +6.532849355711e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+01,        +2.654334925033e-12,        +6.271823911694e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +2.715460298586e-12,        +6.013033763203e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +2.775258806478e-12,        +5.758329938271e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+01,        +2.833348196776e-12,        +5.509234638369e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+01,        +2.889423668945e-12,        +5.266965539447e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+01,        +2.943250431277e-12,        +5.032465169680e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +2.994655635166e-12,        +4.806432748035e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+01,        +3.043520198022e-12,        +4.589356464961e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+01,        +3.089770886087e-12,        +4.381544741163e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+01,        +3.133372906954e-12,        +4.183155479419e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+01,        +3.174323162677e-12,        +3.994222714758e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+01,        +3.212644237839e-12,        +3.814680370215e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+01,        +3.248379140724e-12,        +3.644383047248e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+01,        +3.281586776714e-12,        +3.483123933899e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+01,        +3.312338107880e-12,        +3.330650013259e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+01,        +3.340712938121e-12,        +3.186674812400e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+01,        +3.366797256491e-12,        +3.050888958742e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+01,        +3.390681070054e-12,        +2.922968816089e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.20000000e+01,        +3.412456659985e-12,        +2.802583463428e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+01,        +3.432217199242e-12,        +2.689400261679e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+01,        +3.450055675999e-12,        +2.583089230837e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+01,        +3.466064073387e-12,        +2.483326435232e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+01,        +3.480332762487e-12,        +2.389796549901e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e+01,        +3.492950071668e-12,        +2.302194757444e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e+01,        +3.504002001043e-12,        +2.220228102994e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e+01,        +3.513572056001e-12,        +2.143616415450e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+01,        +3.521741178382e-12,        +2.072092885951e-12,        +0.000000000000e+00,        +0.000000000000e+00
