        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00000000e+00,        +1.414213562373e-01,        +1.418288897073e-01,        +5.980247106479e-03,        +1.409665462911e-01,        -9.613862782564e-03
 2.00000000e+00,        +1.414213562373e-01,        +1.430410336074e-01,        +1.184334550389e-02,        +1.396126039866e-01,        -1.910818345539e-02
 3.00000000e+00,        +1.414213562373e-01,        +1.450270132603e-01,        +1.747666571299e-02,        +1.373903968346e-01,        -2.836794225938e-02
 4.00000000e+00,        +1.414213562373e-01,        +1.477374581997e-01,        +2.277626231967e-02,        +1.343494491498e-01,        -3.728680961954e-02
 5.00000000e+00,        +1.414213562373e-01,        +1.511070758064e-01,        +2.765037686202e-02,        +1.305552671837e-01,        -4.577065173258e-02
 6.00000000e+00,        +1.414213562373e-01,        +1.550580142290e-01,        +3.202205562436e-02,        +1.260859746429e-01,        -5.374015069376e-02
 7.00000000e+00,        +1.414213562373e-01,        +1.595036068494e-01,        +3.583076517416e-02,        +1.210285664529e-01,        -6.113242194399e-02
 8.00000000e+00,        +1.414213562373e-01,        +1.643521876876e-01,        +3.903299747036e-02,        +1.154750915034e-01,        -6.790162085971e-02
 9.00000000e+00,        +1.414213562373e-01,        +1.695107018848e-01,        +4.160195164995e-02,        +1.095190403498e-01,        -7.401862562541e-02
 1.00000000e+01,        +1.414213562373e-01,        +1.748878966448e-01,        +4.352644953740e-02,        +1.032521525784e-01,        -7.946995349569e-02
 1.10000000e+01,        +1.414213562373e-01,        +1.803969521917e-01,        +4.480928144380e-02,        +9.676178433720e-02,        -8.425610709166e-02
 1.20000000e+01,        +1.414213562373e-01,        +1.859574866250e-01,        +4.546518898313e-02,        +9.012890217672e-02,        -8.838955754200e-02
 1.30000000e+01,        +1.414213562373e-01,        +1.914969332794e-01,        +4.551867792739e-02,        +8.342670459701e-02,        -9.189255756681e-02
 1.40000000e+01,        +1.414213562373e-01,        +1.969513385965e-01,        +4.500182427388e-02,        +7.671982327098e-02,        -9.479494774228e-02
 1.50000000e+01,        +1.414213562373e-01,        +2.022656607449e-01,        +4.395219864981e-02,        +7.006402367877e-02,        -9.713208112012e-02
 1.60000000e+01,        +1.414213562373e-01,        +2.073936653967e-01,        +4.241099467122e-02,        +6.350630870190e-02,        -9.894295185096e-02
 1.70000000e+01,        +1.414213562373e-01,        +2.122975181713e-01,        +4.042141073373e-02,        +5.708532562964e-02,        -1.002685773071e-01
 1.80000000e+01,        +1.414213562373e-01,        +2.169471669613e-01,        +3.802730476036e-02,        +5.083198332064e-02,        -1.011506532349e-01
 1.90000000e+01,        +1.414213562373e-01,        +2.213195953190e-01,        +3.527211875851e-02,        +4.477019831237e-02,        -1.016304787842e-01
 2.00000000e+01,        +1.414213562373e-01,        +2.253980133290e-01,        +3.219805449003e-02,        +3.891770342240e-02,        -1.017481327089e-01
 2.10000000e+01,        +1.414213562373e-01,        +2.291710372317e-01,        +2.884547221739e-02,        +3.328686755739e-02,        -1.015418726857e-01
 2.20000000e+01,        +1.414213562373e-01,        +2.326318949785e-01,        +2.525248009097e-02,        +2.788548953423e-02,        -1.010477253008e-01
 2.30000000e+01,        +1.414213562373e-01,        +2.357776827328e-01,        +2.145468096791e-02,        +2.271754088722e-02,        -1.002992334763e-01
 2.40000000e+01,        +1.414213562373e-01,        +2.386086874229e-01,        +1.748504510853e-02,        +1.778384255000e-02,        -9.932732976721e-02
 2.50000000e+01,        +1.414213562373e-01,        +2.411277827851e-01,        +1.337388030343e-02,        +1.308266797061e-02,        -9.816030706543e-02
 2.60000000e+01,        +1.414213562373e-01,        +2.433399007004e-01,        +9.148874798649e-03,        +8.610270853503e-03,        -9.682386206439e-02
 2.70000000e+01,        +1.414213562373e-01,        +2.452515757218e-01,        +4.835192384128e-03,        +4.361339633508e-03,        -9.534119083653e-02
 2.80000000e+01,        +1.414213562373e-01,        +2.468705581590e-01,        +4.556028510536e-04,        +3.293833134649e-04,        -9.373311971751e-02
 2.90000000e+01,        +1.414213562373e-01,        +2.482054896297e-01,        -3.969365491432e-03,        -3.492945241097e-03,        -9.201825817692e-02
 3.00000000e+01,        +1.414213562373e-01,        +2.492656343030e-01,        -8.421261516539e-03,        -7.113581776225e-03,        -9.021316338921e-02
 3.10000000e+01,        +1.414213562373e-01,        +2.500606589304e-01,        -1.288354291728e-02,        -1.054083198736e-02,        -8.833250877515e-02
 3.20000000e+01,        +1.414213562373e-01,        +2.506004549903e-01,        -1.734140940432e-02,        -1.378319504823e-02,        -8.638925088131e-02
 3.30000000e+01,        +1.414213562373e-01,        +2.508949967305e-01,        -2.178164140726e-02,        -1.684922311593e-02,        -8.439479064507e-02
 3.40000000e+01,        +1.414213562373e-01,        +2.509542294702e-01,        -2.619244690471e-02,        -1.974741117724e-02,        -8.235912640972e-02
