        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -2.745579559650e+01,        +8.610151513595e+01,        -7.825751992166e-03,        -3.901508138048e+00
 2.00000000e+00,        -2.146033668289e+01,        +8.221262793184e+01,        -3.120693267364e-02,        -7.793407795007e+00
 3.00000000e+00,        -1.798009735540e+01,        +7.834271695131e+01,        -6.985895192177e-02,        -1.166630959070e+01
 4.00000000e+00,        -1.553889205846e+01,        +7.450073489050e+01,        -1.233193314713e-01,        -1.551125002954e+01
 5.00000000e+00,        -1.367362293314e+01,        +7.069502518733e+01,        -1.909644982747e-01,        -1.931987489798e+01
 6.00000000e+00,        -1.217753006848e+01,        +6.693317071863e+01,        -2.720314950125e-01,        -2.308459057484e+01
 7.00000000e+00,        -1.093985268741e+01,        +6.322188025386e+01,        -3.656430844783e-01,        -2.679867758549e+01
 8.00000000e+00,        -9.894037040378e+00,        +5.956691503599e+01,        -4.708346249650e-01,        -3.045636402871e+01
 9.00000000e+00,        -8.996753477589e+00,        +5.597305473917e+01,        -5.865811596373e-01,        -3.405285962678e+01
 1.00000000e+01,        -8.218058997547e+00,        +5.244409944920e+01,        -7.118233619160e-01,        -3.758435375270e+01
 1.10000000e+01,        -7.536283798329e+00,        +4.898290243492e+01,        -8.454912656639e-01,        -4.104798266648e+01
 1.20000000e+01,        -6.935159639682e+00,        +4.559142739445e+01,        -9.865250349636e-01,        -4.444177227649e+01
 1.30000000e+01,        -6.402106561853e+00,        +4.227082351586e+01,        -1.133892350496e+00,        -4.776456308638e+01
 1.40000000e+01,        -5.927159290657e+00,        +3.902151195207e+01,        -1.286602275858e+00,        -5.101592372766e+01
 1.50000000e+01,        -5.502266309090e+00,        +3.584327800157e+01,        -1.443715698192e+00,        -5.419605878645e+01
 1.60000000e+01,        -5.120815824740e+00,        +3.273536423036e+01,        -1.604352605788e+00,        -5.730571568888e+01
 1.70000000e+01,        -4.777305121725e+00,        +2.969656081392e+01,        -1.767696572580e+00,        -6.034609436645e+01
 1.80000000e+01,        -4.467103486408e+00,        +2.672529040034e+01,        -1.932996873715e+00,        -6.331876240010e+01
 1.90000000e+01,        -4.186277962803e+00,        +2.381968571934e+01,        -2.099568668413e+00,        -6.622557741834e+01
 2.00000000e+01,        -3.931462392615e+00,        +2.097765894096e+01,        -2.266791668011e+00,        -6.906861774563e+01
 2.10000000e+01,        -3.699756986687e+00,        +1.819696240808e+01,        -2.434107668920e+00,        -7.185012167677e+01
 2.20000000e+01,        -3.488649909099e+00,        +1.547524083169e+01,        -2.601017281330e+00,        -7.457243528849e+01
 2.30000000e+01,        -3.295955059900e+00,        +1.281007536391e+01,        -2.767076131586e+00,        -7.723796837318e+01
 2.40000000e+01,        -3.119762007739e+00,        +1.019902017307e+01,        -2.931890764116e+00,        -7.984915787043e+01
 2.50000000e+01,        -2.958395198512e+00,        +7.639632262190e+00,        -3.095114420680e+00,        -8.240843805502e+01
 2.60000000e+01,        -2.810380362489e+00,        +5.129495319016e+00,        -3.256442832167e+00,        -8.491821669321e+01
 2.70000000e+01,        -2.674416591368e+00,        +2.666238382941e+00,        -3.415610121986e+00,        -8.738085638206e+01
 2.80000000e+01,        -2.549352941703e+00,        +2.475500771242e-01,        -3.572384890143e+00,        -8.979866032328e+01
 2.90000000e+01,        -2.434168695279e+00,        -2.128810903117e+00,        -3.726566523073e+00,        -9.217386184069e+01
 3.00000000e+01,        -2.327956605599e+00,        -4.465008423288e+00,        -3.877981755432e+00,        -9.450861701886e+01
 3.10000000e+01,        -2.229908605465e+00,        -6.763124114400e+00,        -4.026481495684e+00,        -9.680499991311e+01
 3.20000000e+01,        -2.139303559627e+00,        -9.025154671724e+00,        -4.171937916647e+00,        -9.906499985347e+01
 3.30000000e+01,        -2.055496728889e+00,        -1.125301083842e+01,        -4.314241804474e+00,        -1.012905204331e+02
 3.40000000e+01,        -1.977910675460e+00,        -1.344851772765e+01,        -4.453300154256e+00,        -1.034833798351e+02
 3.50000000e+01,        -1.906027388590e+00,        -1.561341619337e+01,        -4.589033996980e+00,        -1.056453122069e+02
 3.60000000e+01,        -1.839381448447e+00,        -1.774936500985e+01,        -4.721376440471e+00,        -1.077779698443e+02
 3.70000000e+01,        -1.777554077072e+00,        -1.985794366340e+01,        -4.850270905954e+00,        -1.098829259858e+02
 3.80000000e+01,        -1.720167950260e+00,        -2.194065559728e+01,        -4.975669541501e+00,        -1.119616780602e+02
 3.90000000e+01,        -1.666882664436e+00,        -2.399893178276e+01,        -5.097531793846e+00,        -1.140156512599e+02
 4.00000000e+01,        -1.617390769227e+00,        -2.603413451629e+01,        -5.215823120533e+00,        -1.160462023391e+02
