        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 1.00000000e+00,        +7.071067811865e+00,        +7.091444485365e+00,        +2.990123553240e-01,        +7.048327314555e+00,        -4.806931391282e-01
 2.00000000e+00,        +7.071067811865e+00,        +7.152051680368e+00,        +5.921672751947e-01,        +6.980630199330e+00,        -9.554091727697e-01
 3.00000000e+00,        +7.071067811865e+00,        +7.251350663015e+00,        +8.738332856493e-01,        +6.869519841732e+00,        -1.418397112969e+00
 4.00000000e+00,        +7.071067811865e+00,        +7.386872909983e+00,        +1.138813115984e+00,        +6.717472457491e+00,        -1.864340480977e+00
 5.00000000e+00,        +7.071067811865e+00,        +7.555353790319e+00,        +1.382518843101e+00,        +6.527763359187e+00,        -2.288532586629e+00
 6.00000000e+00,        +7.071067811865e+00,        +7.752900711450e+00,        +1.601102781218e+00,        +6.304298732147e+00,        -2.687007534688e+00
 7.00000000e+00,        +7.071067811865e+00,        +7.975180342470e+00,        +1.791538258708e+00,        +6.051428322646e+00,        -3.056621097199e+00
 8.00000000e+00,        +7.071067811865e+00,        +8.217609384381e+00,        +1.951649873518e+00,        +5.773754575170e+00,        -3.395081042985e+00
 9.00000000e+00,        +7.071067811865e+00,        +8.475535094242e+00,        +2.080097582497e+00,        +5.475952017488e+00,        -3.700931281270e+00
 1.00000000e+01,        +7.071067811865e+00,        +8.744394832240e+00,        +2.176322476870e+00,        +5.162607628921e+00,        -3.973497674784e+00
 1.10000000e+01,        +7.071067811865e+00,        +9.019847609583e+00,        +2.240464072190e+00,        +4.838089216860e+00,        -4.212805354583e+00
 1.20000000e+01,        +7.071067811865e+00,        +9.297874331252e+00,        +2.273259449156e+00,        +4.506445108836e+00,        -4.419477877100e+00
 1.30000000e+01,        +7.071067811865e+00,        +9.574846663969e+00,        +2.275933896370e+00,        +4.171335229851e+00,        -4.594627878340e+00
 1.40000000e+01,        +7.071067811865e+00,        +9.847566929826e+00,        +2.250091213694e+00,        +3.835991163549e+00,        -4.739747387114e+00
 1.50000000e+01,        +7.071067811865e+00,        +1.011328303724e+01,        +2.197609932490e+00,        +3.503201183939e+00,        -4.856604056006e+00
 1.60000000e+01,        +7.071067811865e+00,        +1.036968326984e+01,        +2.120549733561e+00,        +3.175315435095e+00,        -4.947147592548e+00
 1.70000000e+01,        +7.071067811865e+00,        +1.061487590856e+01,        +2.021070536686e+00,        +2.854266281482e+00,        -5.013428865357e+00
 1.80000000e+01,        +7.071067811865e+00,        +1.084735834807e+01,        +1.901365238018e+00,        +2.541599166032e+00,        -5.057532661746e+00
 1.90000000e+01,        +7.071067811865e+00,        +1.106597976595e+01,        +1.763605937926e+00,        +2.238509915618e+00,        -5.081523939212e+00
 2.00000000e+01,        +7.071067811865e+00,        +1.126990066645e+01,        +1.609902724502e+00,        +1.945885171120e+00,        -5.087406635446e+00
 2.10000000e+01,        +7.071067811865e+00,        +1.145855186159e+01,        +1.442273610869e+00,        +1.664343377869e+00,        -5.077093634287e+00
 2.20000000e+01,        +7.071067811865e+00,        +1.163159474893e+01,        +1.262624004549e+00,        +1.394274476711e+00,        -5.052386265040e+00
 2.30000000e+01,        +7.071067811865e+00,        +1.178888413664e+01,        +1.072734048396e+00,        +1.135877044361e+00,        -5.014961673815e+00
 2.40000000e+01,        +7.071067811865e+00,        +1.193043437115e+01,        +8.742522554265e-01,        +8.891921274998e-01,        -4.966366488360e+00
