        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e+00,        +2.049430870564e-12,        +8.754831943524e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +2.062754809362e-12,        +8.690403099640e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +2.084414359376e-12,        +8.594399410737e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +2.113865552537e-12,        +8.467864354580e-12,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +2.150420749362e-12,        +8.313110990610e-12,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +2.193276991018e-12,        +8.133109408238e-12,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +2.241551542301e-12,        +7.931224139051e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +2.294318826542e-12,        +7.711025418289e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e+00,        +2.350645375233e-12,        +7.476133261341e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+01,        +2.409620521284e-12,        +7.230088133880e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +2.470381460639e-12,        +6.976248232584e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+01,        +2.532132093629e-12,        +6.717713427042e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+01,        +2.594155703258e-12,        +6.457274565431e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+01,        +2.655822001828e-12,        +6.197385501115e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +2.716589374770e-12,        +5.940154280329e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +2.776003289718e-12,        +5.687349518208e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+01,        +2.833691852612e-12,        +5.440418012418e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+01,        +2.889359418872e-12,        +5.200509978350e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+01,        +2.942779042065e-12,        +4.968508810234e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +2.993784394338e-12,        +4.745062870541e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+01,        +3.042261643458e-12,        +4.530617405828e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+01,        +3.088141634469e-12,        +4.325445229421e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+01,        +3.131392606903e-12,        +4.129675272816e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+01,        +3.172013583997e-12,        +3.943318479169e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+01,        +3.210028497809e-12,        +3.766290796413e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+01,        +3.245481061305e-12,        +3.598433234010e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+01,        +3.278430362135e-12,        +3.439529088820e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+01,        +3.308947129692e-12,        +3.289318535289e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+01,        +3.337110613952e-12,        +3.147510825605e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+01,        +3.363006008836e-12,        +3.013794367218e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+01,        +3.386722352232e-12,        +2.887844947031e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.20000000e+01,        +3.408350837510e-12,        +2.769332360433e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+01,        +3.427983476219e-12,        +2.657925684300e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+01,        +3.445712057497e-12,        +2.553297409984e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+01,        +3.461627356079e-12,        +2.455126627625e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+01,        +3.475818547086e-12,        +2.363101428714e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e+01,        +3.488372791776e-12,        +2.276920670711e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e+01,        +3.499374964039e-12,        +2.196295226386e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e+01,        +3.508907492399e-12,        +2.120948821609e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+01,        +3.517050296848e-12,        +2.050618548791e-12,        +0.000000000000e+00,        +0.000000000000e+00
