        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00000000e+00,        +1.414213562373e-01,        +1.420400029118e-01,        +6.148971001030e-03,        +1.407554293564e-01,        -9.782584595496e-03
 2.00000000e+00,        +1.414213562373e-01,        +1.433621035071e-01,        +1.204622386360e-02,        +1.392915210442e-01,        -1.931105809164e-02
 3.00000000e+00,        +1.414213562373e-01,        +1.454408892449e-01,        +1.767849085000e-02,        +1.369764925620e-01,        -2.856976472434e-02
 4.00000000e+00,        +1.414213562373e-01,        +1.482309477128e-01,        +2.295361092015e-02,        +1.338559090486e-01,        -3.746416063075e-02
 5.00000000e+00,        +1.414213562373e-01,        +1.516670562519e-01,        +2.778601609813e-02,        +1.299952055706e-01,        -4.590630350845e-02
 6.00000000e+00,        +1.414213562373e-01,        +1.556708337003e-01,        +3.210334609791e-02,        +1.254730337716e-01,        -5.382146966738e-02
 7.00000000e+00,        +1.414213562373e-01,        +1.601552659009e-01,        +3.584897082800e-02,        +1.203767345864e-01,        -6.115067846455e-02
 8.00000000e+00,        +1.414213562373e-01,        +1.650287504078e-01,        +3.898282984642e-02,        +1.147982916906e-01,        -6.785153322799e-02
 9.00000000e+00,        +1.414213562373e-01,        +1.701987437672e-01,        +4.148115247284e-02,        +1.088306824257e-01,        -7.389794243396e-02
 1.00000000e+01,        +1.414213562373e-01,        +1.755749042071e-01,        +4.333535758795e-02,        +1.025647334480e-01,        -7.927902024088e-02
 1.10000000e+01,        +1.414213562373e-01,        +1.810716353305e-01,        +4.455038096333e-02,        +9.608657556264e-02,        -8.399741430650e-02
 1.20000000e+01,        +1.414213562373e-01,        +1.866099900718e-01,        +4.514265535848e-02,        +8.947573850249e-02,        -8.806728620874e-02
 1.30000000e+01,        +1.414213562373e-01,        +1.921189491440e-01,        +4.513794069264e-02,        +8.280387142444e-02,        -9.151214185403e-02
 1.40000000e+01,        +1.414213562373e-01,        +1.975361314296e-01,        +4.456916517616e-02,        +7.613403164673e-02,        -9.436267282056e-02
 1.50000000e+01,        +1.414213562373e-01,        +2.028080214970e-01,        +4.347439750306e-02,        +6.952045641244e-02,        -9.665472878444e-02
 1.60000000e+01,        +1.414213562373e-01,        +2.078898122889e-01,        +4.189503008717e-02,        +6.300871959204e-02,        -9.842750104156e-02
 1.70000000e+01,        +1.414213562373e-01,        +2.127449618337e-01,        +3.987421773162e-02,        +5.663617443504e-02,        -9.972196153055e-02
 1.80000000e+01,        +1.414213562373e-01,        +2.173445551291e-01,        +3.745558725575e-02,        +5.043259118305e-02,        -1.005795728844e-01
 1.90000000e+01,        +1.414213562373e-01,        +2.216665496048e-01,        +3.468221216388e-02,        +4.442091110617e-02,        -1.010412635902e-01
 2.00000000e+01,        +1.414213562373e-01,        +2.256949676496e-01,        +3.159583203703e-02,        +3.861805345120e-02,        -1.011466479268e-01
 2.10000000e+01,        +1.414213562373e-01,        +2.294190846943e-01,        +2.823628792731e-02,        +3.303572678965e-02,        -1.009334619448e-01
 2.20000000e+01,        +1.414213562373e-01,        +2.328326476292e-01,        +2.464114133260e-02,        +2.768120997389e-02,        -1.004371830502e-01
 2.30000000e+01,        +1.414213562373e-01,        +2.359331466191e-01,        +2.084544401930e-02,        +2.255807962660e-02,        -9.969080044254e-02
 2.40000000e+01,        +1.414213562373e-01,        +2.387211539289e-01,        +1.688162788671e-02,        +1.766687054713e-02,        -9.872470558484e-02
 2.50000000e+01,        +1.414213562373e-01,        +2.411997361185e-01,        +1.277948729376e-02,        +1.300566267094e-02,        -9.756667511002e-02
 2.60000000e+01,        +1.414213562373e-01,        +2.433739406865e-01,        +8.566230099100e-03,        +8.570593501680e-03,        -9.624192240202e-02
 2.70000000e+01,        +1.414213562373e-01,        +2.452503546148e-01,        +4.266577610930e-03,        +4.356298565708e-03,        -9.477319803459e-02
 2.80000000e+01,        +1.414213562373e-01,        +2.468367299501e-01,        -9.710260610554e-05,        +3.562847512631e-04,        -9.318092300367e-02
 2.90000000e+01,        +1.414213562373e-01,        +2.481416702544e-01,        -4.504643741910e-03,        -3.436757297176e-03,        -9.148334206829e-02
 3.00000000e+01,        +1.414213562373e-01,        +2.491743711788e-01,        -8.937916320192e-03,        -7.030694983957e-03,        -8.969668743941e-02
 3.10000000e+01,        +1.414213562373e-01,        +2.499444083515e-01,        -1.338066164283e-02,        -1.043374295672e-02,        -8.783534551074e-02
 3.20000000e+01,        +1.414213562373e-01,        +2.504615660393e-01,        -1.781832739067e-02,        -1.365429315151e-02,        -8.591202133086e-02
 3.30000000e+01,        +1.414213562373e-01,        +2.507357005186e-01,        -2.223790906987e-02,        -1.670077962520e-02,        -8.393789711814e-02
 3.40000000e+01,        +1.414213562373e-01,        +2.507766326729e-01,        -2.662779974042e-02,        -1.958157269513e-02,        -8.192278237187e-02
 3.50000000e+01,        +1.414213562373e-01,        +2.505940649556e-01,        -3.097764950376e-02,        -2.230489753125e-02,        -7.987525409194e-02
 3.60000000e+01,        +1.414213562373e-01,        +2.501975184819e-01,        -3.527823550774e-02,        -2.487877296690e-02,        -7.780278633713e-02
 3.70000000e+01,        +1.414213562373e-01,        +2.495962865936e-01,        -3.952134270105e-02,        -2.731096688469e-02,        -7.571186887625e-02
 3.80000000e+01,        +1.414213562373e-01,        +2.487994017894e-01,        -4.369965519553e-02,        -2.960896507603e-02,        -7.360811505876e-02
 3.90000000e+01,        +1.414213562373e-01,        +2.478156133898e-01,        -4.780665783849e-02,        -3.177995095969e-02,        -7.149635928497e-02
 4.00000000e+01,        +1.414213562373e-01,        +2.466533737368e-01,        -5.183654743037e-02,        -3.383079397420e-02,        -6.938074461980e-02
