        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -2.719051134222e+01,        +8.425481654773e+01,        -2.006947951860e-02,        -3.975697072312e+00
 2.00000000e+00,        -2.128199442498e+01,        +8.084781505830e+01,        -4.912519619916e-02,        -7.893043328308e+00
 3.00000000e+00,        -1.784249206553e+01,        +7.719051291812e+01,        -9.244125910899e-02,        -1.178151581889e+01
 4.00000000e+00,        -1.542694424791e+01,        +7.347608614015e+01,        -1.500112076422e-01,        -1.563609640100e+01
 5.00000000e+00,        -1.358012050701e+01,        +6.975926167197e+01,        -2.213602203582e-01,        -1.945008438613e+01
 6.00000000e+00,        -1.209830133350e+01,        +6.606535117454e+01,        -3.057866363523e-01,        -2.321684020042e+01
 7.00000000e+00,        -1.087218006044e+01,        +6.240938891864e+01,        -4.024419163560e-01,        -2.693030367350e+01
 8.00000000e+00,        -9.835997548636e+00,        +5.880155581293e+01,        -5.103770737342e-01,        -3.058521161569e+01
 9.00000000e+00,        -8.946901404088e+00,        +5.524917184144e+01,        -6.285780645298e-01,        -3.417719253371e+01
 1.00000000e+01,        -8.175257066207e+00,        +5.175757855592e+01,        -7.559955240179e-01,        -3.770279273109e+01
 1.10000000e+01,        -7.499606508144e+00,        +4.833060159297e+01,        -8.915701930450e-01,        -4.115945743719e+01
 1.20000000e+01,        -6.903834619020e+00,        +4.497083654599e+01,        -1.034254318923e+00,        -4.454548099305e+01
 1.30000000e+01,        -6.375477217814e+00,        +4.167985383378e+01,        -1.183029111464e+00,        -4.785993628692e+01
 1.40000000e+01,        -5.904659958751e+00,        +3.845836256745e+01,        -1.336918390146e+00,        -5.110259152407e+01
 1.50000000e+01,        -5.483405021379e+00,        +3.530635054888e+01,        -1.494998674263e+00,        -5.427382083348e+01
 1.60000000e+01,        -5.105161871542e+00,        +3.222320767652e+01,        -1.656406071966e+00,        -5.737451381979e+01
 1.70000000e+01,        -4.764479719259e+00,        +2.920783576439e+01,        -1.820340392403e+00,        -6.040598789655e+01
 1.80000000e+01,        -4.456772516876e+00,        +2.625874602482e+01,        -1.986066934483e+00,        -6.336990610308e+01
 1.90000000e+01,        -4.178146141191e+00,        +2.337414485604e+01,        -2.152916401782e+00,        -6.626820213670e+01
 2.00000000e+01,        -3.925268449626e+00,        +2.055200846710e+01,        -2.320283364457e+00,        -6.910301354073e+01
 2.10000000e+01,        -3.695269602136e+00,        +1.779014695604e+01,        -2.487623644690e+00,        -7.187662337294e+01
 2.20000000e+01,        -3.485664220471e+00,        +1.508625858523e+01,        -2.654450949841e+00,        -7.459141022740e+01
 2.30000000e+01,        -3.294289627595e+00,        +1.243797510664e+01,        -2.820333023073e+00,        -7.724980617066e+01
 2.40000000e+01,        -3.119256154556e+00,        +9.842899054975e+00,        -2.984887528893e+00,        -7.985426195731e+01
 2.50000000e+01,        -2.958906663920e+00,        +7.298633947294e+00,        -3.147777843391e+00,        -8.240721878401e+01
 2.60000000e+01,        -2.811783227077e+00,        +4.802808308629e+00,        -3.308708877330e+00,        -8.491108580205e+01
 2.70000000e+01,        -2.676599436649e+00,        +2.353094395746e+00,        -3.467423025073e+00,        -8.736822261752e+01
 2.80000000e+01,        -2.552217216961e+00,        -5.277757636335e-02,        -3.623696303508e+00,        -8.978092604780e+01
 2.90000000e+01,        -2.437627267768e+00,        -2.417008978763e+00,        -3.777334722062e+00,        -9.215142046228e+01
 3.00000000e+01,        -2.331932473685e+00,        -4.741725439698e+00,        -3.928170906989e+00,        -9.448185110424e+01
 3.10000000e+01,        -2.234333756869e+00,        -7.028972080634e+00,        -4.076060989483e+00,        -9.677427986253e+01
 3.20000000e+01,        -2.144117958944e+00,        -9.280710833365e+00,        -4.220881757125e+00,        -9.903068303284e+01
 3.30000000e+01,        -2.060647420281e+00,        -1.149881942661e+01,        -4.362528061031e+00,        -1.012529506750e+02
 3.40000000e+01,        -1.983350987876e+00,        -1.368509169564e+01,        -4.500910466127e+00,        -1.034428872343e+02
 3.50000000e+01,        -1.911716232210e+00,        -1.584123892645e+01,        -4.635953128873e+00,        -1.056022131484e+02
 3.60000000e+01,        -1.845282692178e+00,        -1.796889199642e+01,        -4.767591884873e+00,        -1.077325672122e+02
 3.70000000e+01,        -1.783635998042e+00,        -2.006960411727e+01,        -4.895772527947e+00,        -1.098355095112e+02
 3.80000000e+01,        -1.726402747182e+00,        -2.214485402339e+01,        -5.020449262039e+00,        -1.119125247745e+02
 3.90000000e+01,        -1.673246027616e+00,        -2.419604948066e+01,        -5.141583307590e+00,        -1.139650260245e+02
 4.00000000e+01,        -1.623861500785e+00,        -2.622453101765e+01,        -5.259141644542e+00,        -1.159943584306e+02
