        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 1.00000000e+00,        +7.071067811865e+00,        +7.102000145590e+00,        +3.074485500515e-01,        +7.037771467821e+00,        -4.891292297748e-01
 2.00000000e+00,        +7.071067811865e+00,        +7.168105175355e+00,        +6.023111931801e-01,        +6.964576052208e+00,        -9.655529045821e-01
 3.00000000e+00,        +7.071067811865e+00,        +7.272044462244e+00,        +8.839245425002e-01,        +6.848824628099e+00,        -1.428488236217e+00
 4.00000000e+00,        +7.071067811865e+00,        +7.411547385642e+00,        +1.147680546007e+00,        +6.692795452428e+00,        -1.873208031537e+00
 5.00000000e+00,        +7.071067811865e+00,        +7.583352812595e+00,        +1.389300804906e+00,        +6.499760278529e+00,        -2.295315175422e+00
 6.00000000e+00,        +7.071067811865e+00,        +7.783541685017e+00,        +1.605167304896e+00,        +6.273651688580e+00,        -2.691073483369e+00
 7.00000000e+00,        +7.071067811865e+00,        +8.007763295046e+00,        +1.792448541400e+00,        +6.018836729320e+00,        -3.057533923227e+00
 8.00000000e+00,        +7.071067811865e+00,        +8.251437520391e+00,        +1.949141492321e+00,        +5.739914584532e+00,        -3.392576661399e+00
 9.00000000e+00,        +7.071067811865e+00,        +8.509937188360e+00,        +2.074057623642e+00,        +5.441534121283e+00,        -3.694897121698e+00
 1.00000000e+01,        +7.071067811865e+00,        +8.778745210357e+00,        +2.166767879397e+00,        +5.128236672399e+00,        -3.963951012044e+00
 1.10000000e+01,        +7.071067811865e+00,        +9.053581766527e+00,        +2.227519048166e+00,        +4.804328778132e+00,        -4.199870715325e+00
 1.20000000e+01,        +7.071067811865e+00,        +9.330499503592e+00,        +2.257132767924e+00,        +4.473786925124e+00,        -4.403364310437e+00
 1.30000000e+01,        +7.071067811865e+00,        +9.605947457200e+00,        +2.256897034632e+00,        +4.140193571222e+00,        -4.575607092701e+00
 1.40000000e+01,        +7.071067811865e+00,        +9.876806571479e+00,        +2.228458258808e+00,        +3.806701582337e+00,        -4.718133641028e+00
