        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e-01,        +2.928738421135e-11,        +2.977075342317e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e-01,        +2.928830607476e-11,        +2.976976088597e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e-01,        +2.928983709757e-11,        +2.976811222609e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e-01,        +2.929196918358e-11,        +2.976581558766e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e-01,        +2.929469105424e-11,        +2.976288236562e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e-01,        +2.929798830440e-11,        +2.975932711181e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e-01,        +2.930184347355e-11,        +2.975516745432e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e-01,        +2.930623613214e-11,        +2.975042400299e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e-01,        +2.931114298274e-11,        +2.974512023943e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+00,        +2.931653797523e-11,        +2.973928239172e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+00,        +2.932239243584e-11,        +2.973293929448e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+00,        +2.932867520919e-11,        +2.972612223495e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+00,        +2.933535281272e-11,        +2.971886478593e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+00,        +2.934238960284e-11,        +2.971120262636e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+00,        +2.934974795184e-11,        +2.970317335065e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+00,        +2.935738843494e-11,        +2.969481626754e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+00,        +2.936527002637e-11,        +2.968617218974e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+00,        +2.937335030365e-11,        +2.967728321535e-11,        +0.000000000000e+00,        +0.000000000000e+00
