        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00000000e-01,        +1.414213562373e-01,        +1.414229872179e-01,        +4.295105648085e-05,        +1.413238990670e-01,        -5.246562122091e-03
 2.00000000e-01,        +1.414213562373e-01,        +1.414278639548e-01,        +8.556189464851e-05,        +1.410316623206e-01,        -1.048587948148e-02
 3.00000000e-01,        +1.414213562373e-01,        +1.414359379605e-01,        +1.274952244976e-04,        +1.405450501067e-01,        -1.571071732328e-02
 4.00000000e-01,        +1.414213562373e-01,        +1.414471288389e-01,        +1.684195283196e-04,        +1.398647353137e-01,        -2.091386095731e-02
 5.00000000e-01,        +1.414213562373e-01,        +1.414613249068e-01,        +2.080119189123e-04,        +1.389916586739e-01,        -2.608812573032e-02
 6.00000000e-01,        +1.414213562373e-01,        +1.414783840582e-01,        +2.459609179370e-04,        +1.379270274538e-01,        -3.122636697295e-02
 7.00000000e-01,        +1.414213562373e-01,        +1.414981348658e-01,        +2.819691531478e-04,        +1.366723137749e-01,        -3.632148988837e-02
 8.00000000e-01,        +1.414213562373e-01,        +1.415203779116e-01,        +3.157559540338e-04,        +1.352292525659e-01,        -4.136645936940e-02
 9.00000000e-01,        +1.414213562373e-01,        +1.415448873378e-01,        +3.470598268722e-04,        +1.335998391517e-01,        -4.635430973040e-02
 1.00000000e+00,        +1.414213562373e-01,        +1.415714126078e-01,        +3.756407910462e-04,        +1.317863264809e-01,        -5.127815434018e-02
 1.10000000e+00,        +1.414213562373e-01,        +1.415996804648e-01,        +4.012825593860e-04,        +1.297912219979e-01,        -5.613119514263e-02
 1.20000000e+00,        +1.414213562373e-01,        +1.416293970751e-01,        +4.237945463042e-04,        +1.276172841636e-01,        -6.090673205162e-02
 1.30000000e+00,        +1.414213562373e-01,        +1.416602503405e-01,        +4.430136886075e-04,        +1.252675186310e-01,        -6.559817220759e-02
 1.40000000e+00,        +1.414213562373e-01,        +1.416919123652e-01,        +4.588060650859e-04,        +1.227451740805e-01,        -7.019903908295e-02
