        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e-01,        -7.034456514670e+01,        +8.782535199243e+01,        -6.327327619730e-06,        -2.126093904303e+00
 2.00000000e-01,        -6.433964094529e+01,        +8.565053772284e+01,        -2.530957923993e-05,        -4.252188459516e+00
 3.00000000e-01,        -6.084398132389e+01,        +8.347538948709e+01,        -5.694760624058e-05,        -6.378284308831e+00
 4.00000000e-01,        -5.838192466955e+01,        +8.129973664904e+01,        -1.012429292663e-04,        -8.504382105662e+00
 5.00000000e-01,        -5.649108259226e+01,        +7.912340410557e+01,        -1.581978945194e-04,        -1.063048250886e+01
 6.00000000e-01,        -5.496556990327e+01,        +7.694621065282e+01,        -2.278158886962e-04,        -1.275658618500e+01
 7.00000000e-01,        -5.369564186113e+01,        +7.476796722240e+01,        -3.101016114359e-04,        -1.488269381003e+01
 8.00000000e-01,        -5.261587660239e+01,        +7.258847494606e+01,        -4.050614023005e-04,        -1.700880607061e+01
 9.00000000e-01,        -5.168416685238e+01,        +7.040752300151e+01,        -5.127036180874e-04,        -1.913492366523e+01
 1.00000000e+00,        -5.087185861636e+01,        +6.822488618301e+01,        -6.330390558736e-04,        -2.126104730487e+01
 1.10000000e+00,        -5.015861649775e+01,        +6.604032213003e+01,        -7.660814161321e-04,        -2.338717771339e+01
 1.20000000e+00,        -4.952953425687e+01,        +6.385356813205e+01,        -9.118477997253e-04,        -2.551331562745e+01
 1.30000000e+00,        -4.897340765296e+01,        +6.166433741051e+01,        -1.070359232212e-03,        -2.763946179602e+01
 1.40000000e+00,        -4.848165112642e+01,        +5.947231475335e+01,        -1.241641207971e-03,        -2.976561697940e+01
 1.50000000e+00,        -4.804759132005e+01,        +5.727715134796e+01,        -1.425724246735e-03,        -3.189178194773e+01
 1.60000000e+00,        -4.766599154540e+01,        +5.507845861657e+01,        -1.622644454177e-03,        -3.401795747903e+01
 1.70000000e+00,        -4.733272348697e+01,        +5.287580080478e+01,        -1.832444078256e-03,        -3.614414435672e+01
 1.80000000e+00,        -4.704453612744e+01,        +5.066868600305e+01,        -2.055172052565e-03,        -3.827034336653e+01
 1.90000000e+00,        -4.679889098794e+01,        +4.845655518470e+01,        -2.290884517586e-03,        -4.039655529293e+01
 2.00000000e+00,        -4.659384406879e+01,        +4.623876871623e+01,        -2.539645310890e-03,        -4.252278091505e+01
 2.10000000e+00,        -4.642796180299e+01,        +4.401458961881e+01,        -2.801526416910e-03,        -4.464902100201e+01
 2.20000000e+00,        -4.630026274650e+01,        +4.178316261777e+01,        -3.076608367190e-03,        -4.677527630778e+01
 2.30000000e+00,        -4.621017965987e+01,        +3.954348767736e+01,        -3.364980581765e-03,        -4.890154756554e+01
 2.40000000e+00,        -4.615753868699e+01,        +3.729438623883e+01,        -3.666741642891e-03,        -5.102783548157e+01
 2.50000000e+00,        -4.614255388129e+01,        +3.503445769167e+01,        -3.981999492282e-03,        -5.315414072871e+01
 2.60000000e+00,        -4.616583661600e+01,        +3.276202260582e+01,        -4.310871543345e-03,        -5.528046393944e+01
 2.70000000e+00,        -4.622842063163e+01,        +3.047504776957e+01,        -4.653484700639e-03,        -5.740680569859e+01
 2.80000000e+00,        -4.633180479375e+01,        +2.817104584161e+01,        -5.009975278924e-03,        -5.953316653580e+01
 2.90000000e+00,        -4.647801725154e+01,        +2.584693898819e+01,        -5.380488814993e-03,        -6.165954691766e+01
 3.00000000e+00,        -4.666970686293e+01,        +2.349887047423e+01,        -5.765179766194e-03,        -6.378594723977e+01
 3.10000000e+00,        -4.691027088005e+01,        +2.112193948257e+01,        -6.164211090154e-03,        -6.591236781862e+01
 3.20000000e+00,        -4.720403260497e+01,        +1.870982005862e+01,        -6.577753701232e-03,        -6.803880888344e+01
 3.30000000e+00,        -4.755649011827e+01,        +1.625420057882e+01,        -7.005985800142e-03,        -7.016527056811e+01
 3.40000000e+00,        -4.797466917605e+01,        +1.374393695251e+01,        -7.449092074088e-03,        -7.229175290315e+01
 3.50000000e+00,        -4.846763351146e+01,        +1.116373362432e+01,        -7.907262765985e-03,        -7.441825580796e+01
 3.60000000e+00,        -4.904724085666e+01,        +8.492014833497e+00,        -8.380692612354e-03,        -7.654477908326e+01
 3.70000000e+00,        -4.972929660330e+01,        +5.697342787210e+00,        -8.869579650675e-03,        -7.867132240397e+01
 3.80000000e+00,        -5.053537758219e+01,        +2.732084104928e+00,        -9.374123898210e-03,        -8.079788531249e+01
 3.90000000e+00,        -5.149583850001e+01,        -4.794834113396e-01,        -9.894525905709e-03,        -8.292446721255e+01
 4.00000000e+00,        -5.265501718361e+01,        -4.065225322702e+00,        -1.043098519029e-02,        -8.505106736369e+01
 4.10000000e+00,        -5.408076292069e+01,        -8.258589202779e+00,        -1.098369855361e-02,        -8.717768487639e+01
 4.20000000e+00,        -5.588287610809e+01,        -1.353269890385e+01,        -1.155285829223e-02,        -8.930431870809e+01
 4.30000000e+00,        -5.824938418520e+01,        -2.099586686109e+01,        -1.213865030865e-02,        -9.143096766000e+01
 4.40000000e+00,        -6.149571517248e+01,        -3.382755776318e+01,        -1.274125213274e-02,        -9.355763037489e+01
 4.50000000e+00,        -6.566326291236e+01,        -6.307106894059e+01,        -1.336083086416e-02,        -9.568430533593e+01
 4.60000000e+00,        -6.620249760912e+01,        -1.200669400348e+02,        -1.399754104807e-02,        -9.781099086659e+01
 4.70000000e+00,        -6.174828759102e+01,        -1.550901875505e+02,        -1.465152249716e-02,        -9.993768513166e+01
