        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e-01,        +2.858040648206e-11,        +3.135704201591e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e-01,        +2.858159578224e-11,        +3.125205110477e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e-01,        +2.858552511470e-11,        +3.118832181772e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e-01,        +2.859207014606e-11,        +3.113804535666e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e-01,        +2.860114261498e-11,        +3.109332135388e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e-01,        +2.861262615182e-11,        +3.105096696629e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e-01,        +2.862644955382e-11,        +3.100951090212e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e-01,        +2.864255022768e-11,        +3.096801293421e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e-01,        +2.866083275568e-11,        +3.092595252587e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+00,        +2.868120103725e-11,        +3.088303537051e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+00,        +2.870355584002e-11,        +3.083909601335e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+00,        +2.872779341748e-11,        +3.079405299003e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+00,        +2.875380522711e-11,        +3.074788293029e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+00,        +2.878147800031e-11,        +3.070060433206e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+00,        +2.881069395971e-11,        +3.065226685561e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+00,        +2.884133111905e-11,        +3.060294394289e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+00,        +2.887326363876e-11,        +3.055272751937e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+00,        +2.890636222312e-11,        +3.050172404296e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+00,        +2.894049454992e-11,        +3.045005144908e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +2.897552572567e-11,        +3.039783670758e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+00,        +2.901131876122e-11,        +3.034521380737e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+00,        +2.904773506306e-11,        +3.029232204733e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+00,        +2.908463493636e-11,        +3.023930455153e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+00,        +2.912187809627e-11,        +3.018630695313e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +2.915932418414e-11,        +3.013347620836e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+00,        +2.919683328571e-11,        +3.008095951378e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+00,        +2.923426644843e-11,        +3.002890330826e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+00,        +2.927148619542e-11,        +2.997745234641e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+00,        +2.930835703338e-11,        +2.992674883462e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +2.934474595232e-11,        +2.987693162336e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+00,        +2.938052291478e-11,        +2.982813545159e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.20000000e+00,        +2.941556133248e-11,        +2.978049024064e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+00,        +2.944973852836e-11,        +2.973412043573e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+00,        +2.948293618220e-11,        +2.968914439453e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+00,        +2.951504075796e-11,        +2.964567382203e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+00,        +2.954594391113e-11,        +2.960381325198e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e+00,        +2.957554287464e-11,        +2.956365957511e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e+00,        +2.960374082159e-11,        +2.952530161433e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e+00,        +2.963044720362e-11,        +2.948881974761e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +2.965557806352e-11,        +2.945428557880e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.10000000e+00,        +2.967905632079e-11,        +2.942176165693e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.20000000e+00,        +2.970081202918e-11,        +2.939130124442e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.30000000e+00,        +2.972078260509e-11,        +2.936294813423e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.40000000e+00,        +2.973891302598e-11,        +2.933673651643e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.50000000e+00,        +2.975515599790e-11,        +2.931269089393e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.60000000e+00,        +2.976947209149e-11,        +2.929082604741e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.70000000e+00,        +2.978182984591e-11,        +2.927114704909e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.80000000e+00,        +2.979220584008e-11,        +2.925364932477e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.90000000e+00,        +2.980058473097e-11,        +2.923831876377e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +2.980695925867e-11,        +2.922513187550e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.10000000e+00,        +2.981133021816e-11,        +2.921405599206e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.20000000e+00,        +2.981370639771e-11,        +2.920504951529e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.30000000e+00,        +2.981410448410e-11,        +2.919806220700e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.40000000e+00,        +2.981254893503e-11,        +2.919303552074e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e+00,        +2.980907181895e-11,        +2.918990297319e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.60000000e+00,        +2.980371262311e-11,        +2.918859055327e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.70000000e+00,        +2.979651803033e-11,        +2.918901716654e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.80000000e+00,        +2.978754166554e-11,        +2.919109511277e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.90000000e+00,        +2.977684381296e-11,        +2.919473059376e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +2.976449110514e-11,        +2.919982424903e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.10000000e+00,        +2.975055618523e-11,        +2.920627171606e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.20000000e+00,        +2.973511734376e-11,        +2.921396421239e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.30000000e+00,        +2.971825813175e-11,        +2.922278913620e-11,        +0.000000000000e+00,        +0.000000000000e+00
