        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00000000e-01,        +1.414213562373e-01,        +1.415267855840e-01,        +3.486299405687e-04,        +1.412069983617e-01,        -5.426477112561e-03
 2.00000000e-01,        +1.414213562373e-01,        +1.416027712002e-01,        +6.250955263665e-04,        +1.408395951073e-01,        -1.077341690459e-02
 3.00000000e-01,        +1.414213562373e-01,        +1.416877274238e-01,        +8.841000999067e-04,        +1.402810135360e-01,        -1.608943422137e-02
 4.00000000e-01,        +1.414213562373e-01,        +1.417858879502e-01,        +1.129578557027e-03,        +1.395274871533e-01,        -2.137228910372e-02
 5.00000000e-01,        +1.414213562373e-01,        +1.418979818085e-01,        +1.362733705800e-03,        +1.385789282782e-01,        -2.661703896831e-02
 6.00000000e-01,        +1.414213562373e-01,        +1.420240692909e-01,        +1.583712043373e-03,        +1.374361252081e-01,        -3.181763465511e-02
 7.00000000e-01,        +1.414213562373e-01,        +1.421638313633e-01,        +1.792148653019e-03,        +1.361004854046e-01,        -3.696762452538e-02
 8.00000000e-01,        +1.414213562373e-01,        +1.423166947801e-01,        +1.987453559263e-03,        +1.345737520673e-01,        -4.206032736062e-02
 9.00000000e-01,        +1.414213562373e-01,        +1.424819127894e-01,        +2.168944017067e-03,        +1.328580633431e-01,        -4.708895288241e-02
 1.00000000e+00,        +1.414213562373e-01,        +1.426586060021e-01,        +2.335909646955e-03,        +1.309558855336e-01,        -5.204671736465e-02
 1.10000000e+00,        +1.414213562373e-01,        +1.428457868070e-01,        +2.487652585643e-03,        +1.288699809293e-01,        -5.692688096455e-02
 1.20000000e+00,        +1.414213562373e-01,        +1.430423765607e-01,        +2.623513983109e-03,        +1.266033919683e-01,        -6.172277641390e-02
 1.30000000e+00,        +1.414213562373e-01,        +1.432472191377e-01,        +2.742892605010e-03,        +1.241594293106e-01,        -6.642783170187e-02
 1.40000000e+00,        +1.414213562373e-01,        +1.434590925707e-01,        +2.845258462825e-03,        +1.215416617186e-01,        -7.103558835483e-02
 1.50000000e+00,        +1.414213562373e-01,        +1.436767196433e-01,        +2.930163090549e-03,        +1.187539069248e-01,        -7.553971668033e-02
 1.60000000e+00,        +1.414213562373e-01,        +1.438987779017e-01,        +2.997247415670e-03,        +1.158002230409e-01,        -7.993402887904e-02
 1.70000000e+00,        +1.414213562373e-01,        +1.441239093413e-01,        +3.046247797127e-03,        +1.126849002443e-01,        -8.421249059744e-02
 1.80000000e+00,        +1.414213562373e-01,        +1.443507299080e-01,        +3.077000586360e-03,        +1.094124525841e-01,        -8.836923128688e-02
 1.90000000e+00,        +1.414213562373e-01,        +1.445778388838e-01,        +3.089445440027e-03,        +1.059876098156e-01,        -9.239855360825e-02
 2.00000000e+00,        +1.414213562373e-01,        +1.448038281817e-01,        +3.083627536508e-03,        +1.024153092098e-01,        -9.629494204363e-02
 2.10000000e+00,        +1.414213562373e-01,        +1.450272915494e-01,        +3.059698801621e-03,        +9.870068731027e-02,        -1.000530708278e-01
 2.20000000e+00,        +1.414213562373e-01,        +1.452468336638e-01,        +3.017918220165e-03,        +9.484907162593e-02,        -1.036678112808e-01
 2.30000000e+00,        +1.414213562373e-01,        +1.454610790869e-01,        +2.958651292014e-03,        +9.086597225573e-02,        -1.071342386036e-01
 2.40000000e+00,        +1.414213562373e-01,        +1.456686810492e-01,        +2.882368680556e-03,        +8.675707344863e-02,        -1.104476381832e-01
 2.50000000e+00,        +1.414213562373e-01,        +1.458683300207e-01,        +2.789644094784e-03,        +8.252822510420e-02,        -1.136035114471e-01
 2.60000000e+00,        +1.414213562373e-01,        +1.460587620276e-01,        +2.681151442825e-03,        +7.818543422120e-02,        -1.165975812990e-01
 2.70000000e+00,        +1.414213562373e-01,        +1.462387666739e-01,        +2.557661293086e-03,        +7.373485630176e-02,        -1.194257971625e-01
 2.80000000e+00,        +1.414213562373e-01,        +1.464071948236e-01,        +2.420036678906e-03,        +6.918278671857e-02,        -1.220843396589e-01
 2.90000000e+00,        +1.414213562373e-01,        +1.465629659044e-01,        +2.269228283141e-03,        +6.453565205136e-02,        -1.245696249401e-01
 3.00000000e+00,        +1.414213562373e-01,        +1.467050747905e-01,        +2.106269040212e-03,        +5.980000139807e-02,        -1.268783086968e-01
 3.10000000e+00,        +1.414213562373e-01,        +1.468325982278e-01,        +1.932268194592e-03,        +5.498249766451e-02,        -1.290072898597e-01
 3.20000000e+00,        +1.414213562373e-01,        +1.469447007640e-01,        +1.748404856291e-03,        +5.008990883492e-02,        -1.309537140118e-01
 3.30000000e+00,        +1.414213562373e-01,        +1.470406401505e-01,        +1.555921095662e-03,        +4.512909922417e-02,        -1.327149765238e-01
 3.40000000e+00,        +1.414213562373e-01,        +1.471197721849e-01,        +1.356114621502e-03,        +4.010702071121e-02,        -1.342887254290e-01
 3.50000000e+00,        +1.414213562373e-01,        +1.471815549646e-01,        +1.150331088113e-03,        +3.503070395156e-02,        -1.356728640466e-01
 3.60000000e+00,        +1.414213562373e-01,        +1.472255525288e-01,        +9.399560785318e-04,        +2.990724956553e-02,        -1.368655533645e-01
 3.70000000e+00,        +1.414213562373e-01,        +1.472514378634e-01,        +7.264068125633e-04,        +2.474381929805e-02,        -1.378652141889e-01
 3.80000000e+00,        +1.414213562373e-01,        +1.472589952534e-01,        +5.111236295147e-04,        +1.954762714454e-02,        -1.386705290666e-01
 3.90000000e+00,        +1.414213562373e-01,        +1.472481219653e-01,        +2.955612966370e-04,        +1.432593043706e-02,        -1.392804439837e-01
 4.00000000e+00,        +1.414213562373e-01,        +1.472188292500e-01,        +8.118019515819e-05,        +9.086020884272e-03,        -1.396941698433e-01
 4.10000000e+00,        +1.414213562373e-01,        +1.471712426558e-01,        -1.305625635064e-04,        +3.835215558723e-03,        -1.399111837200e-01
 4.20000000e+00,        +1.414213562373e-01,        +1.471056016501e-01,        -3.382220383204e-04,        -1.419152175155e-03,        -1.399312298906e-01
 4.30000000e+00,        +1.414213562373e-01,        +1.470222585471e-01,        -5.403743226847e-04,        -6.669741798370e-03,        -1.397543206360e-01
 4.40000000e+00,        +1.414213562373e-01,        +1.469216767465e-01,        -7.356253187122e-04,        -1.190921484559e-02,        -1.393807368071e-01
 4.50000000e+00,        +1.414213562373e-01,        +1.468044282906e-01,        -9.226193686991e-04,        -1.713024418891e-02,        -1.388110281470e-01
 4.60000000e+00,        +1.414213562373e-01,        +1.466711907502e-01,        -1.100047691293e-03,        -2.232552340055e-02,        -1.380460133590e-01
 4.70000000e+00,        +1.414213562373e-01,        +1.465227434550e-01,        -1.266656570638e-03,        -2.748777619683e-02,        -1.370867799086e-01
 4.80000000e+00,        +1.414213562373e-01,        +1.463599630881e-01,        -1.421255247845e-03,        -3.260976596361e-02,        -1.359346835464e-01
 4.90000000e+00,        +1.414213562373e-01,        +1.461838186670e-01,        -1.562723465453e-03,        -3.768430536208e-02,        -1.345913475363e-01
 5.00000000e+00,        +1.414213562373e-01,        +1.459953659371e-01,        -1.690018617186e-03,        -4.270426601143e-02,        -1.330586615746e-01
