        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e-01,        -5.178295952409e+01,        +7.317413339681e+01,        -6.766573550022e-03,        -2.200750117891e+00
 2.00000000e-01,        -4.674016833252e+01,        +7.381623649403e+01,        -1.046649104714e-02,        -4.374278184310e+00
 3.00000000e-01,        -4.370291495268e+01,        +7.323293144537e+01,        -1.356405735754e-02,        -6.542909731284e+00
 4.00000000e-01,        -4.152171069778e+01,        +7.211434186790e+01,        -1.638326365266e-02,        -8.708660019752e+00
 5.00000000e-01,        -3.982087460157e+01,        +7.072236122842e+01,        -1.902328434733e-02,        -1.087246685444e+01
 6.00000000e-01,        -3.842935261864e+01,        +6.916468419174e+01,        -2.153996372145e-02,        -1.303482700293e+01
 7.00000000e-01,        -3.725488147862e+01,        +6.749610200276e+01,        -2.396361261776e-02,        -1.519605639699e+01
 8.00000000e-01,        -3.624189870071e+01,        +6.574865806335e+01,        -2.631837934128e-02,        -1.735636345269e+01
 9.00000000e-01,        -3.535428612810e+01,        +6.394258351089e+01,        -2.861975493153e-02,        -1.951588030404e+01
 1.00000000e+00,        -3.456723038362e+01,        +6.209139372716e+01,        -3.087824597021e-02,        -2.167470483997e+01
 1.10000000e+00,        -3.386294625366e+01,        +6.020453552791e+01,        -3.310142533869e-02,        -2.383291151498e+01
 1.20000000e+00,        -3.322825161277e+01,        +5.828885496924e+01,        -3.529483004017e-02,        -2.599055829206e+01
 1.30000000e+00,        -3.265310750674e+01,        +5.634946187883e+01,        -3.746251197197e-02,        -2.814769143396e+01
 1.40000000e+00,        -3.212969601882e+01,        +5.439026449649e+01,        -3.960741022629e-02,        -3.030434878741e+01
 1.50000000e+00,        -3.165181433730e+01,        +5.241431404859e+01,        -4.173161381484e-02,        -3.246056207172e+01
 1.60000000e+00,        -3.121446317942e+01,        +5.042403474452e+01,        -4.383655306984e-02,        -3.461635850928e+01
 1.70000000e+00,        -3.081355923875e+01,        +4.842138193136e+01,        -4.592314310330e-02,        -3.677176201184e+01
 1.80000000e+00,        -3.044572935596e+01,        +4.640795365656e+01,        -4.799189421181e-02,        -3.892679405967e+01
 1.90000000e+00,        -3.010816005965e+01,        +4.438507112662e+01,        -5.004299894950e-02,        -4.108147436242e+01
 2.00000000e+00,        -2.979848554688e+01,        +4.235383787465e+01,        -5.207640235458e-02,        -4.323582136135e+01
 2.10000000e+00,        -2.951470293114e+01,        +4.031518403045e+01,        -5.409185974090e-02,        -4.538985261342e+01
 2.20000000e+00,        -2.925510720839e+01,        +3.826989996200e+01,        -5.608898511098e-02,        -4.754358508561e+01
 2.30000000e+00,        -2.901824073125e+01,        +3.621866220110e+01,        -5.806729234243e-02,        -4.969703537983e+01
 2.40000000e+00,        -2.880285352867e+01,        +3.416205367922e+01,        -6.002623068447e-02,        -5.185021990299e+01
 2.50000000e+00,        -2.860787185177e+01,        +3.210057970806e+01,        -6.196521567512e-02,        -5.400315499326e+01
