        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 1.00000000e-01,        +7.071067811865e+00,        +7.076339279201e+00,        +1.743149702844e-02,        +7.060349918084e+00,        -2.713238556281e-01
 2.00000000e-01,        +7.071067811865e+00,        +7.080138560009e+00,        +3.125477631833e-02,        +7.041979755364e+00,        -5.386708452295e-01
 3.00000000e-01,        +7.071067811865e+00,        +7.084386371190e+00,        +4.420500499534e-02,        +7.014050676798e+00,        -8.044717110683e-01
 4.00000000e-01,        +7.071067811865e+00,        +7.089294397512e+00,        +5.647892785136e-02,        +6.976374357665e+00,        -1.068614455186e+00
 5.00000000e-01,        +7.071067811865e+00,        +7.094899090423e+00,        +6.813668529002e-02,        +6.928946413909e+00,        -1.330851948416e+00
 6.00000000e-01,        +7.071067811865e+00,        +7.101203464544e+00,        +7.918560216867e-02,        +6.871806260405e+00,        -1.590881732756e+00
 7.00000000e-01,        +7.071067811865e+00,        +7.108191568164e+00,        +8.960743265093e-02,        +6.805024270229e+00,        -1.848381226269e+00
 8.00000000e-01,        +7.071067811865e+00,        +7.115834739004e+00,        +9.937267796315e-02,        +6.728687603363e+00,        -2.103016368031e+00
 9.00000000e-01,        +7.071067811865e+00,        +7.124095639469e+00,        +1.084472008534e-01,        +6.642903167157e+00,        -2.354447644121e+00
 1.00000000e+00,        +7.071067811865e+00,        +7.132930300103e+00,        +1.167954823477e-01,        +6.547794276678e+00,        -2.602335868232e+00
 1.10000000e+00,        +7.071067811865e+00,        +7.142289340349e+00,        +1.243826292821e-01,        +6.443499046467e+00,        -2.846344048227e+00
 1.20000000e+00,        +7.071067811865e+00,        +7.152118828033e+00,        +1.311756991554e-01,        +6.330169598416e+00,        -3.086138820695e+00
 1.30000000e+00,        +7.071067811865e+00,        +7.162360956887e+00,        +1.371446302505e-01,        +6.207971465530e+00,        -3.321391585093e+00
 1.40000000e+00,        +7.071067811865e+00,        +7.172954628534e+00,        +1.422629231412e-01,        +6.077083085929e+00,        -3.551779417741e+00
 1.50000000e+00,        +7.071067811865e+00,        +7.183835982164e+00,        +1.465081545275e-01,        +5.937695346240e+00,        -3.776985834016e+00
 1.60000000e+00,        +7.071067811865e+00,        +7.194938895086e+00,        +1.498623707835e-01,        +5.790011152047e+00,        -3.996701443952e+00
 1.70000000e+00,        +7.071067811865e+00,        +7.206195467065e+00,        +1.523123898564e-01,        +5.634245012215e+00,        -4.210624529872e+00
 1.80000000e+00,        +7.071067811865e+00,        +7.217536495400e+00,        +1.538500293180e-01,        +5.470622629203e+00,        -4.418461564344e+00
 1.90000000e+00,        +7.071067811865e+00,        +7.228891944188e+00,        +1.544722720013e-01,        +5.299380490779e+00,        -4.619927680412e+00
 2.00000000e+00,        +7.071067811865e+00,        +7.240191409083e+00,        +1.541813768254e-01,        +5.120765460489e+00,        -4.814747102182e+00
 2.10000000e+00,        +7.071067811865e+00,        +7.251364577471e+00,        +1.529849400810e-01,        +4.935034365514e+00,        -5.002653541389e+00
 2.20000000e+00,        +7.071067811865e+00,        +7.262341683192e+00,        +1.508959110082e-01,        +4.742453581297e+00,        -5.183390564041e+00
 2.30000000e+00,        +7.071067811865e+00,        +7.273053954346e+00,        +1.479325646007e-01,        +4.543298612786e+00,        -5.356711930180e+00
 2.40000000e+00,        +7.071067811865e+00,        +7.283434052462e+00,        +1.441184340278e-01,        +4.337853672431e+00,        -5.522381909159e+00
 2.50000000e+00,        +7.071067811865e+00,        +7.293416501036e+00,        +1.394822047392e-01,        +4.126411255210e+00,        -5.680175572357e+00
 2.60000000e+00,        +7.071067811865e+00,        +7.302938101382e+00,        +1.340575721412e-01,        +3.909271711060e+00,        -5.829879064952e+00
 2.70000000e+00,        +7.071067811865e+00,        +7.311938333693e+00,        +1.278830646543e-01,        +3.686742815088e+00,        -5.971289858126e+00
 2.80000000e+00,        +7.071067811865e+00,        +7.320359741178e+00,        +1.210018339453e-01,        +3.459139335928e+00,        -6.104216982947e+00
 2.90000000e+00,        +7.071067811865e+00,        +7.328148295218e+00,        +1.134614141570e-01,        +3.226782602568e+00,        -6.228481247007e+00
 3.00000000e+00,        +7.071067811865e+00,        +7.335253739525e+00,        +1.053134520106e-01,        +2.990000069903e+00,        -6.343915434839e+00
 3.10000000e+00,        +7.071067811865e+00,        +7.341629911391e+00,        +9.661340972958e-02,        +2.749124883226e+00,        -6.450364492986e+00
 3.20000000e+00,        +7.071067811865e+00,        +7.347235038201e+00,        +8.742024281455e-02,        +2.504495441746e+00,        -6.547685700589e+00
 3.30000000e+00,        +7.071067811865e+00,        +7.352032007527e+00,        +7.779605478312e-02,        +2.256454961208e+00,        -6.635748826190e+00
 3.40000000e+00,        +7.071067811865e+00,        +7.355988609243e+00,        +6.780573107510e-02,        +2.005351035561e+00,        -6.714436271452e+00
 3.50000000e+00,        +7.071067811865e+00,        +7.359077748232e+00,        +5.751655440564e-02,        +1.751535197578e+00,        -6.783643202332e+00
