        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e-01,        +2.928422636890e-11,        +2.984782341584e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e-01,        +2.928240649945e-11,        +2.979752151917e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e-01,        +2.928147752875e-11,        +2.976646444650e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e-01,        +2.928128443370e-11,        +2.974229191059e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e-01,        +2.928186506586e-11,        +2.972134355843e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e-01,        +2.928314695390e-11,        +2.970213629597e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e-01,        +2.928508605309e-11,        +2.968393813074e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e-01,        +2.928764149397e-11,        +2.966633567461e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e-01,        +2.929077277280e-11,        +2.964907981308e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+00,        +2.929443882799e-11,        +2.963201528153e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+00,        +2.929859761436e-11,        +2.961504468038e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+00,        +2.930320590161e-11,        +2.959810847560e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+00,        +2.930821919936e-11,        +2.958117311669e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+00,        +2.931359176307e-11,        +2.956422357668e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+00,        +2.931927665525e-11,        +2.954725844098e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+00,        +2.932522584680e-11,        +2.953028653538e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+00,        +2.933139034848e-11,        +2.951332452052e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+00,        +2.933772036556e-11,        +2.949639511387e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+00,        +2.934416547065e-11,        +2.947952573109e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +2.935067479092e-11,        +2.946274741519e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+00,        +2.935719720645e-11,        +2.944609396786e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+00,        +2.936368155722e-11,        +2.942960122611e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+00,        +2.937007685647e-11,        +2.941330644583e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+00,        +2.937633250835e-11,        +2.939724776558e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +2.938239852815e-11,        +2.938146373241e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+00,        +2.938822576330e-11,        +2.936599287663e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+00,        +2.939376611370e-11,        +2.935087332636e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+00,        +2.939897274978e-11,        +2.933614245544e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+00,        +2.940380032702e-11,        +2.932183656014e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +2.940820519541e-11,        +2.930799056136e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+00,        +2.941214560278e-11,        +2.929463773018e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.20000000e+00,        +2.941558189069e-11,        +2.928180943526e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+00,        +2.941847668166e-11,        +2.926953491100e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+00,        +2.942079505688e-11,        +2.925784104599e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+00,        +2.942250472312e-11,        +2.924675219134e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+00,        +2.942357616807e-11,        +2.923628998873e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e+00,        +2.942398280309e-11,        +2.922647321818e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e+00,        +2.942370109266e-11,        +2.921731766558e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e+00,        +2.942271066969e-11,        +2.920883601006e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +2.942099443606e-11,        +2.920103773133e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.10000000e+00,        +2.941853864776e-11,        +2.919392903701e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.20000000e+00,        +2.941533298415e-11,        +2.918751281007e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.30000000e+00,        +2.941137060085e-11,        +2.918178857628e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.40000000e+00,        +2.940664816601e-11,        +2.917675249175e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.50000000e+00,        +2.940116587950e-11,        +2.917239735029e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.60000000e+00,        +2.939492747511e-11,        +2.916871261046e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.70000000e+00,        +2.938794020545e-11,        +2.916568444201e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.80000000e+00,        +2.938021480960e-11,        +2.916329579132e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.90000000e+00,        +2.937176546374e-11,        +2.916152646541e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +2.936260971476e-11,        +2.916035323386e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.10000000e+00,        +2.935276839723e-11,        +2.915974994823e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.20000000e+00,        +2.934226553408e-11,        +2.915968767794e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.30000000e+00,        +2.933112822139e-11,        +2.916013486209e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.40000000e+00,        +2.931938649794e-11,        +2.916105747613e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e+00,        +2.930707320001e-11,        +2.916241921247e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.60000000e+00,        +2.929422380220e-11,        +2.916418167397e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.70000000e+00,        +2.928087624503e-11,        +2.916630457922e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.80000000e+00,        +2.926707075021e-11,        +2.916874597833e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.90000000e+00,        +2.925284962443e-11,        +2.917146247811e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +2.923825705266e-11,        +2.917440947523e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.10000000e+00,        +2.922333888209e-11,        +2.917754139613e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.20000000e+00,        +2.920814239768e-11,        +2.918081194211e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.30000000e+00,        +2.919271609051e-11,        +2.918417433849e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.40000000e+00,        +2.917710942016e-11,        +2.918758158611e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +2.916137257223e-11,        +2.919098671394e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.60000000e+00,        +2.914555621228e-11,        +2.919434303123e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.70000000e+00,        +2.912971123752e-11,        +2.919760437791e-11,        +0.000000000000e+00,        +0.000000000000e+00
