        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00000000e-01,        +1.414213562373e-01,        +1.415051090200e-01,        +1.373435981921e-04,        +1.412241012433e-01,        -5.340326904257e-03
 2.00000000e-01,        +1.414213562373e-01,        +1.415470648042e-01,        +2.180106341700e-04,        +1.408771208067e-01,        -1.061585012590e-02
 3.00000000e-01,        +1.414213562373e-01,        +1.415855406682e-01,        +2.865382272714e-04,        +1.403424166914e-01,        -1.586427470263e-02
 4.00000000e-01,        +1.414213562373e-01,        +1.416239418848e-01,        +3.473844031049e-04,        +1.396173190832e-01,        -2.108311421299e-02
 5.00000000e-01,        +1.414213562373e-01,        +1.416633973528e-01,        +4.021565576342e-04,        +1.387015179077e-01,        -2.626721291000e-02
 6.00000000e-01,        +1.414213562373e-01,        +1.417043298924e-01,        +4.515702634013e-04,        +1.375956930098e-01,        -3.141044920632e-02
 7.00000000e-01,        +1.414213562373e-01,        +1.417468559051e-01,        +4.959604909160e-04,        +1.363010705655e-01,        -3.650637250831e-02
 8.00000000e-01,        +1.414213562373e-01,        +1.417909275510e-01,        +5.354755628724e-04,        +1.348192753263e-01,        -4.154838918266e-02
 9.00000000e-01,        +1.414213562373e-01,        +1.418363962372e-01,        +5.701667023286e-04,        +1.331522667594e-01,        -4.652985844509e-02
 1.00000000e+00,        +1.414213562373e-01,        +1.418830453168e-01,        +6.000352626639e-04,        +1.313023054976e-01,        -5.144414695195e-02
 1.10000000e+00,        +1.414213562373e-01,        +1.419306090212e-01,        +6.250601985685e-04,        +1.292719333203e-01,        -5.628466379011e-02
 1.20000000e+00,        +1.414213562373e-01,        +1.419787846090e-01,        +6.452152829192e-04,        +1.270639597288e-01,        -6.104488526568e-02
 1.30000000e+00,        +1.414213562373e-01,        +1.420272409281e-01,        +6.604805367190e-04,        +1.246814519242e-01,        -6.571837394527e-02
 1.40000000e+00,        +1.414213562373e-01,        +1.420756249724e-01,        +6.708501531899e-04,        +1.221277265959e-01,        -7.029879423157e-02
 1.50000000e+00,        +1.414213562373e-01,        +1.421235672726e-01,        +6.763381593598e-04,        +1.194063426730e-01,        -7.477992571906e-02
 1.60000000e+00,        +1.414213562373e-01,        +1.421706865814e-01,        +6.769825295888e-04,        +1.165210945637e-01,        -7.915567504571e-02
 1.70000000e+00,        +1.414213562373e-01,        +1.422165941185e-01,        +6.728481800095e-04,        +1.134760056076e-01,        -8.342008666954e-02
 1.80000000e+00,        +1.414213562373e-01,        +1.422608975277e-01,        +6.640291113673e-04,        +1.102753215745e-01,        -8.756735283569e-02
 1.90000000e+00,        +1.414213562373e-01,        +1.423032046348e-01,        +6.506498728020e-04,        +1.069235041071e-01,        -9.159182290312e-02
 2.00000000e+00,        +1.414213562373e-01,        +1.423431270580e-01,        +6.328664615391e-04,        +1.034252240453e-01,        -9.548801214075e-02
 2.10000000e+00,        +1.414213562373e-01,        +1.423802836947e-01,        +6.108667376623e-04,        +9.978535459186e-02,        -9.925061006546e-02
 2.20000000e+00,        +1.414213562373e-01,        +1.424143040962e-01,        +5.848704105049e-04,        +9.600896429691e-02,        -1.028744883700e-01
 2.30000000e+00,        +1.414213562373e-01,        +1.424448317318e-01,        +5.551286387042e-04,        +9.210130984596e-02,        -1.063547084731e-01
 2.40000000e+00,        +1.414213562373e-01,        +1.424715271351e-01,        +5.219232766795e-04,        +8.806782864555e-02,        -1.096865287125e-01
 2.50000000e+00,        +1.414213562373e-01,        +1.424940709239e-01,        +4.855657943841e-04,        +8.391413120367e-02,        -1.128654111949e-01
 2.60000000e+00,        +1.414213562373e-01,        +1.425121666797e-01,        +4.463958935119e-04,        +7.964599330601e-02,        -1.158870283113e-01
 2.70000000e+00,        +1.414213562373e-01,        +1.425255436739e-01,        +4.047798411652e-04,        +7.526934799139e-02,        -1.187472689224e-01
 2.80000000e+00,        +1.414213562373e-01,        +1.425339594243e-01,        +3.611085408458e-04,        +7.079027733112e-02,        -1.214422442159e-01
 2.90000000e+00,        +1.414213562373e-01,        +1.425372020677e-01,        +3.157953601591e-04,        +6.621500401872e-02,        -1.239682932366e-01
 3.00000000e+00,        +1.414213562373e-01,        +1.425350925322e-01,        +2.692737346339e-04,        +6.154988277708e-02,        -1.263219880877e-01
 3.10000000e+00,        +1.414213562373e-01,        +1.425274864948e-01,        +2.219945673556e-04,        +5.680139159111e-02,        -1.285001388013e-01
 3.20000000e+00,        +1.414213562373e-01,        +1.425142761113e-01,        +1.744234446267e-04,        +5.197612277435e-02,        -1.304997978753e-01
 3.30000000e+00,        +1.414213562373e-01,        +1.424953915034e-01,        +1.270376884690e-04,        +4.708077387882e-02,        -1.323182644736e-01
 3.40000000e+00,        +1.414213562373e-01,        +1.424708019932e-01,        +8.032326744691e-05,        +4.212213845741e-02,        -1.339530882855e-01
 3.50000000e+00,        +1.414213562373e-01,        +1.424405170735e-01,        +3.477158795406e-05,        +3.710709668898e-02,        -1.354020730411e-01
 3.60000000e+00,        +1.414213562373e-01,        +1.424045871052e-01,        -9.123811271395e-06,        +3.204260587642e-02,        -1.366632796774e-01
 3.70000000e+00,        +1.414213562373e-01,        +1.423631037348e-01,        -5.087063807103e-05,        +2.693569082829e-02,        -1.377350291525e-01
 3.80000000e+00,        +1.414213562373e-01,        +1.423162000251e-01,        -8.998127542118e-05,        +2.179343413525e-02,        -1.386159049024e-01
 3.90000000e+00,        +1.414213562373e-01,        +1.422640502972e-01,        -1.259762354380e-04,        +1.662296635250e-02,        -1.393047549373e-01
 4.00000000e+00,        +1.414213562373e-01,        +1.422068696794e-01,        -1.583876143927e-04,        +1.143145610021e-02,        -1.398006935727e-01
 4.10000000e+00,        +1.414213562373e-01,        +1.421449133651e-01,        -1.867625241748e-04,        +6.226100093846e-03,        -1.401031027916e-01
 4.20000000e+00,        +1.414213562373e-01,        +1.420784755796e-01,        -2.106664756495e-04,        +1.014113117115e-03,        -1.402116332347e-01
 4.30000000e+00,        +1.414213562373e-01,        +1.420078882609e-01,        -2.296866895151e-04,        -4.197282049687e-03,        -1.401262048142e-01
 4.40000000e+00,        +1.414213562373e-01,        +1.419335194591e-01,        -2.434353105749e-04,        -9.400864732629e-03,        -1.398470069487e-01
 4.50000000e+00,        +1.414213562373e-01,        +1.418557714631e-01,        -2.515525017912e-04,        -1.458942648471e-02,        -1.393744984166e-01
 4.60000000e+00,        +1.414213562373e-01,        +1.417750786631e-01,        -2.537093951144e-04,        -1.975578120998e-02,        -1.387094068249e-01
 4.70000000e+00,        +1.414213562373e-01,        +1.416919051607e-01,        -2.496108768380e-04,        -2.489277527681e-02,        -1.378527276921e-01
 4.80000000e+00,        +1.414213562373e-01,        +1.416067421405e-01,        -2.389981861572e-04,        -2.999329760546e-02,        -1.368057231435e-01
 4.90000000e+00,        +1.414213562373e-01,        +1.415201050171e-01,        -2.216513066778e-04,        -3.505028971478e-02,        -1.355699202176e-01
 5.00000000e+00,        +1.414213562373e-01,        +1.414325303748e-01,        -1.973911318367e-04,        -4.005675571267e-02,        -1.341471087845e-01
 5.10000000e+00,        +1.414213562373e-01,        +1.413445727180e-01,        -1.660813865488e-04,        -4.500577221431e-02,        -1.325393390752e-01
