        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e-01,        -5.888102768331e+01,        +5.862496159822e+01,        -5.917847717132e-03,        -2.165582726879e+00
 2.00000000e-01,        -5.499411727215e+01,        +6.003153392387e+01,        -8.899241104553e-03,        -4.309401137905e+00
 3.00000000e-01,        -5.263361782377e+01,        +6.018758824286e+01,        -1.137839556771e-02,        -6.449324996944e+00
 4.00000000e-01,        -5.092274673717e+01,        +5.975036291055e+01,        -1.359437005871e-02,        -8.587153082233e+00
 5.00000000e-01,        -4.957988297456e+01,        +5.895803420011e+01,        -1.564591209450e-02,        -1.072364540068e+01
 6.00000000e-01,        -4.847727265644e+01,        +5.792694448705e+01,        -1.758298516056e-02,        -1.285917330233e+01
 7.00000000e-01,        -4.754577602923e+01,        +5.672304524045e+01,        -1.943530775039e-02,        -1.499396410882e+01
 8.00000000e-01,        -4.674364250770e+01,        +5.538757088937e+01,        -2.122239932637e-02,        -1.712816803291e+01
 9.00000000e-01,        -4.604369384097e+01,        +5.394809841785e+01,        -2.295791007294e-02,        -1.926189060517e+01
 1.00000000e+00,        -4.542724478716e+01,        +5.242400034655e+01,        -2.465183811872e-02,        -2.139520947300e+01
 1.10000000e+00,        -4.488090816175e+01,        +5.082940105806e+01,        -2.631177307448e-02,        -2.352818385972e+01
 1.20000000e+00,        -4.439478171020e+01,        +4.917489797693e+01,        -2.794364300778e-02,        -2.566086025793e+01
 1.30000000e+00,        -4.396135578492e+01,        +4.746862090269e+01,        -2.955218802705e-02,        -2.779327604200e+01
 1.40000000e+00,        -4.357482306289e+01,        +4.571691355534e+01,        -3.114127393077e-02,        -2.992546186025e+01
 1.50000000e+00,        -4.323062502462e+01,        +4.392478804569e+01,        -3.271410756094e-02,        -3.205744327538e+01
 1.60000000e+00,        -4.292514430177e+01,        +4.209623679802e+01,        -3.427338921469e-02,        -3.418924192273e+01
 1.70000000e+00,        -4.265549041335e+01,        +4.023445155276e+01,        -3.582142332977e-02,        -3.632087634843e+01
