        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 1.00000000e-01,        +7.071067811865e+00,        +7.075255450999e+00,        +6.867179909607e-03,        +7.061205062167e+00,        -2.670163452129e-01
 2.00000000e-01,        +7.071067811865e+00,        +7.077353240209e+00,        +1.090053170850e-02,        +7.043856040337e+00,        -5.307925062952e-01
 3.00000000e-01,        +7.071067811865e+00,        +7.079277033410e+00,        +1.432691136357e-02,        +7.017120834568e+00,        -7.932137351316e-01
 4.00000000e-01,        +7.071067811865e+00,        +7.081197094241e+00,        +1.736922015525e-02,        +6.980865954158e+00,        -1.054155710650e+00
 5.00000000e-01,        +7.071067811865e+00,        +7.083169867639e+00,        +2.010782788171e-02,        +6.935075895384e+00,        -1.313360645500e+00
 6.00000000e-01,        +7.071067811865e+00,        +7.085216494619e+00,        +2.257851317007e-02,        +6.879784650488e+00,        -1.570522460316e+00
 7.00000000e-01,        +7.071067811865e+00,        +7.087342795254e+00,        +2.479802454580e-02,        +6.815053528274e+00,        -1.825318625415e+00
 8.00000000e-01,        +7.071067811865e+00,        +7.089546377550e+00,        +2.677377814362e-02,        +6.740963766313e+00,        -2.077419459133e+00
 9.00000000e-01,        +7.071067811865e+00,        +7.091819811860e+00,        +2.850833511643e-02,        +6.657613337968e+00,        -2.326492922254e+00
 1.00000000e+00,        +7.071067811865e+00,        +7.094152265842e+00,        +3.000176313320e-02,        +6.565115274879e+00,        -2.572207347597e+00
 1.10000000e+00,        +7.071067811865e+00,        +7.096530451058e+00,        +3.125300992842e-02,        +6.463596666016e+00,        -2.814233189505e+00
 1.20000000e+00,        +7.071067811865e+00,        +7.098939230451e+00,        +3.226076414596e-02,        +6.353197986439e+00,        -3.052244263284e+00
 1.30000000e+00,        +7.071067811865e+00,        +7.101362046405e+00,        +3.302402683595e-02,        +6.234072596208e+00,        -3.285918697264e+00
 1.40000000e+00,        +7.071067811865e+00,        +7.103781248621e+00,        +3.354250765950e-02,        +6.106386329796e+00,        -3.514939711579e+00
 1.50000000e+00,        +7.071067811865e+00,        +7.106178363629e+00,        +3.381690796799e-02,        +5.970317133651e+00,        -3.738996285953e+00
 1.60000000e+00,        +7.071067811865e+00,        +7.108534329070e+00,        +3.384912647944e-02,        +5.826054728183e+00,        -3.957783752286e+00
 1.70000000e+00,        +7.071067811865e+00,        +7.110829705927e+00,        +3.364240900047e-02,        +5.673800280379e+00,        -4.171004333477e+00
 1.80000000e+00,        +7.071067811865e+00,        +7.113044876383e+00,        +3.320145556836e-02,        +5.513766078725e+00,        -4.378367641784e+00
 1.90000000e+00,        +7.071067811865e+00,        +7.115160231738e+00,        +3.253249364010e-02,        +5.346175205357e+00,        -4.579591145156e+00
 2.00000000e+00,        +7.071067811865e+00,        +7.117156352901e+00,        +3.164332307696e-02,        +5.171261202265e+00,        -4.774400607038e+00
 2.10000000e+00,        +7.071067811865e+00,        +7.119014184734e+00,        +3.054333688312e-02,        +4.989267729593e+00,        -4.962530503273e+00
 2.20000000e+00,        +7.071067811865e+00,        +7.120715204808e+00,        +2.924352052525e-02,        +4.800448214845e+00,        -5.143724418502e+00
 2.30000000e+00,        +7.071067811865e+00,        +7.122241586588e+00,        +2.775643193521e-02,        +4.605065492298e+00,        -5.317735423657e+00
 2.40000000e+00,        +7.071067811865e+00,        +7.123576356755e+00,        +2.609616383397e-02,        +4.403391432278e+00,        -5.484326435626e+00
 2.50000000e+00,        +7.071067811865e+00,        +7.124703546195e+00,        +2.427828971921e-02,        +4.195706560183e+00,        -5.643270559745e+00
 2.60000000e+00,        +7.071067811865e+00,        +7.125608333985e+00,        +2.231979467559e-02,        +3.982299665301e+00,        -5.794351415565e+00
 2.70000000e+00,        +7.071067811865e+00,        +7.126277183693e+00,        +2.023899205826e-02,        +3.763467399570e+00,        -5.937363446119e+00
 2.80000000e+00,        +7.071067811865e+00,        +7.126697971214e+00,        +1.805542704229e-02,        +3.539513866556e+00,        -6.072112210793e+00
 2.90000000e+00,        +7.071067811865e+00,        +7.126860103385e+00,        +1.578976800796e-02,        +3.310750200936e+00,        -6.198414661830e+00
 3.00000000e+00,        +7.071067811865e+00,        +7.126754626608e+00,        +1.346368673169e-02,        +3.077494138854e+00,        -6.316099404386e+00
 3.10000000e+00,        +7.071067811865e+00,        +7.126374324741e+00,        +1.109972836778e-02,        +2.840069579555e+00,        -6.425006940066e+00
 3.20000000e+00,        +7.071067811865e+00,        +7.125713805567e+00,        +8.721172231334e-03,        +2.598806138718e+00,        -6.524989893765e+00
 3.30000000e+00,        +7.071067811865e+00,        +7.124769575172e+00,        +6.351884423449e-03,        +2.354038693941e+00,        -6.615913223679e+00
 3.40000000e+00,        +7.071067811865e+00,        +7.123540099661e+00,        +4.016163372346e-03,        +2.106106922870e+00,        -6.697654414276e+00
 3.50000000e+00,        +7.071067811865e+00,        +7.122025853674e+00,        +1.738579397703e-03,        +1.855354834449e+00,        -6.770103652055e+00
 3.60000000e+00,        +7.071067811865e+00,        +7.120229355261e+00,        -4.561905635697e-04,        +1.602130293821e+00,        -6.833163983870e+00
 3.70000000e+00,        +7.071067811865e+00,        +7.118155186739e+00,        -2.543531903552e-03,        +1.346784541414e+00,        -6.886751457624e+00
 3.80000000e+00,        +7.071067811865e+00,        +7.115810001255e+00,        -4.499063771059e-03,        +1.089671706762e+00,        -6.930795245119e+00
 3.90000000e+00,        +7.071067811865e+00,        +7.113202514858e+00,        -6.298811771901e-03,        +8.311483176252e-01,        -6.965237746865e+00
 4.00000000e+00,        +7.071067811865e+00,        +7.110343483969e+00,        -7.919380719634e-03,        +5.715728050106e-01,        -6.990034678634e+00
 4.10000000e+00,        +7.071067811865e+00,        +7.107245668254e+00,        -9.338126208740e-03,        +3.113050046923e-01,        -7.005155139580e+00
 4.20000000e+00,        +7.071067811865e+00,        +7.103923778979e+00,        -1.053332378247e-02,        +5.070565585575e-02,        -7.010581661736e+00
 4.30000000e+00,        +7.071067811865e+00,        +7.100394413044e+00,        -1.148433447576e-02,        -2.098641024844e-01,        -7.006310240709e+00
 4.40000000e+00,        +7.071067811865e+00,        +7.096675972955e+00,        -1.217176552875e-02,        -4.700432366314e-01,        -6.992350347433e+00
 4.50000000e+00,        +7.071067811865e+00,        +7.092788573157e+00,        -1.257762508956e-02,        -7.294713242354e-01,        -6.968724920828e+00
 4.60000000e+00,        +7.071067811865e+00,        +7.088753933154e+00,        -1.268546975572e-02,        -9.877890604991e-01,        -6.935470341243e+00
 4.70000000e+00,        +7.071067811865e+00,        +7.084595258034e+00,        -1.248054384190e-02,        -1.244638763841e+00,        -6.892636384605e+00
 4.80000000e+00,        +7.071067811865e+00,        +7.080337107025e+00,        -1.194990930786e-02,        -1.499664880273e+00,        -6.840286157174e+00
 4.90000000e+00,        +7.071067811865e+00,        +7.076005250857e+00,        -1.108256533389e-02,        -1.752514485739e+00,        -6.778496010881e+00
 5.00000000e+00,        +7.071067811865e+00,        +7.071626518741e+00,        -9.869556591836e-03,        -2.002837785634e+00,        -6.707355439227e+00
 5.10000000e+00,        +7.071067811865e+00,        +7.067228635900e+00,        -8.304069327441e-03,        -2.250288610715e+00,        -6.626966953759e+00
 5.20000000e+00,        +7.071067811865e+00,        +7.062840052625e+00,        -6.381514444090e-03,        -2.494524908611e+00,        -6.537445941181e+00
 5.30000000e+00,        +7.071067811865e+00,        +7.058489765909e+00,        -4.099596858502e-03,        -2.735209230097e+00,        -6.438920501186e+00
 5.40000000e+00,        +7.071067811865e+00,        +7.054207134784e+00,        -1.458370485211e-03,        -2.972009209331e+00,        -6.331531265153e+00
 5.50000000e+00,        +7.071067811865e+00,        +7.050021690523e+00,        +1.539721702261e-03,        -3.204598037205e+00,        -6.215431195863e+00
 5.60000000e+00,        +7.071067811865e+00,        +7.045962942929e+00,        +4.889822989068e-03,        -3.432654926992e+00,        -6.090785368478e+00
 5.70000000e+00,        +7.071067811865e+00,        +7.042060183961e+00,        +8.584653971708e-03,        -3.655865571441e+00,        -5.957770733015e+00
 5.80000000e+00,        +7.071067811865e+00,        +7.038342289994e+00,        +1.261451959801e-02,        -3.873922590503e+00,        -5.816575858661e+00
 5.90000000e+00,        +7.071067811865e+00,        +7.034837524003e+00,        +1.696733234118e-02,        -4.086525968852e+00,        -5.667400660250e+00
 6.00000000e+00,        +7.071067811865e+00,        +7.031573339021e+00,        +2.162865154646e-02,        -4.293383482391e+00,        -5.510456107345e+00
 6.10000000e+00,        +7.071067811865e+00,        +7.028576184166e+00,        +2.658173888023e-02,        -4.494211112959e+00,        -5.345963916348e+00
 6.20000000e+00,        +7.071067811865e+00,        +7.025871314587e+00,        +3.180762970151e-02,        -4.688733450428e+00,        -5.174156226168e+00
 6.30000000e+00,        +7.071067811865e+00,        +7.023482606615e+00,        +3.728522006742e-02,        -4.876684081465e+00,        -4.995275257977e+00
 6.40000000e+00,        +7.071067811865e+00,        +7.021432379421e+00,        +4.299136897562e-02,        -5.057805964207e+00,        -4.809572959670e+00
 6.50000000e+00,        +7.071067811865e+00,        +7.019741224422e+00,        +4.890101534122e-02,        -5.231851788162e+00,        -4.617310635659e+00
 6.60000000e+00,        +7.071067811865e+00,        +7.018427843655e+00,        +5.498730910235e-02,        -5.398584318659e+00,        -4.418758562698e+00
 6.70000000e+00,        +7.071067811865e+00,        +7.017508898279e+00,        +6.122175574872e-02,        -5.557776725238e+00,        -4.214195592454e+00
 6.80000000e+00,        +7.071067811865e+00,        +7.016998868311e+00,        +6.757437347227e-02,        -5.709212893376e+00,        -4.003908741604e+00
 6.90000000e+00,        +7.071067811865e+00,        +7.016909924639e+00,        +7.401386204775e-02,        -5.852687719033e+00,        -3.788192770253e+00
 7.00000000e+00,        +7.071067811865e+00,        +7.017251814273e+00,        +8.050778246669e-02,        -5.988007385508e+00,        -3.567349749495e+00
 7.10000000e+00,        +7.071067811865e+00,        +7.018031759734e+00,        +8.702274626878e-02,        -6.114989622184e+00,        -3.341688618993e+00
 7.20000000e+00,        +7.071067811865e+00,        +7.019254373368e+00,        +9.352461344261e-02,        -6.233463944770e+00,        -3.111524735449e+00
 7.30000000e+00,        +7.071067811865e+00,        +7.020921587305e+00,        +9.997869770301e-02,        -6.343271876713e+00,        -2.877179412869e+00
 7.40000000e+00,        +7.071067811865e+00,        +7.023032599671e+00,        +1.063499778946e-01,        -6.444267151509e+00,        -2.638979455537e+00
 7.50000000e+00,        +7.071067811865e+00,        +7.025583837570e+00,        +1.126033142227e-01,        -6.536315895704e+00,        -2.397256684623e+00
 7.60000000e+00,        +7.071067811865e+00,        +7.028568937229e+00,        +1.187036679712e-01,        -6.619296792426e+00,        -2.152347459355e+00
 7.70000000e+00,        +7.071067811865e+00,        +7.031978741621e+00,        +1.246163233361e-01,        -6.693101225356e+00,        -1.904592193677e+00
 7.80000000e+00,        +7.071067811865e+00,        +7.035801315741e+00,        +1.303071099797e-01,        -6.757633403097e+00,        -1.654334869323e+00
 7.90000000e+00,        +7.071067811865e+00,        +7.040021979606e+00,        +1.357426248968e-01,        -6.812810463967e+00,        -1.401922546213e+00
 8.00000000e+00,        +7.071067811865e+00,        +7.044623358958e+00,        +1.408904521793e-01,        -6.858562561285e+00,        -1.147704871061e+00
 8.10000000e+00,        +7.071067811865e+00,        +7.049585453500e+00,        +1.457193792701e-01,        -6.894832929274e+00,        -8.920335850836e-01
 8.20000000e+00,        +7.071067811865e+00,        +7.054885722418e+00,        +1.501996083101e-01,        -6.921577929772e+00,        -6.352620316491e-01
 8.30000000e+00,        +7.071067811865e+00,        +7.060499186800e+00,        +1.543029612048e-01,        -6.938767079965e+00,        -3.777446646892e-01
 8.40000000e+00,        +7.071067811865e+00,        +7.066398548479e+00,        +1.580030770682e-01,        -6.946383061417e+00,        -1.198365586691e-01
 8.50000000e+00,        +7.071067811865e+00,        +7.072554324716e+00,        +1.612756007397e-01,        -6.944421710701e+00,        +1.381070791364e-01
 8.60000000e+00,        +7.071067811865e+00,        +7.078934998022e+00,        +1.640983611201e-01,        -6.932891991990e+00,        +3.957313933416e-01
 8.70000000e+00,        +7.071067811865e+00,        +7.085507180333e+00,        +1.664515381247e-01,        -6.911815951962e+00,        +6.526823614518e-01
 8.80000000e+00,        +7.071067811865e+00,        +7.092235790672e+00,        +1.683178171177e-01,        -6.881228657449e+00,        +9.086072705345e-01
 8.90000000e+00,        +7.071067811865e+00,        +7.099084245300e+00,        +1.696825297597e-01,        -6.841178116232e+00,        +1.163155188973e+00
 9.00000000e+00,        +7.071067811865e+00,        +7.106014659340e+00,        +1.705337802783e-01,        -6.791725181438e+00,        +1.415977432758e+00
 9.10000000e+00,        +7.071067811865e+00,        +7.112988058710e+00,        +1.708625562522e-01,        -6.732943439990e+00,        +1.666728025824e+00
 9.20000000e+00,        +7.071067811865e+00,        +7.119964601201e+00,        +1.706628230898e-01,        -6.664919085564e+00,        +1.915064153962e+00
 9.30000000e+00,        +7.071067811865e+00,        +7.126903805410e+00,        +1.699316014738e-01,        -6.587750776525e+00,        +2.160646611918e+00
